genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[110]sAipJczHQmojbPbNNJEHcMcKAHEcDafaQvaxcnNCMdocaGElxcRNDeyNKRqaFEReqyRpxldHQcgDHxcJclEBrPArsQLDJsEBRLsJILHlCdbSCy",1.2459e+22,6.31746e+18,2981,0.80429,373,73,300,73,73,0,153,153,271,271,304,150,153,153, 1
"[105]nfGCdHnQeLMezPlEHeNpcdNtmAMvoJHpmoqKHdHHHDBvfcvnhDKhsoRhPpCDMcebSqvcCodJCkmpeIaPBwyfeRyiboMleniIkyeAHBnrL",4.08256e+21,6.19615e+12,3730,0.842593,324,51,273,51,51,0,165,165,507,507,392,227,196,196, 10
"[84]qFebMNJRLHSBnEBSHKBHqKHqAkKCxRzJyKsAIrLPSARLdHCxCHHoAtaEmNbEmHdhfthosoQsuuHKHRDurCCR",1.18305e+29,1.57255e+25,7224,1,504,0,504,0,0,0,0,0,208,208,161,161,135,135, 100
"[79]mcFfoGRLHNJHNJHSBQHBqKkqfpxqgohHoeqmxyHwmhpxQlmyEjlgbbpcifuzfJmjEIgqoOSIowFnkAK",1.18305e+29,2.61284e+21,5586,1,328,0,328,0,0,0,0,0,150,150,83,83,95,95, 101
"[128]PfldOrrsuEHReoJHSKDhLsphDjwHoaqPBeHcQduicNqglpIOJdBNNAjeetHIHMrhfmaOcGLwcCqtullbPvOaNSdgujhvBsSlMstIBNpqEyQrkgMHimHrvLbDgFJCpcfk",3.29787e+24,1.54235e+19,2796,0.805825,412,80,332,80,80,0,156,155,292,292,314,159,154,154, 102
"[116]sdERKpfttaNJHSyezczycQhQaccaHxocGlcLEHDeFuiPiSchCCOoJHQjxxHOlDAfQGeAuAhlNFcAPODRvRfecFIRbCHmeKfBPcPPtHocwzochMgdzeRq",1.70496e+27,9.96719e+21,4169,0.828638,426,73,353,73,73,0,73,73,162,162,92,92,172,99, 103
"[87]pJPGmvcHPCFbESKodtfxcCGojBvniKgdpoKNnwfxbwjSsnOrnpajmQpcmMfIDeOgyjqdiwwhbByolfEaLQqHRzM",2.58763e+18,2.95455e+13,2720,0.816054,299,54,244,55,54,0,54,54,121,121,124,69,54,54, 104
"[95]tHCJyaLsImNakrQFblpNkiIBQgyHFhOdKysgBcPIRLRqMbtllgdBHPaaBadmbBeNPvbcNcJNdGMKnzobSBeapciHwcaOPJR",3.72917e+16,7.74518e+12,2762,0.824427,262,46,216,46,46,0,46,46,116,116,46,46,100,54, 105
"[85]tGHoPkNJOLHSBKCOvOlLmaJJnRJSSoyvuhmeAbwpFHmlLOBbJIBnbkuveblJzLjGOwthNpwCvFKQhGumxdhzI",4.34133e+17,9.31323,4455,1,181,0,181,0,0,0,0,0,97,97,40,40,44,44, 106
"[69]glPjgwoEMkrymHERfKGGNJCzusoOoxzlvOBNebMFudyqebEiGLsPJGnGjhDbCOtdhGNvJ",11.6415,10.3132,2619,1,10,0,10,0,0,0,0,0,25,25,9,6,0,0, 107
