"","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"1",4,100,1,1,1,1.08190381895188e+28,1.18305e+29,6.78332e+17,1.33777e+21,229.73,355,183,0,0,0,229.73,355,183,0,0,0,0,0,0,0,0,0,71,"Learning","Learning"
"2",6,100,0.99659249,0.996845,0.996403,4.232810248e+28,1.18305e+29,6.98351e+26,2.48104e+28,293.69,317,278,1,1,1,292.69,316,277,1,1,1,1,1,1,0,0,0,122,"Learning","Learning"
"3",15,100,1,1,1,5.43715584710155e+28,1.18305e+29,1.14914e+20,1.70496e+27,327.17,688,206,0,0,0,327.17,688,206,0,0,0,0,0,0,0,0,0,122,"Learning","Learning"
"4",29,100,1,1,1,2.448382893518e+19,2.09027e+21,6.71788e+14,1.52747e+16,168.06,219,152,0,0,0,168.06,219,152,0,0,0,0,0,0,0,0,0,115,"Learning","Learning"
"5",30,100,1,1,1,1.17264022843782e+28,1.18305e+29,1.32487e+18,5.94091e+22,241.14,382,186,0,0,0,241.14,382,186,0,0,0,0,0,0,0,0,0,103,"Learning","Learning"
"6",86,100,1,1,1,5.22845358e+18,4.70687e+19,5.42666e+17,3.23454e+18,190.44,202,182,0,0,0,190.44,202,182,0,0,0,0,0,0,0,0,0,79,"Learning","Learning"
"7",94,100,0.97448746,1,0.936937,1904031126200,5.77061e+13,3141820000,5.32245e+11,121.55,141,111,2.97,7,0,118.58,141,104,2.97,7,0,2.97,7,0,0,0,0,59,"Learning","Learning"
"8",100,100,1,1,1,3.06625833011261e+28,1.18305e+29,1.33777e+21,2.5744e+26,279.49,488,217,0,0,0,279.49,488,217,0,0,0,0,0,0,0,0,0,81,"Learning","Learning"
"9",101,100,1,1,1,4.90676323404466e+27,1.18305e+29,3.0124e+19,5.7411e+21,230.39,333,200,0,0,0,230.39,333,200,0,0,0,0,0,0,0,0,0,92,"Learning","Learning"
"10",112,100,1,1,1,3.46351411e+19,8.56176e+20,1.13805e+17,5.05397e+18,192.66,215,175,0,0,0,192.66,215,175,0,0,0,0,0,0,0,0,0,66,"Learning","Learning"
"11",142,100,0.99525804,0.996516,0.994819,5.20832644914916e+25,5.20312e+27,4.04317e+18,1.79553e+20,211.61,287,193,1,1,1,210.61,286,192,1,1,1,1,1,1,0,0,0,102,"Learning","Learning"
"12",145,100,1,1,1,7.73002787789e+28,1.18305e+29,1.08065e+24,1.18305e+29,304.12,362,247,0,0,0,304.12,362,247,0,0,0,0,0,0,0,0,0,102,"Learning","Learning"
"13",147,100,1,1,1,4.67909154e+17,1.65608e+18,7.28354e+16,3.47306e+17,180.53,187,173,0,0,0,180.53,187,173,0,0,0,0,0,0,0,0,0,106,"Learning","Learning"
"14",150,100,0.95684358,0.979592,0.932836,7934422080000,1.12707e+14,2.18008e+11,2.53794e+12,139.77,154,132,5.01,8,2,133.76,149,124,6.01,9,3,5.01,8,2,0,0,0,116,"Learning","Learning"
"15",154,100,1,1,1,3.20269395999732e+27,1.18305e+29,2.07011e+18,5.7411e+21,229.97,382,188,0,0,0,229.97,382,188,0,0,0,0,0,0,0,0,0,75,"Learning","Learning"
"16",179,100,1,1,1,4.5502779915e+21,3.54106e+23,1.32487e+18,3.0124e+19,201.76,242,186,0,0,0,201.76,242,186,0,0,0,0,0,0,0,0,0,62,"Learning","Learning"
