"","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"1",1,100,0.79151122,0.825658,0.756447,7.183058769517e+22,6.44115e+24,2.77845e+17,4.70687e+19,349.66,405,301,72.5,87,52,276.59,330,246,73.07,87,53,72.5,87,52,0,0,0,110,"Error correction","Error correction"
"2",2,100,0.82733566,0.871166,0.771084,1477605059848421120,1.14914e+20,14981400000,8.31633e+11,199.72,334,150,35.34,76,21,164.38,269,127,35.34,76,21,35.34,76,21,0,0,0,80,"Error correction","Error correction"
"3",3,100,0.80814224,0.833935,0.781991,19346158332610000,1.05989e+18,4.25796e+11,2.75164e+14,240.51,277,211,46,46,46,194.51,231,165,46,46,46,46,46,46,0,0,0,80,"Error correction","Error correction"
"4",4,100,1,1,1,1.08190381895188e+28,1.18305e+29,6.78332e+17,1.33777e+21,229.73,355,183,0,0,0,229.73,355,183,0,0,0,0,0,0,0,0,0,71,"Learning","Learning"
"5",5,100,1,1,1,5.2535044,11.6415,3.05176,4.76837,6.04,10,4,0,0,0,6.04,10,4,0,0,0,0,0,0,0,0,0,100,"Low activity","Low activity"
"6",6,100,0.99659249,0.996845,0.996403,4.232810248e+28,1.18305e+29,6.98351e+26,2.48104e+28,293.69,317,278,1,1,1,292.69,316,277,1,1,1,1,1,1,0,0,0,122,"Learning","Learning"
"7",7,100,0.79402813,0.823362,0.762987,5.017920517011e+20,1.2459e+22,6.25651e+15,1.1104915e+19,334.68,354,308,68.57,72,62,265.84,290,235,68.84,73,62,68.57,72,62,0,0,0,109,"Error correction","Error correction"
"8",8,100,0.82233987,0.85446,0.797927,23827842780000,5.3743e+14,1.74406e+11,6.19615e+12,203,215,192,36.02,40,31,166.98,182,154,36.02,40,31,36.02,40,31,0,0,0,64,"Error correction","Error correction"
"9",9,100,0.79595301,0.831034,0.752443,2.755060645e+18,3.0124e+19,1.31209e+15,4.34133e+17,307.25,329,286,62.68,76,49,244.55,264,228,62.7,76,49,62.68,76,49,0,0,0,101,"Error correction","Error correction"
"10",10,100,0.83874842,0.885246,0.809756,4.43644176232215e+21,4.42632e+23,1.39525e+11,7.557615e+14,226.7,349,156,36.78,62,20,189.92,296,136,36.78,62,20,36.78,62,20,0,0,0,98,"Error correction","Error correction"
"11",11,100,0.81677448,0.851852,0.765101,2.0089014287332e+21,1.81302e+23,71436700000,1.89091e+13,225.36,401,173,41.8,86,27,183.56,319,142,41.8,86,27,41.8,86,27,0,0,0,81,"Error correction","Error correction"
"12",12,100,0.84363522,0.873239,0.82069,13012092470,29260500000,823609000,14981400000,148.83,156,142,23.25,27,18,125.54,131,118,23.41,27,18,23.13,25,18,0,0,0,101,"Error correction","Error correction"
