id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxon_info
4732648,[4732604],250000,inf,1,1,0,0,1522,[70]fHcSuNcJofcGHcocqQHwfqKCebBLFJDgudnnGuSunberrnNaNPDgRvsNbaqoOIgdMmRfLH
4732647,[4720117],250000,inf,1,1,0,0,1548,[71]fHcSuNcwofcGHcocqQHwfqKCebkJGjdCjjlAitzIgbRANrbaAHMwvlOPNomHQggrCNoxfLH
4732646,[4729622],250000,inf,1,1,0,0,1559,[72]fHcSuNcJofcGHcocqQHwfqKCabkJGbHtDOtCjzBNgJRNyzKKMcuOlGatGNjuQCGEqNoQlfLH
4732645,[4732341],250000,inf,1,1,0,0,1548,[68]fHcSxNcJofcGHcNcqQHwfqKCebbxEissyOczEaOCNOrrxHLyFgnEcNrNcqJyHBINufLH
4732643,[4729684],250000,inf,1,1,0,0,1556,[68]fHcCSxNcJofcGHcNaqQHwfqKCebIpFixsyOhzEbOkNOxgxoyFgJEPzrNbgGyHhBNufLH
4732641,[4729684],250000,inf,1,1,0,0,1556,[67]fHcSxNcJofcGHcNcqQHwfqKCebIpFixsyOhaEbOkNOxgxoyFgJEPzrNbgGyHhBNufLH
4732638,[4726474],250000,inf,1,1,0,0,1532,[67]fHcSxNcJofcGHcNcqQHwfqKCebbscqgzgrQGrSCwFMwyFrHgkREbBvSvgusxntAOfLH
4732637,[4732636],250000,inf,1,1,0,0,1502,[71]fHcSqNcJofcGHcocqQewfqKCebRxBaSBdFLneIRDnbPBgbntHxwDexkBMDAibcdFdSmRfLH
4732633,[4732550],250000,inf,1,1,0,0,1521,[73]fHcSuNcJofcGHJocqQHwfqKCebOxrGrdltCnHCKOwnSjbgnjDaAlcGexLozAxqdFLIzSwRfLH
4732632,[4718390],250000,inf,1,1,0,0,1590,[72]fHcSxNcJofNGHcNcqQHwfqKCebOrrlOHSCRpjkqhIJQsuHNDpGmAogJbJrQllxuoBpFPAfLH
4732631,[4729622],250000,inf,1,1,0,0,1559,[71]fHcSuNcJofcGHcocqQHwfqKCabkJGbHtDOtCjzBNgJRNyzKKMcuOlGstGNjuQCGEqNolfLH
4732630,[4729617],250000,inf,2,2,0,0,1501,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBaSBdFLneIRDnbPBgbntHxwDexkBvDAsbcdFdSmRfLH
4732629,[4732474],250000,inf,1,1,0,0,1567,[70]fHcuNcJofcGpcocqQHwfqKCabtQJGeHtvMKCmqloHMRNtzaxqzudIcajGmuSdbhHNovfLH
4732628,[4732562],250000,inf,1,1,0,0,1551,[66]fHcSxocJofcGHcNcqQHwqKCebJGhmKDBoyJrxeNEsdhstOMvhGQKRhrnaCgEaBlfLH
4732624,[4732487],249999,inf,1,1,0,0,1559,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpybOIOcRzaOydDoKHnFgIecjqvBdgaohLpEzfLJ
4732622,[4732487],249999,inf,2,2,0,0,1559,[66]fHcSxNcJofcGHcNcqQHwfqKCebbxpybOIOcRzaOydDoKHnFgIecjqvdgaohLpEzfLH
4732621,[4731675],249999,inf,1,1,0,0,1546,[67]fHcSsNcJofcGHcNcqQHwfqKCebbKxbEHyJvnjAralapAsHcJaArpKpwNFAMwQiwhfLH
4732620,[4729836],249999,inf,1,1,0,0,1555,[66]fHcSxocJofcGocNcqQHwfqKCebdhbFRKrnvDIrrLdkItHDpahsFjaCtDzzFMizOfLH
4732619,[4729836],249999,inf,2,2,0,0,1555,[66]fHcSxocJofcGHcNcqQHwfqKCebdhbeRKrnvDIrrLdkItHDpahsujaCtDzzFMizOfLH
4732618,[4729436],249999,inf,1,1,0,0,1553,[70]fHcSuNcJofcGHcocqQHwfqKCbEKGGyhopjCwapHOtGuwbrQIsJulFpttzEAsSwzxsfifLH
4732617,[4731788],249999,inf,1,1,0,0,1551,[71]fHcSuNcJofcGHcocqQHwfqKCebkJGjdCjjlAitzIgbRANrbaAFMwvlOPNoxHJggrxNoxfLH
4732616,[4728979],249999,inf,1,1,0,0,1521,[70]fHcSuNcJofcGHcocqQHwfqKCecqNnwlrhlyMyFkANKADorQkSikAOpgeINMJtLJoyjOfLH
4732610,[4732512],249999,inf,2,2,0,0,1505,[72]fHcSuNcJofcGHcocqQHwfqKCebRxBaGBdaObIIQNnbjjBgbnwqxwSexrBMDAjbcAFdSmIfLH
4732609,[4727432],249999,inf,1,1,0,0,1548,[67]fHcSxocJofcGHcNccQHwfqKCebJGhmKFBoyJrxeNusdhstOnvhGGKRhrzaCgEsQlfLH
4732607,[4720182],249999,inf,1,1,0,0,1554,[67]fHcSxocJofcGHcNcqQHwfqKCebphbeRvrFDiIrpLMkItqDlahsFjHxMtDbzFMOeOfLH
