"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"0","6",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"1","6",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"2","6",100,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Small","Small"
"3","6",100,0.46,0.8,0,1,1,1,1,2.52,5,1,13.48,15,11,1.52,4,0,14.48,16,12,0,0,0,0,0,0,100,"Small","Small"
"4","6",100,0.501,0.8,0,1,1,1,1,2.77,5,1,13.23,15,11,1.77,4,0,14.23,16,12,0,0,0,0,0,0,100,"Small","Small"
"5","6",100,0.471,0.8,0,1,1,1,1,2.59,5,1,18.41,20,16,1.59,4,0,19.41,21,17,0,0,0,0,0,0,100,"Small","Small"
"6","6",100,0.453,0.8,0,1,1,1,1,2.53,5,1,18.47,20,16,1.53,4,0,19.47,21,17,0,0,0,0,0,0,100,"Small","Small"
"7","6",100,0.435,0.8,0,1,1,1,1,2.23,5,1,18.77,20,16,1.23,4,0,19.77,21,17,0,0,0,0,0,0,100,"Small","Small"
"8","6",100,0.474,0.8,0,1,1,1,1,2.74,5,1,19.26,21,17,1.74,4,0,20.26,22,18,0,0,0,0,0,0,100,"Small","Small"
"9","6",100,0.427,0.8,0,1,1,1,1,2.31,5,1,19.69,21,17,1.31,4,0,20.69,22,18,0,0,0,0,0,0,100,"Small","Small"
"10","6",100,0.4,0.8,0,1,1,1,1,2.28,5,1,19.72,21,17,1.28,4,0,20.72,22,18,0,0,0,0,0,0,100,"Small","Small"
"11","6",100,0,0,0,1,1,1,1,1,1,1,37,37,37,0,0,0,19,19,19,18,18,18,1,1,1,100,"Small","Small"
"12","6",100,0,0,0,1,1,1,1,1,1,1,37,37,37,0,0,0,19,19,19,18,18,18,1,1,1,100,"Small","Small"
"13","6",100,0,0,0,1,1,1,1,1,1,1,37,37,37,0,0,0,19,19,19,18,18,18,1,1,1,100,"Small","Small"
"14","6",100,0,0,0,1,1,1,1,1,1,1,31,31,31,0,0,0,16,16,16,15,15,15,1,1,1,100,"Small","Small"
"15","6",100,0,0,0,1,1,1,1,1,1,1,31,31,31,0,0,0,16,16,16,15,15,15,1,1,1,100,"Small","Small"
"16","6",100,0,0,0,1,1,1,1,1,1,1,31,31,31,0,0,0,16,16,16,15,15,15,1,1,1,100,"Small","Small"
"17","6",100,0,0,0,1,1,1,1,1,1,1,31,31,31,0,0,0,16,16,16,15,15,15,1,1,1,99,"Small","Small"
"18","6",100,0,0,0,1,1,1,1,1,1,1,31,31,31,0,0,0,16,16,16,15,15,15,1,1,1,99,"Small","Small"
"19","6",100,0,0,0,1,1,1,1,1,1,1,33,33,33,0,0,0,17,17,17,16,16,16,1,1,1,99,"Small","Small"
"20","6",100,0,0,0,1,1,1,1,1,1,1,33,33,33,0,0,0,17,17,17,16,16,16,1,1,1,99,"Small","Small"
"21","6",100,0,0,0,1,1,1,1,1,1,1,33,33,33,0,0,0,17,17,17,16,16,16,1,1,1,100,"Small","Small"
"22","6",100,0,0,0,1,1,1,1,1,1,1,33,33,33,0,0,0,17,17,17,16,16,16,1,1,1,100,"Small","Small"
"23","6",100,0,0,0,1,1,1,1,1,1,1,33,33,33,0,0,0,17,17,17,16,16,16,1,1,1,100,"Small","Small"
"24","6",100,0,0,0,1,1,1,1,1,1,1,35,35,35,0,0,0,18,18,18,17,17,17,1,1,1,99,"Small","Small"
"25","6",100,0.467,0.8,0,1,1,1,1,2.39,5,1,17.61,19,15,1.39,4,0,18.61,20,16,0,0,0,0,0,0,99,"Small","Small"
"26","6",100,0.419,0.8,0,1,1,1,1,2.39,5,1,17.61,19,15,1.39,4,0,18.61,20,16,0,0,0,0,0,0,99,"Small","Small"
