"","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac"
"1",0,"Bet-hedged error correction",2,0.7213823025,7.23785685138168e+21,"Bet-hedged error correction",0.01
"2",0,"Bet-hedged learning",15,0.959686290666667,1.29635740268542e+27,"Bet-hedged learning",0.075
"3",0,"Error correction",140,0.809010700642857,1.45131323127566e+27,"Error correction",0.7
"4",0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08
"5",0,"Low activity",24,0.924647054583333,12.4387586958333,"Low activity",0.12
"6",0,"Mixed bet hedging",3,0.887812083333333,7.09119182648092e+26,"Mixed bet hedging",0.015
"7",50,"Bet-hedged learning",1,0.96402274,9.4615331656e+23,"Bet-hedged learning",0.02
"8",50,"Error correction",43,0.806430249534884,9.92673146767147e+26,"Error correction",0.86
"9",50,"Learning",3,1,5.45636372412328e+27,"Learning",0.06
"10",50,"Low activity",1,0.86404876,5.3868198,"Low activity",0.02
"11",50,"Mixed bet hedging",2,0.891950845,9.8154805958455e+27,"Mixed bet hedging",0.04
"12",100,"Bet-hedged error correction",2,0.80621968,1.48210069403438e+22,"Bet-hedged error correction",0.04
"13",100,"Bet-hedged learning",1,0.96070903,28940779220000.2,"Bet-hedged learning",0.02
"14",100,"Error correction",43,0.810728160697674,2.03142450149296e+24,"Error correction",0.86
"15",100,"Learning",2,0.97554356,5.34632894895e+28,"Learning",0.04
"16",100,"Mixed bet hedging",2,0.89823321,1.41772683699995e+21,"Mixed bet hedging",0.04
"17",150,"Error correction",43,0.807790116046512,2.26261459794819e+26,"Error correction",0.86
"18",150,"Learning",5,0.979183554,2.26025245441952e+28,"Learning",0.1
"19",150,"Mixed bet hedging",2,0.91027474,5.59106983025602e+28,"Mixed bet hedging",0.04
"20",200,"Error correction",48,0.806445191458333,3.51601854972649e+26,"Error correction",0.96
"21",200,"Learning",1,0.996958,1.122218087e+29,"Learning",0.02
"22",200,"Mixed bet hedging",1,0.97035771,1.8052240635222e+22,"Mixed bet hedging",0.02
"23",250,"Bet-hedged error correction",2,0.80038354,7.15890180038792e+22,"Bet-hedged error correction",0.04
"24",250,"Error correction",43,0.80811492,4.35380889326041e+25,"Error correction",0.86
"25",250,"Learning",4,0.9569672275,2.15024123906171e+27,"Learning",0.08
"26",250,"Mixed bet hedging",1,0.87772557,1.1076081592931e+28,"Mixed bet hedging",0.02
"27",300,"Bet-hedged error correction",3,0.795288333333333,6.04920247554893e+20,"Bet-hedged error correction",0.06
"28",300,"Error correction",39,0.810510444871795,1.72625861719048e+26,"Error correction",0.78
"29",300,"Learning",6,0.975139233333333,2.09066225375332e+28,"Learning",0.12
"30",300,"Mixed bet hedging",2,0.91565298,1.02240251629071e+27,"Mixed bet hedging",0.04
"31",350,"Bet-hedged error correction",1,0.84366674,1.15582711472836e+22,"Bet-hedged error correction",0.02
"32",350,"Error correction",40,0.8391269195,6.06821293992234e+26,"Error correction",0.8
"33",350,"Learning",9,0.994889121111111,5.06781284070852e+28,"Learning",0.18
"34",400,"Bet-hedged error correction",3,0.832380746666667,4.77010522974583e+21,"Bet-hedged error correction",0.0731707317073171
"35",400,"Error correction",31,0.840885251935484,5.42444275396355e+24,"Error correction",0.75609756097561
"36",400,"Learning",6,0.99076734,7.46777602338112e+28,"Learning",0.146341463414634
"37",400,"Mixed bet hedging",1,0.89552638,2.51243094344237e+28,"Mixed bet hedging",0.024390243902439
"38",450,"Bet-hedged error correction",1,0.83785553,4.8500471546613e+24,"Bet-hedged error correction",0.0232558139534884
"39",450,"Error correction",37,0.840764415405405,2.03655734395723e+26,"Error correction",0.86046511627907
"40",450,"Learning",5,0.978028872,7.68880551353253e+28,"Learning",0.116279069767442
