"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"1992",6278505,"6269247",249607,Inf,8,15,3,7,1401,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriSehJjbSgsBQMmmoIeRvdiGsbNmarApktxoAHxSgcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykriSehJjbSgsBQMmmoIeRvdiGsbNmarApktxoAHxSgcmkxSha","79"
"14255",6269247,"6260394",249252,249815,0,10,3,16,1400,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarApktxoAHxSgcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarApktxoAHxSgcmkxSha","79"
"4873",6260394,"6260075",248910,249263,0,4,1,16,1399,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarApkaxoAHxSgcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarApkaxoAHxSgcmkxSha","79"
"4133",6260075,"6254521",248898,248911,0,1,1,16,1398,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSgcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSgcmkxSha","79"
"3797",6254521,"6248705",248684,249197,0,8,1,16,1397,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykriNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSlcmkxSha","79"
"4156",6248705,"6247982",248460,248706,0,2,2,23,1396,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbNmarzpkaxoAHxSlcmkxSha","79"
"4204",6247982,"6245496",248432,248641,0,2,1,23,1395,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbNmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbNmarzpnaxoAHxSlcmkxSha","79"
"4306",6245496,"6235576",248337,248459,0,3,1,23,1394,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbbmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJfGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbbmarzpnaxoAHxSlcmkxSha","79"
"4351",6235576,"6223439",247958,248384,0,10,1,23,1393,"[79]FQPocPLHcNcJRqOcKBGCFuJbGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbbmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJbGMabFykrwNehJjbSgsBQMmmoIeRvdiGsbbmarzpnaxoAHxSlcmkxSha","79"
"4366",6223439,"6220001",247486,248355,0,31,2,44,1392,"[79]FQPocPLHcNcJRqOcKBGCFuJbGMabFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJbGMabFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","79"
"4581",6220001,"6218787",247352,247987,0,12,1,44,1391,"[79]FQPocPLHcNcJRqOcKBGCFuJbGMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJbGMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","79"
"5141",6218787,"6213356",247306,247457,0,3,1,44,1390,"[79]FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxSha","79"
"4534",6213356,"6205933",247097,248067,0,21,1,44,1389,"[79]FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehJjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","79"
"12849",6205933,"6201866",246806,247252,0,10,1,44,1388,"[79]FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehkjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","FQPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehkjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","79"
"7631",6201866,"6199651",246650,246806,0,1,1,44,1387,"[79]FFPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehkjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","FFPocPLHcNcJRqOcKBGCFuJbKMaDFykrwNehkjbSgsBQMmmoIeRvdiGObbmarzpnaxoAHxSlcmkxkha","79"
"16505",6199651,"6196809",246564,246672,0,1,1,44,1386,"[79]FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklbSgsBQMmmoIeRvdiGObbmarzpnaxoHHxSlcmkxkha","FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklbSgsBQMmmoIeRvdiGObbmarzpnaxoHHxSlcmkxkha","79"
"5173",6196809,"6188295",246455,246568,0,1,1,44,1385,"[79]FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklbSgsBQMmmoIeRvdiGObbmarzJnaxoHHxSlcmkxkha","FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklbSgsBQMmmoIeRvdiGObbmarzJnaxoHHxSlcmkxkha","79"
"5364",6188295,"6186800",246128,246578,0,12,2,47,1384,"[79]FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJnaxoHHxSlcmkxkha","FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJnaxoHHxSlcmkxkha","79"
"5370",6186800,"6173526",246069,246146,0,3,1,47,1383,"[79]FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJnaxoHHxSlcmwxLha","FFPocPLHcNcJRqOcKBGCFuJyKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJnaxoHHxSlcmwxLha","79"
"8251",6173526,"6164749",245556,246188,0,24,1,47,1382,"[79]FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHxSlcmwxLha","FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHxSlcmwxLha","79"
"9536",6164749,"6156171",245212,245728,0,14,1,47,1381,"[79]FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNehklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","79"
"5593",6156171,"6150685",244880,245439,0,13,1,47,1380,"[79]FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNeLklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","FFPocPLHcNcJRqOcKBGCFuJMKMaDFykrwNeLklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","79"
"5759",6150685,"6149442",244668,244947,0,8,1,47,1379,"[79]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvdiGObbmarzJFaxoHHnSlcmwxLha","79"
"5775",6149442,"6144971",244622,244795,0,2,1,47,1378,"[80]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarzJFaxoHHnSlcmNxLha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarzJFaxoHHnSlcmNxLha","80"
"13101",6144971,"6144050",244448,244673,0,4,1,47,1377,"[81]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarzJFaxoHaHnSlcmNxQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarzJFaxoHaHnSlcmNxQha","81"
"5878",6144050,"6140317",244413,244457,0,1,1,47,1376,"[81]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarwJFaxoHaHnSlcmNxQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmNoIeRvodiGObbmarwJFaxoHaHnSlcmNxQha","81"
"5883",6140317,"6120455",244269,244444,0,4,1,47,1375,"[81]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmBoIeRvodiGObbmarwJFaxoHaHnSlcmNxQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkSgsBQMmBoIeRvodiGObbmarwJFaxoHaHnSlcmNxQha","81"
"9052",6120455,"6118053",243488,244908,0,35,1,47,1374,"[81]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvodijObbmarwJFaxoHaHnSlfmNxQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvodijObbmarwJFaxoHaHnSlfmNxQha","81"
"6003",6118053,"6116607",243397,244058,0,21,1,47,1373,"[80]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvodijObbmarwJFaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvodijObbmarwJFaxoHaHnSlfmNQha","80"
"6107",6116607,"6111093",243341,243445,0,1,1,47,1372,"[79]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvdijObbmarwJFaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykrwNeLklkPgsBQMmBoIeRvdijObbmarwJFaxoHaHnSlfmNQha","79"
"6119",6111093,"6110715",243126,243397,0,8,1,47,1371,"[80]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgszQMmBoIeRvdijObbmaawJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgszQMmBoIeRvdijObbmaawJiaxoHaHnSlfmNQha","80"
"6605",6110715,"6104273",243111,243127,0,1,1,47,1370,"[80]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgsKQMmBoIeRvdijObbmaawJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgsKQMmBoIeRvdijObbmaawJiaxoHaHnSlfmNQha","80"
"12339",6104273,"6100096",242865,243242,0,3,1,47,1369,"[79]FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgsKQMmBoIeRvdijObbmawJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFykGrwNeLklkPgsKQMmBoIeRvdijObbmawJiaxoHaHnSlfmNQha","79"
"6231",6100096,"6098633",242702,242869,0,2,1,47,1368,"[79]FFPocPLHcNcJRqOcKBGCFuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmawJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmawJiaxoHaHnSlfmNQha","79"
"6255",6098633,"6089717",242648,242771,0,3,1,47,1367,"[79]FFPocPLHcNcJRqOcKBGCFuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiaxoHaHnSlfmNQha","79"
"6267",6089717,"6077586",242302,242710,0,20,1,47,1366,"[80]FFPocPLHcNcJRqOcKBGCFtuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiaxoHaHnSlfmNQha","FFPocPLHcNcJRqOcKBGCFtuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiaxoHaHnSlfmNQha","80"
"6446",6077586,"6073783",241833,242568,0,15,1,47,1365,"[80]FFPocPLHcNcJRqOcKBGCFtuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiAxoHaLnSlfmNQha","FFPocPLHcNcJRqOcKBGCFtuJMwMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJiAxoHaLnSlfmNQha","80"
"6442",6073783,"6039719",241682,241904,0,3,1,47,1364,"[80]FFPocPLHcNcJRqOcKBGCFtuJMkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHaLnSlfmNQha","FFPocPLHcNcJRqOcKBGCFtuJMkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHaLnSlfmNQha","80"
"14976",6039719,"6037817",240357,241856,0,49,1,47,1363,"[80]FFPocPLHcNcJRqOcKBGCFtuJMkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfmNQha","FFPocPLHcNcJRqOcKBGCFtuJMkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfmNQha","80"
"6729",6037817,"6025234",240285,240414,0,5,1,47,1362,"[80]FFPocPLHcNcJRqOcKBGCFtuJAkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfmNQha","FFPocPLHcNcJRqOcKBGCFtuJAkMaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfmNQha","80"
"6672",6025234,"6024772",239797,240849,0,25,1,47,1361,"[81]FFPocPLHcNcJRqOcKBGCFtuJAkCaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","FFPocPLHcNcJRqOcKBGCFtuJAkCaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","81"
"7753",6024772,"6023152",239778,240131,0,6,1,47,1360,"[81]FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgsKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","81"
"6820",6023152,"6016841",239716,239927,0,3,1,47,1359,"[81]FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGLnSlfimNQhp","81"
"6826",6016841,"6002402",239468,239894,0,8,1,47,1358,"[81]FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGLnAlfimNQhp","FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGLnAlfimNQhp","81"
"7712",6002402,"6002152",238901,239564,0,19,1,47,1357,"[81]FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoIeRvdijObbmcwJvAxoHGHnAlfimNQhp","81"
"6972",6002152,"5999114",238891,239125,0,3,1,47,1356,"[81]FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCFSuJAkCaDFyksrwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","81"
"6998",5999114,"5995345",238772,238955,0,4,1,47,1355,"[82]FFPocPLHcNcJRqOcKBGCKFSuJAkCaDFyksrwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCKFSuJAkCaDFyksrwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","82"
"7016",5995345,"5990493",238624,238854,0,3,1,47,1354,"[82]FFPocPLHcNcJRqOcKBGCKFSuJAkCaDFyksdwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCKFSuJAkCaDFyksdwNeLklkPgdKQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","82"
"7037",5990493,"5989293",238436,238741,0,7,1,47,1353,"[82]FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwNeLRlkPgdzQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwNeLRlkPgdzQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","82"
"7083",5989293,"5984373",238390,238446,0,2,1,47,1352,"[82]FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwJvAxoHGHnAlfimNQhp","82"
"7884",5984373,"5975903",238199,238601,0,7,1,47,1351,"[81]FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwvAxoHGHnAlfimNQhp","FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwvAxoHGHnAlfimNQhp","81"
"7088",5975903,"5974991",237866,238421,0,15,1,47,1350,"[81]FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwvAxoHGHnAlDimNQhp","FFPocPLHcNcJRqOcKBGCKASuJAkCaDFyksdwMeLRlkPgdzQMmBoImRvdijObbmcwvAxoHGHnAlDimNQhp","81"
"14673",5974991,"5973570",237830,237895,0,1,1,47,1349,"[81]FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMeLRlkPgdzQMmBoImRvdijObRmcwvAxoHGHnAlDimrQhp","FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMeLRlkPgdzQMmBoImRvdijObRmcwvAxoHGHnAlDimrQhp","81"
"7198",5973570,"5972850",237775,237841,0,1,1,47,1348,"[81]FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMeLRlkPgdzQMmBoImRvdijObRmcwvAxoHGGnAlDimrQhp","FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMeLRlkPgdzQMmBoImRvdijObRmcwvAxoHGGnAlDimrQhp","81"
"9755",5972850,"5971635",237745,237881,0,2,1,47,1347,"[81]FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMehRlkPgdzQMmBoImRvdijObRmcwvAxoHGGnAlDimrQhp","FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMehRlkPgdzQMmBoImRvdijObRmcwvAxoHGGnAlDimrQhp","81"
"7177",5971635,"5968751",237699,237993,0,4,1,47,1346,"[81]FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMehRlkPgdzQMmBoImRvdijObRmcwvAxofGGnAlDimrQhp","FFPocPLHcNcJRqOcKBGCKASuJakCaDFyksdwMehRlkPgdzQMmBoImRvdijObRmcwvAxofGGnAlDimrQhp","81"
