"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"4",4,0,"Learning",16,0.995198848125,1.47105942861603e+28,"Learning",0.08,"Small"
"9",9,50,"Learning",5,0.99688905,3.31818775283613e+27,"Learning",0.1,"Small"
"13",13,100,"Learning",9,0.998879011111111,2.9557611754621e+28,"Learning",0.18,"Small"
"17",17,150,"Learning",3,1,3.85854465611572e+27,"Learning",0.06,"Small"
"23",23,200,"Learning",8,0.9947665175,1.15829617047657e+28,"Learning",0.16,"Small"
"27",27,250,"Learning",9,0.994763931111111,6.85690809373921e+28,"Learning",0.18,"Small"
"32",32,300,"Learning",3,0.99484222,644521229276160000,"Learning",0.06,"Small"
"36",36,350,"Learning",3,1,1.7282218424e+20,"Learning",0.06,"Small"
"41",41,400,"Learning",10,1,9.79979356808286e+20,"Learning",0.2,"Small"
"45",45,401,"Learning",10,0.994364162,4.60489489721275e+20,"Learning",0.2,"Small"
"50",50,402,"Learning",7,1,36651008366528568,"Learning",0.14,"Small"
"54",54,403,"Learning",6,1,1.16311651007621e+20,"Learning",0.12,"Small"
"58",58,404,"Learning",8,0.99911441375,5.80230034301097e+21,"Learning",0.16,"Small"
"63",63,405,"Learning",6,0.989450118333333,19842234309304463360,"Learning",0.12,"Small"
"68",68,406,"Learning",7,1,1.83231115615764e+27,"Learning",0.14,"Small"
"73",73,407,"Learning",10,0.998988751,3.93000749818079e+22,"Learning",0.2,"Small"
"77",77,408,"Learning",7,0.999817652857143,4.06528489611114e+20,"Learning",0.14,"Small"
"81",81,409,"Learning",8,0.9998450175,1.41741081879053e+21,"Learning",0.16,"Small"
"86",86,410,"Learning",7,1,3.54096544253196e+23,"Learning",0.14,"Small"
"91",91,411,"Learning",7,0.999607758571429,5069158884340245504,"Learning",0.14,"Small"
"96",96,412,"Learning",8,0.9998163475,6.45273742716463e+20,"Learning",0.16,"Small"
"101",101,413,"Learning",11,1,1.07550056229794e+28,"Learning",0.22,"Small"
"105",105,414,"Learning",6,1,56354169371440635904,"Learning",0.12,"Small"
"110",110,415,"Learning",7,0.999645624285714,1.11032060526105e+21,"Learning",0.14,"Small"
"116",116,416,"Learning",9,0.999705651111111,13607058143682600960,"Learning",0.18,"Small"
"120",120,417,"Learning",14,0.993648006428571,2.00483762405175e+27,"Learning",0.28,"Small"
"124",124,418,"Learning",9,1,3.56520921038119e+22,"Learning",0.18,"Small"
"129",129,419,"Learning",7,1,5.33231595522954e+20,"Learning",0.14,"Small"
"134",134,420,"Learning",6,0.994277993333333,1.4913867190163e+19,"Learning",0.12,"Small"
"139",139,421,"Learning",8,1,6248126022458785792,"Learning",0.16,"Small"
"143",143,422,"Learning",11,1,2.12765685563842e+28,"Learning",0.22,"Small"
"148",148,423,"Learning",10,1,7441416745942351872,"Learning",0.2,"Small"
"154",154,424,"Learning",8,0.99931210375,38946743634819629056,"Learning",0.16,"Small"
"159",159,425,"Learning",10,1,3.4052365562999e+19,"Learning",0.2,"Small"
"164",164,426,"Learning",4,0.999715095,7.63309279447533e+23,"Learning",0.08,"Small"
"169",169,427,"Learning",9,0.994063835555556,3.33990705129033e+24,"Learning",0.18,"Small"
"174",174,428,"Learning",8,0.99310690125,1.3815434425461e+28,"Learning",0.16,"Small"
"178",178,429,"Learning",18,0.999722132777778,2.0857518392906e+23,"Learning",0.36,"Small"
"183",183,430,"Learning",9,1,6.96940257740219e+21,"Learning",0.18,"Small"
"188",188,431,"Learning",10,0.998723444,1.72574078882184e+22,"Learning",0.2,"Small"
"192",192,432,"Learning",28,0.999856502857143,3.62884228935517e+23,"Learning",0.56,"Small"
"198",198,433,"Learning",33,0.999936751515151,16630142786135447552,"Learning",0.66,"Small"
"201",201,434,"Learning",34,0.999970057647059,2.45003063596197e+22,"Learning",0.68,"Small"
"207",207,435,"Learning",31,0.998531171290323,4.26822902455182e+20,"Learning",0.62,"Small"
"212",212,436,"Learning",27,0.99969679037037,5.60881790715879e+25,"Learning",0.54,"Small"
"215",215,437,"Learning",26,0.999943174230769,15110461986346389504,"Learning",0.52,"Small"
"219",219,438,"Learning",21,0.999670719523809,1.75019632124129e+24,"Learning",0.42,"Small"
"224",224,439,"Learning",26,1,18290109244237811712,"Learning",0.52,"Small"
"229",229,440,"Learning",19,0.997216818947368,5.29301948443827e+20,"Learning",0.38,"Small"
"234",234,441,"Learning",23,0.999676223913043,3.81838741883551e+27,"Learning",0.46,"Small"
"239",239,442,"Learning",25,0.9998842936,9.06389939795194e+22,"Learning",0.5,"Small"
"245",245,443,"Learning",29,0.999961378275862,1.92311841428528e+20,"Learning",0.58,"Small"
"250",250,444,"Learning",27,0.997389728518518,2.04835423833115e+22,"Learning",0.54,"Small"
"255",255,445,"Learning",31,0.99982629483871,3.96491944435921e+26,"Learning",0.62,"Small"
"260",260,446,"Learning",26,0.999817223076923,1.29555641558827e+20,"Learning",0.52,"Small"
"265",265,447,"Learning",35,0.996800673714286,2.3102782949687e+21,"Learning",0.7,"Small"
"270",270,448,"Learning",26,0.998258850769231,1.93288507394897e+21,"Learning",0.52,"Small"
"275",275,449,"Learning",21,1,1.96079450772223e+21,"Learning",0.42,"Small"
"280",280,450,"Learning",22,0.999672147727273,2.50572960542824e+26,"Learning",0.44,"Small"
"285",285,451,"Learning",24,0.99978667,3.91662144615512e+23,"Learning",0.48,"Small"
"291",291,452,"Learning",26,0.997729762692308,2.28382160346707e+22,"Learning",0.52,"Small"
"296",296,453,"Learning",24,0.9991753125,3.33241701394126e+22,"Learning",0.48,"Small"
"302",302,454,"Learning",21,0.994354737142857,2.35428292322532e+24,"Learning",0.42,"Small"
"307",307,455,"Learning",23,0.994698074347826,1.03061289268297e+20,"Learning",0.46,"Small"
"313",313,456,"Learning",22,0.99988881,3.3701565319629e+22,"Learning",0.44,"Small"
"318",318,457,"Learning",28,0.999808902142857,2.62080282169361e+21,"Learning",0.56,"Small"
"323",323,458,"Learning",24,0.999902150833333,2.63290865546421e+26,"Learning",0.48,"Small"
"328",328,459,"Learning",26,0.995344563846154,1.86634363900363e+22,"Learning",0.52,"Small"
"333",333,460,"Learning",22,0.999870286818182,1.2131577826747e+22,"Learning",0.44,"Small"
"338",338,461,"Learning",22,0.999703588636364,9.41167608102509e+20,"Learning",0.44,"Small"
"343",343,462,"Learning",27,0.997656831851852,90286307012375658496,"Learning",0.54,"Small"
"348",348,463,"Learning",24,0.999825651666667,9.29417602673942e+21,"Learning",0.48,"Small"
"353",353,464,"Learning",21,0.999884192380952,1.06174375874024e+21,"Learning",0.42,"Small"
"358",358,465,"Learning",28,0.999762719285714,1.36615563445503e+23,"Learning",0.56,"Small"
"363",363,466,"Learning",24,0.999676123333333,6.40208032996827e+24,"Learning",0.48,"Small"
"368",368,467,"Learning",27,0.997128487777778,2.48528601883186e+24,"Learning",0.54,"Small"
"373",373,468,"Learning",28,0.999850335357143,5.81290891844759e+21,"Learning",0.56,"Small"
"378",378,469,"Learning",19,0.999828329473684,2.39501184019358e+22,"Learning",0.38,"Small"
"383",383,470,"Learning",24,0.997780457083333,5.90167976581337e+20,"Learning",0.48,"Small"
"388",388,471,"Learning",24,0.999757934166667,4.57189436591086e+20,"Learning",0.48,"Small"
"394",394,472,"Learning",27,0.999962681851852,1.75740897090814e+21,"Learning",0.54,"Small"
"399",399,473,"Learning",18,0.9998766,74619975532955549696,"Learning",0.36,"Small"
"404",404,474,"Learning",20,0.999940139,5.80743195227143e+27,"Learning",0.4,"Small"
"410",410,475,"Learning",17,0.997080726470588,4.51935997532685e+20,"Learning",0.34,"Small"
"414",414,476,"Learning",27,0.997775398518518,1.26917752190474e+26,"Learning",0.54,"Small"
"419",419,477,"Learning",18,0.996819107222222,1.17998121456918e+21,"Learning",0.36,"Small"
"425",425,478,"Learning",18,0.999833172222222,6.27705211590406e+21,"Learning",0.36,"Small"
"429",429,479,"Learning",17,1,5.66757568748506e+21,"Learning",0.34,"Small"
"435",435,480,"Learning",10,0.995186536,2.236229393807e+18,"Learning",0.2,"Small"
"441",441,481,"Learning",14,0.999756248571429,5.29428008045989e+22,"Learning",0.28,"Small"
"446",446,482,"Learning",18,0.999940464444444,4.81258799023494e+20,"Learning",0.36,"Small"
"451",451,483,"Learning",17,0.999850525882353,4.94859849663404e+20,"Learning",0.34,"Small"
"456",456,484,"Learning",46,0.999787272826087,8.26623040309223e+22,"Learning",0.92,"Small"
"459",459,485,"Learning",44,0.999809809545455,2.7264737694113e+21,"Learning",0.88,"Small"
"464",464,486,"Learning",43,0.998375698372093,1.51952410255891e+22,"Learning",0.86,"Small"
"468",468,487,"Learning",46,0.999774764565217,1.50094288506373e+23,"Learning",0.92,"Small"
"471",471,488,"Learning",41,0.999848739512195,1.75208103252527e+23,"Learning",0.82,"Small"
"475",475,489,"Learning",46,0.999658543043478,1.42431887677606e+22,"Learning",0.92,"Small"
"479",479,490,"Learning",45,0.999612763777778,1.21784425736608e+22,"Learning",0.9,"Small"
"482",482,491,"Learning",46,0.998629610217391,1.42488721053399e+26,"Learning",0.92,"Small"
"485",485,492,"Learning",46,0.999855116956522,1.3120006414271e+24,"Learning",0.92,"Small"
"489",489,493,"Learning",48,0.998752121875,1.40098432535136e+21,"Learning",0.96,"Small"
"491",491,494,"Learning",49,0.999850211428571,1.03215305001908e+23,"Learning",0.98,"Small"
"495",495,495,"Learning",42,0.999785358571429,4.46348185200412e+21,"Learning",0.84,"Small"
"500",500,496,"Learning",45,0.999923366666667,9.77766839934449e+20,"Learning",0.9,"Small"
"504",504,497,"Learning",45,0.999738209333333,1.15478097537915e+22,"Learning",0.9,"Small"
"507",507,498,"Learning",47,0.999816855957447,5.64784710403536e+22,"Learning",0.94,"Small"
"510",510,499,"Learning",44,0.999958052272727,1.41465814686896e+21,"Learning",0.88,"Small"
"514",514,500,"Learning",42,0.999814635952381,9.69110379054579e+25,"Learning",0.84,"Small"
"517",517,550,"Learning",48,1,4.63327708688375e+20,"Learning",0.96,"Learning"
"519",519,600,"Learning",49,1,5.25411888781904e+25,"Learning",0.98,"Learning"
"521",521,650,"Learning",48,1,17797580979541665792,"Learning",0.96,"Learning"
"522",522,700,"Learning",50,1,2.22320070142e+19,"Learning",1,"Learning"
"524",524,750,"Learning",47,1,5668544072340425728,"Learning",0.94,"Learning"
"525",525,800,"Learning",50,1,6.07358974e+18,"Learning",1,"Learning"
"527",527,850,"Learning",48,1,14054296817083332608,"Learning",0.96,"Learning"
"530",530,900,"Learning",48,1,1.2467249820625e+19,"Learning",0.96,"Learning"
"532",532,950,"Learning",49,1,5255219618367346688,"Learning",0.98,"Learning"
"534",534,1000,"Learning",49,1,5332280149591836672,"Learning",0.98,"Learning"
