genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[66]LGLcnPNosCnNopLHxaiOMutoDDzutDcaRyrbvlISmMasqRfIKSlJyfewaibFjffdov",8,4,2749,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2, 1
"[68]gFHMLHOGNJRaCIKCsayAfznxFMeJodSbvwjivubPuzEclpIGGBsEEypnccMighRzoObx",1.62259e+32,6.1897e+26,10085,0.811765,170,32,138,32,32,0,77,77,99,99,77,77,172,95, 10
"[112]jBtHOKHNJqqILqeSrrRAPvcqQdSkMDDpJnwJktJdaaxsMagtdoipeRGMkQLaSiJbPvMCLvEmgiiJnHJaEEHewDCjCqbCASIoOStjssCrAbcrFfEj",2.17781e+40,1.9807e+28,10378,0.745387,271,69,202,69,69,0,69,69,59,59,144,75,68,68, 100
"[84]vbSinaiPcSkcyecvHqhtSNsxpvDONhaifOylcrRtRyoGrHylBMvtdAxvsCAIaGKwbHbRLHPvaMCJSlxnORmQ",3.24519e+32,1.20893e+24,10272,0.805714,175,34,141,34,34,0,34,34,52,52,34,34,89,55, 101
"[115]CHgQJQqOKqayILqCoveGaBSJMyiFmBoDgCHrpEePrywdmfMnfujLuaqEqGplvFPkGnahOwgRyHsGPeiAMPDwdAsmJxFpiNpzDrDhjjKCSiEzPHBngjv",9.80797e+55,9.44473e+21,7368,0.754821,363,89,274,89,89,0,89,89,89,89,185,96,89,89, 102
"[94]ntCfNJGHSBLCActJfgQFjfztptqtRbSSkucsmhgRjeRggnhScwjzwSrrkDNoeiRpjCPxQhiruvNiLGGgkHcPHuJPkpiGED",6.71089e+07,2,3113,0.962963,27,0,26,1,0,0,0,0,9,9,0,0,23,19, 103
"[98]HRLHcmSPcIBEHMKHNJqGCemEKFIeuOjrKbaPgaaPrPgEkxwlkrRhPAcxRQbqCAyBLxahAqimcvEajucrNmIyJboenEyHOiIzfy",7.84638e+56,3.86856e+25,10446,0.722749,422,117,305,117,117,0,117,117,93,93,117,117,212,95, 104
"[104]dhaavNJBHPIRLqaKHqKHqKcHCRcwFnJpRjRhJzbFDrHruRpkOCwEwciMtBwmpBlOMNfxmhOBmPfmgaCmHQdorQxPzytjqsnHAhGgPzzy",2.03704e+90,1.32923e+36,11891,0.823656,465,82,383,82,82,0,82,82,131,131,126,126,208,126, 105
"[106]ShuCNbEhmkHujEsmvnhtzpvoFeQnQNbOJwBOvnavjPlnplfOfnDupItLFSnKmtjSbbbwPBekrjcznddAtHMKRdfdHNJqBNGDeeNvLsILqe",6.36574e+88,4.8357e+24,7780,0.782692,520,113,407,113,113,0,113,113,151,151,256,143,113,113, 106
"[88]kNJPBHRLHqGIKHqxOQqdKEhNFyQiplAhrvgMsfvEeyOmoRsRcNsCBGAiaHNCSmBrpniHaPRpvImyEpoOooFDfLAg",5.1923e+33,1.23794e+27,8676,0.810056,179,34,145,34,34,0,34,34,56,56,33,33,90,56, 107
