"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"1",1,"Bet-hedged learning",7,0.911514885285714,2.04163136811285e+71,"Bet-hedged learning",1010,0.14,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"2",2,"Learning",41,0.995437287073171,1.51743741436068e+82,"Learning",1010,0.82,"Learning",TRUE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"3",3,"Mixed bet hedging",2,0.943921455,8.45237320458047e+89,"Mixed bet hedging",1010,0.04,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"4",4,"Error correction",0,NA,NA,"Error correction",1010,0,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"5",5,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1010,0,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"6",6,"Other",0,NA,NA,"Other",1010,0,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"7",7,"Low activity",0,NA,NA,"Low activity",1010,0,"Learning",FALSE,0,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,1
"8",8,"Bet-hedged learning",14,0.730679572857143,5.14355893078848e+87,"Bet-hedged learning",610,0.28,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"9",9,"Error correction",27,0.750732157037037,7.39370074081101e+88,"Error correction",610,0.54,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"10",10,"Learning",7,0.995018868571429,2.54368540574645e+89,"Learning",610,0.14,"Small",TRUE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,FALSE,1010,0.603960396039604
"11",11,"Low activity",1,0.67,442.09,"Low activity",610,0.02,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"12",12,"Mixed bet hedging",1,0.99272985,1.86077466342477e+81,"Mixed bet hedging",610,0.02,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"13",13,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",610,0,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"14",14,"Other",0,NA,NA,"Other",610,0,"Small",FALSE,-400,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.603960396039604
"15",15,"Bet-hedged error correction",1,0.747124217821782,4.74164964720911e+50,"Bet-hedged error correction",660,0.02,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"16",16,"Bet-hedged learning",20,0.697117443,8.92534093858971e+88,"Bet-hedged learning",660,0.4,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"17",17,"Error correction",19,0.751329092631579,1.10855263694373e+62,"Error correction",660,0.38,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"18",18,"Learning",9,0.995927701111111,6.18983328320454e+89,"Learning",660,0.18,"Small",TRUE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,FALSE,1010,0.653465346534653
"19",19,"Mixed bet hedging",1,0.89498144,2.67042553075963e+42,"Mixed bet hedging",660,0.02,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"20",20,"Other",0,NA,NA,"Other",660,0,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"21",21,"Low activity",0,NA,NA,"Low activity",660,0,"Small",FALSE,-350,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.653465346534653
"22",22,"Bet-hedged learning",5,0.719449838,3.32137026768331e+89,"Bet-hedged learning",710,0.1,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"23",23,"Error correction",26,0.758761235769231,2.8191239668493e+57,"Error correction",710,0.52,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"24",24,"Learning",9,0.995001071111111,2.15882916388889e+89,"Learning",710,0.18,"Small",TRUE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"25",25,"Low activity",10,0.661349572,99.352,"Low activity",710,0.2,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"26",26,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",710,0,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"27",27,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",710,0,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"28",28,"Other",0,NA,NA,"Other",710,0,"Small",FALSE,-300,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.702970297029703
"29",29,"Error correction",18,0.773965990555556,1.34940798883985e+80,"Error correction",760,0.36,"Small",FALSE,-250,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.752475247524752
