"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"2",1,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"3",2,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"4",3,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",9,0.9,31,10,0,9,1,0,0,0,0,5,5,5,4,0,0,1
"5",4,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,2,2,1,0,0,0,1
"6",5,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"7",6,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"8",7,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"9",8,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"10",9,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"11",10,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",5,0.833333,31,6,0,5,1,0,0,0,0,1,1,5,4,0,0,1
"12",11,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"13",12,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"14",13,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,2,2,3,2,0,0,1
"15",14,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"16",15,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"17",16,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"18",17,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"19",18,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"20",19,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"21",20,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"22",21,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,2,2,1,0,0,0,1
"23",22,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"24",23,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"25",24,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",8,0.888889,31,9,0,8,1,0,0,0,0,3,3,6,5,0,0,1
"26",25,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,2,2,3,2,0,0,1
"27",26,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"28",27,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"29",28,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"30",29,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",6,0.857143,31,7,0,6,1,0,0,0,0,4,4,3,2,0,0,1
"31",30,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"32",31,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",8,0.888889,31,9,0,8,1,0,0,0,0,4,4,5,4,0,0,1
"33",32,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"34",33,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"35",34,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"36",35,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",6,0.857143,31,7,0,6,1,0,0,0,0,1,1,6,5,0,0,1
"37",36,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"38",37,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"39",38,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",8,0.888889,31,9,0,8,1,0,0,0,0,3,3,6,5,0,0,1
"40",39,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"41",40,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,0,0,5,4,0,0,1
"42",41,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"43",42,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"44",43,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"45",44,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",7,0.875,31,8,0,7,1,0,0,0,0,3,3,5,4,0,0,1
"46",45,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"47",46,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"48",47,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"49",48,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"50",49,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"51",50,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"52",51,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,2,2,3,2,0,0,1
"53",52,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"54",53,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"55",54,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"56",55,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"57",56,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",13,0.928571,31,14,0,13,1,0,0,0,0,5,5,9,8,0,0,1
"58",57,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"59",58,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",6,0.857143,31,7,0,6,1,0,0,0,0,2,2,5,4,0,0,1
"60",59,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,2,2,3,2,0,0,1
"61",60,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"62",61,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"63",62,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",5,0.833333,31,6,0,5,1,0,0,0,0,0,0,6,5,0,0,1
"64",63,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"65",64,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,1,1,4,3,0,0,1
"66",65,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"67",66,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"68",67,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,2,2,3,2,0,0,1
"69",68,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"70",69,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"71",70,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"72",71,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"73",72,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,0,0,5,4,0,0,1
"74",73,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"75",74,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"76",75,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"77",76,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"78",77,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",8,0.888889,31,9,0,8,1,0,0,0,0,7,7,2,1,0,0,1
"79",78,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",7,0.875,31,8,0,7,1,0,0,0,0,2,2,6,5,0,0,1
"80",79,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"81",80,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",9,0.9,31,10,0,9,1,0,0,0,0,7,7,3,2,0,0,1
"82",81,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"83",82,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"84",83,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"85",84,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"86",85,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"87",86,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"88",87,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"89",88,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"90",89,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",0,0,31,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"91",90,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",13,0.928571,31,14,0,13,1,0,0,0,0,10,10,4,3,0,0,1
"92",91,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"93",92,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"94",93,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"95",94,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,4,4,1,0,0,0,1
"96",95,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",2,0.666667,31,3,0,2,1,0,0,0,0,2,2,1,0,0,0,1
"97",96,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",4,0.8,31,5,0,4,1,0,0,0,0,1,1,4,3,0,0,1
"98",97,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",7,0.875,31,8,0,7,1,0,0,0,0,5,5,3,2,0,0,1
"99",98,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",3,0.75,31,4,0,3,1,0,0,0,0,2,2,2,1,0,0,1
"100",99,"[31]lowzjmGkyHhoJGbpntfzGHopKdFeupv",1,0.5,31,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"101",0,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",4,0.8,29,5,0,4,1,0,0,0,0,2,2,3,2,0,0,2
"102",1,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",3,0.75,29,4,0,3,1,0,0,0,0,1,1,3,2,0,0,2
"103",2,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",1,0.5,29,2,0,1,1,0,0,0,0,0,0,2,1,0,0,2
"104",3,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",2,0.666667,29,3,0,2,1,0,0,0,0,1,1,2,1,0,0,2
"105",4,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",4,0.8,29,5,0,4,1,0,0,0,0,3,3,2,1,0,0,2
"106",5,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",0,0,29,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2
"107",6,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",1,0.5,29,2,0,1,1,0,0,0,0,1,1,1,0,0,0,2
"108",7,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",0,0,29,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2
"109",8,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",1,0.5,29,2,0,1,1,0,0,0,0,1,1,1,0,0,0,2
"110",9,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",3,0.75,29,4,0,3,1,0,0,0,0,1,1,3,2,0,0,2
"111",10,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",4,0.8,29,5,0,4,1,0,0,0,0,1,1,4,3,0,0,2
"112",11,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",1,0.5,29,2,0,1,1,0,0,0,0,0,0,2,1,0,0,2
"113",12,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",4,0.8,29,5,0,4,1,0,0,0,0,2,2,3,2,0,0,2
"114",13,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",5,0.833333,29,6,0,5,1,0,0,0,0,1,1,5,4,0,0,2
"115",14,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",0,0,29,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2
"116",15,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",2,0.666667,29,3,0,2,1,0,0,0,0,1,1,2,1,0,0,2
"117",16,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",3,0.75,29,4,0,3,1,0,0,0,0,1,1,3,2,0,0,2
"118",17,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",1,0.5,29,2,0,1,1,0,0,0,0,0,0,2,1,0,0,2
"119",18,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",2,0.666667,29,3,0,2,1,0,0,0,0,2,2,1,0,0,0,2
"120",19,"[29]GHFsAEBGuoKlejhcsAvocJfGscvnj",2,0.666667,29,3,0,2,1,0,0,0,0,1,1,2,1,0,0,2
