"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",62,0.738636,32,176,46,130,46,46,0,46,46,45,45,85,39,46,46,1
"2",1,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",94,0.808989,32,178,34,144,34,34,0,34,34,60,60,84,50,34,34,1
"3",2,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",80,0.767196,32,189,44,145,44,44,0,44,44,56,56,89,45,44,44,1
"4",3,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",69,0.752809,32,178,44,134,44,44,0,44,44,41,41,93,49,44,44,1
"5",4,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",104.5,0.80597,32,201,39,162,39,39,0,39,39,70,70,92,53,39,39,1
"6",5,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",56,0.718919,32,185,52,133,52,52,0,52,52,46,46,87,35,52,52,1
"7",6,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",76,0.766667,32,180,42,138,42,42,0,42,42,51,51,87,45,42,42,1
"8",7,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",77,0.767956,32,181,42,139,42,42,0,42,42,37,37,102,60,42,42,1
"9",8,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",87.5,0.788043,32,184,39,145,39,39,0,39,39,60,60,85,46,39,39,1
"10",9,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",89,0.777778,32,198,44,154,44,44,0,44,44,68,68,86,42,44,44,1
"11",10,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",75.5,0.763736,32,182,43,139,43,43,0,43,43,47,47,92,49,43,43,1
"12",11,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",73.5,0.756757,32,185,45,140,45,45,0,45,45,44,44,96,51,45,45,1
"13",12,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",57.5,0.726257,32,179,49,130,49,49,0,49,49,32,32,98,49,49,49,1
"14",13,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",85.5,0.780749,32,187,41,146,41,41,0,41,41,51,51,95,54,41,41,1
"15",14,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",63,0.729167,32,192,52,140,52,52,0,52,52,54,54,86,34,52,52,1
"16",15,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",76.5,0.769663,32,178,41,137,41,41,0,41,41,44,44,93,52,41,41,1
"17",16,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",51,0.711111,32,180,52,128,52,52,0,52,52,34,34,94,42,52,52,1
"18",17,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",80,0.776536,32,179,40,139,40,40,0,40,40,54,54,85,45,40,40,1
"19",18,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",58.5,0.731429,32,175,47,128,47,47,0,47,47,35,35,93,46,47,47,1
"20",19,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",65,0.73913,32,184,48,136,48,48,0,48,48,47,47,89,41,48,48,1
"21",20,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",86.5,0.781915,32,188,41,147,41,41,0,41,41,55,55,92,51,41,41,1
"22",21,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",52,0.712707,32,181,52,129,52,52,0,52,52,34,34,95,43,52,52,1
"23",22,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",62,0.734807,32,181,48,133,48,48,0,48,48,43,43,90,42,48,48,1
"24",23,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",58,0.728814,32,177,48,129,48,48,0,48,48,34,34,95,47,48,48,1
"25",24,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",60,0.735632,32,174,46,128,46,46,0,46,46,37,37,91,45,46,46,1
"26",25,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",62.5,0.73743,32,179,47,132,47,47,0,47,47,38,38,94,47,47,47,1
"27",26,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",75,0.756614,32,189,46,143,46,46,0,46,46,54,54,89,43,46,46,1
"28",27,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",61,0.733333,32,180,48,132,48,48,0,48,48,54,54,78,30,48,48,1
"29",28,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",68.5,0.75,32,180,45,135,45,45,0,45,45,47,47,88,43,45,45,1
"30",29,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",82.5,0.777174,32,184,41,143,41,41,0,41,41,58,58,85,44,41,41,1
"31",30,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",67.5,0.748603,32,179,45,134,45,45,0,45,45,40,40,94,49,45,45,1
"32",31,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",75.5,0.763736,32,182,43,139,43,43,0,43,43,43,43,96,53,43,43,1
"33",32,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",57.5,0.722826,32,184,51,133,51,51,0,51,51,31,31,102,51,51,51,1
"34",33,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",66.5,0.747191,32,178,45,133,45,45,0,45,45,38,38,95,50,45,45,1
"35",34,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",65,0.743017,32,179,46,133,46,46,0,46,46,44,44,89,43,46,46,1
"36",35,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",88,0.78125,32,192,42,150,42,42,0,42,42,61,61,89,47,42,42,1
"37",36,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",62,0.734807,32,181,48,133,48,48,0,48,48,49,49,84,36,48,48,1
"38",37,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",74,0.759563,32,183,44,139,44,44,0,44,44,45,45,94,50,44,44,1
"39",38,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",82.5,0.777174,32,184,41,143,41,41,0,41,41,51,51,92,51,41,41,1
"40",39,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",69.5,0.747312,32,186,47,139,47,47,0,47,47,44,44,95,48,47,47,1
"41",40,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",72,0.752688,32,186,46,140,46,46,0,46,46,53,53,87,41,46,46,1
"42",41,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",54.5,0.718232,32,181,51,130,51,51,0,51,51,41,41,89,38,51,51,1
"43",42,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",63,0.736264,32,182,48,134,48,48,0,48,48,52,52,82,34,48,48,1
"44",43,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",65,0.747126,32,174,44,130,44,44,0,44,44,33,33,97,53,44,44,1
"45",44,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",54,0.722543,32,173,48,125,48,48,0,48,48,36,36,89,41,48,48,1
"46",45,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",62.5,0.73743,32,179,47,132,47,47,0,47,47,44,44,88,41,47,47,1
"47",46,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",71,0.751351,32,185,46,139,46,46,0,46,46,47,47,92,46,46,46,1
"48",47,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",68.5,0.75,32,180,45,135,45,45,0,45,45,44,44,91,46,45,45,1
"49",48,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",63,0.73262,32,187,50,137,50,50,0,50,50,49,49,88,38,50,50,1
"50",49,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",83,0.785311,32,177,38,139,38,38,0,38,38,51,51,88,50,38,38,1
"51",50,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",81.5,0.775956,32,183,41,142,41,41,0,41,41,58,58,84,43,41,41,1
"52",51,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",67.5,0.744565,32,184,47,137,47,47,0,47,47,46,46,91,44,47,47,1
"53",52,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",71,0.755556,32,180,44,136,44,44,0,44,44,46,46,90,46,44,44,1
"54",53,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",67,0.745856,32,181,46,135,46,46,0,46,46,45,45,90,44,46,46,1
"55",54,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",66,0.744444,32,180,46,134,46,46,0,46,46,37,37,97,51,46,46,1
"56",55,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",71,0.751351,32,185,46,139,46,46,0,46,46,51,51,88,42,46,46,1
"57",56,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",77,0.767956,32,181,42,139,42,42,0,42,42,43,43,96,54,42,42,1
"58",57,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",81,0.777778,32,180,40,140,40,40,0,40,40,43,43,97,57,40,40,1
"59",58,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",57,0.723757,32,181,50,131,50,50,0,50,50,40,40,91,41,50,50,1
"60",59,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",63,0.736264,32,182,48,134,48,48,0,48,48,37,37,97,49,48,48,1
"61",60,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",68,0.747253,32,182,46,136,46,46,0,46,46,36,36,100,54,46,46,1
"62",61,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",67,0.745856,32,181,46,135,46,46,0,46,46,41,41,94,48,46,46,1
"63",62,"[32]tkvvuoJzeHcyboKEDEbmkHqaIpdELHGq",61,0.733333,32,180,48,132,48,48,0,48,48,38,38,94,46,48,48,1
