"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"1",0,"[18]HcAHxGnJHqKHqaIebJ",307,1,18,306,0,306,0,0,0,0,0,160,160,146,146,1
"2",1,"[18]HcAHxGnJHqKHqaIebJ",300,1,18,299,0,299,0,0,0,0,0,157,157,142,142,1
"3",2,"[18]HcAHxGnJHqKHqaIebJ",294,1,18,293,0,293,0,0,0,0,0,132,132,161,161,1
"4",3,"[18]HcAHxGnJHqKHqaIebJ",295,1,18,294,0,294,0,0,0,0,0,138,138,156,156,1
"5",4,"[18]HcAHxGnJHqKHqaIebJ",299,1,18,298,0,298,0,0,0,0,0,142,142,156,156,1
"6",5,"[18]HcAHxGnJHqKHqaIebJ",302,1,18,301,0,301,0,0,0,0,0,152,152,149,149,1
"7",6,"[18]HcAHxGnJHqKHqaIebJ",294,0.993266,18,297,2,295,2,2,0,2,2,150,150,147,145,1
"8",7,"[18]HcAHxGnJHqKHqaIebJ",303,0.996711,18,304,1,303,1,1,0,1,1,163,163,141,140,1
"9",8,"[18]HcAHxGnJHqKHqaIebJ",282,0.979522,18,293,6,287,6,6,0,6,6,153,153,140,134,1
"10",9,"[18]HcAHxGnJHqKHqaIebJ",294,1,18,293,0,293,0,0,0,0,0,143,143,150,150,1
"11",10,"[18]HcAHxGnJHqKHqaIebJ",299,1,18,298,0,298,0,0,0,0,0,144,144,154,154,1
"12",11,"[18]HcAHxGnJHqKHqaIebJ",296,0.996633,18,297,1,296,1,1,0,1,1,140,140,157,156,1
"13",12,"[18]HcAHxGnJHqKHqaIebJ",302,0.9967,18,303,1,302,1,1,0,1,1,159,159,144,143,1
"14",13,"[18]HcAHxGnJHqKHqaIebJ",298,0.996656,18,299,1,298,1,1,0,1,1,165,165,134,133,1
"15",14,"[18]HcAHxGnJHqKHqaIebJ",302,1,18,301,0,301,0,0,0,0,0,148,148,153,153,1
"16",15,"[18]HcAHxGnJHqKHqaIebJ",299,0.993377,18,302,2,300,2,2,0,2,2,160,160,142,140,1
"17",16,"[18]HcAHxGnJHqKHqaIebJ",293,0.993243,18,296,2,294,2,2,0,2,2,146,146,150,148,1
"18",17,"[18]HcAHxGnJHqKHqaIebJ",297,0.996644,18,298,1,297,1,1,0,1,1,148,148,150,149,1
"19",18,"[18]HcAHxGnJHqKHqaIebJ",296,1,18,295,0,295,0,0,0,0,0,152,152,143,143,1
"20",19,"[18]HcAHxGnJHqKHqaIebJ",306,1,18,305,0,305,0,0,0,0,0,162,162,143,143,1
"21",20,"[18]HcAHxGnJHqKHqaIebJ",295,1,18,294,0,294,0,0,0,0,0,143,143,151,151,1
"22",21,"[18]HcAHxGnJHqKHqaIebJ",309,1,18,308,0,308,0,0,0,0,0,173,173,135,135,1
"23",22,"[18]HcAHxGnJHqKHqaIebJ",297,0.996644,18,298,1,297,1,1,0,1,1,139,139,159,158,1
"24",23,"[18]HcAHxGnJHqKHqaIebJ",301,0.990196,18,306,3,303,3,3,0,3,3,166,166,140,137,1
"25",24,"[18]HcAHxGnJHqKHqaIebJ",280,0.982699,18,289,5,284,5,5,0,5,5,133,133,156,151,1
"26",25,"[18]HcAHxGnJHqKHqaIebJ",300,0.996678,18,301,1,300,1,1,0,1,1,162,162,139,138,1
"27",26,"[18]HcAHxGnJHqKHqaIebJ",311,0.996795,18,312,1,311,1,1,0,1,1,177,177,135,134,1
"28",27,"[18]HcAHxGnJHqKHqaIebJ",295,1,18,294,0,294,0,0,0,0,0,147,147,147,147,1
"29",28,"[18]HcAHxGnJHqKHqaIebJ",304,1,18,303,0,303,0,0,0,0,0,152,152,151,151,1
"30",29,"[18]HcAHxGnJHqKHqaIebJ",302,1,18,301,0,301,0,0,0,0,0,155,155,146,146,1
"31",30,"[18]HcAHxGnJHqKHqaIebJ",304,1,18,303,0,303,0,0,0,0,0,140,140,163,163,1
"32",31,"[18]HcAHxGnJHqKHqaIebJ",307,1,18,306,0,306,0,0,0,0,0,152,152,154,154,1
