"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",111,0.991071,84,112,1,111,1,1,0,1,1,24,23,42,42,46,46,1
"2",1,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",107,1,84,106,0,106,0,0,0,0,0,33,33,40,40,33,33,1
"3",2,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",110,0.990991,84,111,1,110,1,1,0,1,1,39,38,30,30,42,42,1
"4",3,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",109,1,84,108,0,108,0,0,0,0,0,34,34,37,37,37,37,1
"5",4,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",107,1,84,106,0,106,0,0,0,0,0,44,44,31,31,31,31,1
"6",5,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",110,0.982301,84,113,2,111,2,2,0,2,2,37,35,30,30,46,46,1
"7",6,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",109,1,84,108,0,108,0,0,0,0,0,42,42,29,29,37,37,1
"8",7,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",103,1,84,102,0,102,0,0,0,0,0,38,38,40,40,24,24,1
"9",8,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",106,1,84,105,0,105,0,0,0,0,0,36,36,38,38,31,31,1
"10",9,"[84]GvfeHdwaCCinfxlysbrnFwafndbCLCebLwafofCJBdHdweEndaqIKChbAgDeBeaCabsafwendaCJCabGzmeK",111,0.991071,84,112,1,111,1,1,0,1,1,35,34,32,32,45,45,1
