"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"1",0,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",81.96,0.644599,47,287,102,185,102,102,0,102,102,186,84,101,101,1
"2",1,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",87,0.65035,47,286,100,186,100,100,0,100,100,186,86,100,100,1
"3",2,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",84.99,0.648084,47,287,101,186,101,101,0,101,101,186,85,101,101,1
"4",3,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",84.99,0.648084,47,287,101,186,101,101,0,101,101,186,85,101,101,1
"5",4,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",100.64,0.666667,47,282,94,188,94,94,0,94,94,188,94,94,94,1
"6",5,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",108,0.676259,47,278,90,188,90,90,0,90,90,189,99,89,89,1
"7",6,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",104.36,0.671429,47,280,92,188,92,92,0,92,92,189,97,91,91,1
"8",7,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",90.96,0.65493,47,284,98,186,98,98,0,98,98,187,89,97,97,1
"9",8,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",89.99,0.653846,47,286,99,187,99,99,0,99,99,187,88,99,99,1
"10",9,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",120.44,0.693431,47,274,84,190,84,84,0,84,84,191,107,83,83,1
"11",10,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",92.91,0.657244,47,283,97,186,97,97,0,97,97,187,90,96,96,1
"12",11,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",109,0.677419,47,279,90,189,90,90,0,90,90,189,99,90,90,1
"13",12,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",89.99,0.653846,47,286,99,187,99,99,0,99,99,187,88,99,99,1
"14",13,"[47]gCHyjbavizshJGjhwvnmuqioiHJHoIGoKCnqdzBBsxgwAqq",95.84,0.660777,47,283,96,187,96,96,0,96,96,188,92,95,95,1
