"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",80.64,0.692308,58,143,43,99,44,43,0,43,43,34,34,34,34,75,31,1
"2",1,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",91.75,0.711538,58,156,44,111,45,44,0,44,44,36,36,37,37,83,38,1
"3",2,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",83.84,0.693333,58,150,46,104,46,46,0,46,46,33,33,39,39,78,32,1
"4",3,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",86.51,0.707483,58,147,42,104,43,42,0,42,42,42,42,31,31,74,31,1
"5",4,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",81.75,0.691781,58,146,45,101,45,45,0,45,45,38,38,32,32,76,31,1
"6",5,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",89.51,0.713333,58,150,43,107,43,43,0,43,43,28,28,37,37,85,42,1
"7",6,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",74.91,0.671329,58,143,47,96,47,47,0,47,47,37,37,38,38,68,21,1
"8",7,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",81.75,0.691781,58,146,44,101,45,44,0,44,44,40,40,31,31,75,30,1
"9",8,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",82.75,0.693878,58,147,45,102,45,45,0,45,45,31,31,34,34,82,37,1
"10",9,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",100.36,0.735849,58,159,42,117,42,42,0,42,42,39,39,33,33,87,45,1
"11",10,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",82.75,0.693878,58,147,44,102,45,44,0,44,44,34,34,36,36,77,32,1
"12",11,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",77.75,0.683099,58,142,44,97,45,44,0,44,44,24,24,40,40,78,33,1
"13",12,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",71.96,0.661972,58,142,47,94,48,47,0,47,47,32,32,37,37,73,25,1
"14",13,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",79.75,0.6875,58,144,45,99,45,45,0,45,45,31,31,36,36,77,32,1
"15",14,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",82.84,0.691275,58,149,46,103,46,46,0,46,46,31,31,39,39,79,33,1
"16",15,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",80.75,0.689655,58,145,44,100,45,44,0,44,44,33,33,32,32,80,35,1
"17",16,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",91.64,0.714286,58,154,43,110,44,43,0,43,43,37,37,34,34,83,39,1
"18",17,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",88.51,0.711409,58,149,42,106,43,42,0,42,42,30,30,37,37,82,39,1
"19",18,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",94.51,0.722581,58,155,42,112,43,42,0,42,42,34,34,35,35,86,43,1
"20",19,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",84.51,0.703448,58,145,42,102,43,42,0,42,42,38,38,32,32,75,32,1
"21",20,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",84.75,0.697987,58,149,45,104,45,45,0,45,45,30,30,37,37,82,37,1
"22",21,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",103.56,0.754839,58,155,38,117,38,38,0,38,38,34,34,34,34,87,49,1
"23",22,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",83.75,0.695946,58,148,44,103,45,44,0,44,44,36,36,36,36,76,31,1
"24",23,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",79.91,0.682432,58,148,47,101,47,47,0,47,47,33,33,39,39,76,29,1
"25",24,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",87.64,0.706667,58,150,43,106,44,43,0,43,43,30,30,33,33,87,43,1
"26",25,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",86.75,0.701987,58,151,45,106,45,45,0,45,45,32,32,36,36,83,38,1
"27",26,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",82.75,0.693878,58,147,45,102,45,45,0,45,45,34,34,35,35,78,33,1
"28",27,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",83.75,0.695946,58,148,45,103,45,45,0,45,45,35,35,35,35,78,33,1
"29",28,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",79.91,0.682432,58,148,46,101,47,46,0,46,46,33,33,41,41,74,27,1
"30",29,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",84.75,0.697987,58,149,44,104,45,44,0,44,44,36,36,33,33,80,35,1
"31",30,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",79.75,0.6875,58,144,44,99,45,44,0,44,44,33,33,36,36,75,30,1
"32",31,"[58]DzopKiGnFanoIHboJCLxqjCFxLHoFqIqfiCedmIGxLIDzgdiwhutcfftwp",89.19,0.719178,58,146,41,105,41,41,0,41,41,34,34,35,35,77,36,1
