"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",0.95,0,30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"2",1,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",2.95,0.666667,30,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"3",2,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",2.95,0.666667,30,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"4",3,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",2.95,0.666667,30,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"5",4,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",3.95,0.75,30,4,0,3,1,0,0,0,0,1,1,3,2,0,0,1
"6",5,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",2.95,0.666667,30,3,0,2,1,0,0,0,0,1,1,2,1,0,0,1
"7",6,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",1.95,0.5,30,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"8",7,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",0.95,0,30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"9",8,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",5.95,0.833333,30,6,0,5,1,0,0,0,0,3,3,3,2,0,0,1
"10",9,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",1.95,0.5,30,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
"11",10,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",2.95,0.666667,30,3,0,2,1,0,0,0,0,0,0,3,2,0,0,1
"12",11,"[30]xwmeHcoKGDlHfqJCitdogrGzcvLpgr",1.95,0.5,30,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1
