"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"2",1,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"3",2,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"4",3,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"5",4,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"6",5,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",3,0.75,54,4,0,3,1,0,0,0,0,3,3,1,0,0,0,1
"7",6,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",3,1,54,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"8",7,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"9",8,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"10",9,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"11",10,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"12",11,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"13",12,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"14",13,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"15",14,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"16",15,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"17",16,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",3,1,54,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"18",17,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"19",18,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"20",19,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"21",20,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"22",21,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"23",22,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",1,0.5,54,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"24",23,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"25",24,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"26",25,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,0.666667,54,3,0,2,1,0,0,0,0,2,2,1,0,0,0,1
"27",26,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"28",27,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",3,1,54,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"29",28,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",1,0.5,54,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1
"30",29,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"31",30,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",2,1,54,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"32",31,"[54]HoCKthGqhjrcCzhssJoceJsFmzodCmpdAbtKjgCGgJkDkawJLztfkJ",0,0,54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
