"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",140,0.756458,48,271,66,205,66,66,0,66,66,71,71,135,69,65,65,1
"2",1,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",150,0.776952,48,269,60,209,60,60,0,60,60,69,69,141,81,59,59,1
"3",2,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",152,0.780669,48,269,59,210,59,59,0,59,59,67,67,144,85,58,58,1
"4",3,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",121,0.725564,48,266,73,193,73,73,0,73,73,64,64,130,57,72,72,1
"5",4,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",131,0.744361,48,266,68,198,68,68,0,68,68,66,66,133,65,67,67,1
"6",5,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",136,0.750929,48,269,67,202,67,67,0,67,67,73,73,130,63,66,66,1
"7",6,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",155,0.789474,48,266,56,210,56,56,0,56,56,74,74,137,81,55,55,1
"8",7,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",136,0.749077,48,271,68,203,68,68,0,68,68,67,67,137,69,67,67,1
"9",8,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",121,0.730769,48,260,70,190,70,70,0,70,70,51,51,140,70,69,69,1
"10",9,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",145,0.770677,48,266,61,205,61,61,0,61,61,64,64,142,81,60,60,1
"11",10,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",118,0.727626,48,257,70,187,70,70,0,70,70,52,52,136,66,69,69,1
"12",11,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",115,0.717557,48,262,74,188,74,74,0,74,74,57,57,132,58,73,73,1
"13",12,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",136,0.758621,48,261,63,198,63,63,0,63,63,66,66,133,70,62,62,1
"14",13,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",127,0.733333,48,270,72,198,72,72,0,72,72,67,67,132,60,71,71,1
"15",14,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",132,0.74717,48,265,67,198,67,67,0,67,67,66,66,133,66,66,66,1
"16",15,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",147,0.76259,48,278,66,212,66,66,0,66,66,83,83,130,64,65,65,1
"17",16,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",142,0.762082,48,269,64,205,64,64,0,64,64,59,59,147,83,63,63,1
"18",17,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",113,0.715385,48,260,74,186,74,74,0,74,74,49,49,138,64,73,73,1
"19",18,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",145,0.762774,48,274,65,209,65,65,0,65,65,80,80,130,65,64,64,1
"20",19,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",122,0.724907,48,269,74,195,74,74,0,74,74,65,65,131,57,73,73,1
"21",20,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",127,0.731618,48,272,73,199,73,73,0,73,73,70,70,130,57,72,72,1
"22",21,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",135,0.742754,48,276,71,205,71,71,0,71,71,81,81,125,54,70,70,1
"23",22,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",129,0.735294,48,272,72,200,72,72,0,72,72,72,72,129,57,71,71,1
"24",23,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",120,0.724528,48,265,73,192,73,73,0,73,73,54,54,139,66,72,72,1
"25",24,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",137,0.751852,48,270,67,203,67,67,0,67,67,66,66,138,71,66,66,1
"26",25,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",135,0.753788,48,264,65,199,65,65,0,65,65,64,64,136,71,64,64,1
"27",26,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",124,0.732075,48,265,71,194,71,71,0,71,71,65,65,130,59,70,70,1
"28",27,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",148,0.771218,48,271,62,209,62,62,0,62,62,82,82,128,66,61,61,1
"29",28,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",123,0.734615,48,260,69,191,69,69,0,69,69,54,54,138,69,68,68,1
"30",29,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",137,0.753731,48,268,66,202,66,66,0,66,66,70,70,133,67,65,65,1
"31",30,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",133,0.751908,48,262,65,197,65,65,0,65,65,61,61,137,72,64,64,1
"32",31,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",127,0.738636,48,264,69,195,69,69,0,69,69,67,67,129,60,68,68,1
"33",32,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",125,0.731343,48,268,72,196,72,72,0,72,72,65,65,132,60,71,71,1
"34",33,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",139,0.757463,48,268,65,203,65,65,0,65,65,68,68,136,71,64,64,1
"35",34,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",151,0.773723,48,274,62,212,62,62,0,62,62,85,85,128,66,61,61,1
"36",35,"[48]CELjCJoqmyFCvejsnAsHoJHoqKHibqIGLqeyakGsKoFBcqtn",133,0.75,48,264,66,198,66,66,0,66,66,63,63,136,70,65,65,1
