genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[86]HoCLHinHqnobIaoLKrCatqJtwtxDLjchlEKpfDHFuwyyJnnkzKlAEIDaaJoaJnelneAfiJaopElilkhcwpaliJ",730,108,2759,0.750172,1457,363,1093,364,363,0,363,363,361,361,363,363,733,369, 1
"[58]FztEGHnvdhvBopJcgcvoKnwAmlGEDCaGhLwjlhAmxquDiJxCmiIumJhscz",17,3,2739,0.944444,18,0,17,1,0,0,0,0,12,12,12,9,0,0, 10
"[104]gHoCLylsGCsyCmhdJqKvmzuGtigKLIgwyeomwfhjeaFBdClujlLKfvbeFwmIoKjgyEgkLpGwhitCrpHxlbiGlnicxHcxLjizckcDryvm",7,6,2660,1,6,0,6,0,0,0,0,0,5,5,0,0,1,1, 100
"[87]jyefHgvnLztGHoJCwKKzHjonIlhpArpnypKLsjLduFmlsJsKqxeibhHegoevFdfihIAlnpGgaCKJLxEfimfEzpg",9,2,2710,1,8,0,8,0,0,0,0,0,611,15,0,0,5,3, 101
"[99]JGcCxiqnFCKsbirdglohLcjfFykhJypBrhAGKBCEsDlxsdDswvtDjhpLorfamaCiBjEIdytLannJHrbGdBmrqCDsAmpFxpLfkhn",5,0,2453,1,4,0,4,0,0,0,0,0,2,2,1,1,1,1, 102
"[97]CBtCCdEzzHpilurxjiuIdAgxjKztcwovGqKnLCEEHdCkyvoumCoFmjCEynugpgHgkmuHgBkecnpeJoKBsjbouHrntzomiDkGt",14,4,2641,0.933333,15,0,14,1,0,0,0,0,6,6,10,8,0,0, 103
"[86]zcheHgaDdHFBoLHnExBoKyktpsEEGlnDsAABAFftaLnEoChjHfaeaFtwsrtfsqhHhoJDCGtCFvaropontwoqyf",24,2,2773,0.96,25,0,24,1,0,0,0,0,9,9,5,5,12,10, 104
"[81]DJEHoqmKtmhGoJCecysDzsFjoGFyuJeGpvApttzxGfrnhBrgdAlomfBExDJaAlnmaqmAyAdvrAgFdJtGe",23,0,2572,0.958333,24,0,23,1,0,0,0,0,12,12,12,11,0,0, 105
"[94]BbtanFsdklseADErztvcDGHyryxDAFdbHlbnzywHoJHoqKHiqIyLCeLrbqviGybohdshohkjvrInpbJlmkhaIjxrkmmHHz",910,136,2575,0.759566,1751,421,1330,421,421,0,421,421,429,429,901,480,421,421, 106
"[97]lBvdwFilCdthelcksHoJoChLhwGmCCxwhrfkyKdaKKlFyGFIgDuzuqGIqjqfDlprjJztpysEkdrfwfHbcAewDeudesrpcGsGI",9,0,2574,1,8,0,8,0,0,0,0,0,7,7,0,0,1,1, 107
"[81]wEdpHolokEbfHldedGnbLfcAmyEzvDzsbufyFzoiocwCllolLofIAtFpEHGoJclCmuAqgCIhFItFhhEIb",10,7,2683,1,9,0,9,0,0,0,0,0,9,9,0,0,0,0, 108
"[48]CBpKnlqxJhakCvJKiidejEhpFkfHmaupGtbEHopLoJHiqIaK",492,109,2881,0.759788,945,227,718,227,227,0,227,227,253,253,227,227,465,238, 109
"[66]vddHHchopImgzoKBpuHfocJBfcoLCarxJCEzDbaczpxGwiInFzbCrrksKCJHhrHHur",192,41,3044,0.757412,371,90,281,90,90,0,90,90,108,108,173,83,90,90, 11
"[85]stuKGjHcloKqpvIdbLgqKwnqHkkhqtvausbHnGgwJsceFqBnqvoiKsirIguIvBgckHzJnGawkCovvmHAhKbug",10,0,2593,0.909091,11,1,10,1,1,0,1,1,0,0,10,9,1,1, 110
"[97]mxHchcocJGfoKfgHnozmhCrqFGfpitFAzBsrLwzLGBaCaqfswacyEwrFbCpaemtLdEbJddfeJbkikxGlnjqBmeuFcfFKrqjLF",19,2,2687,0.95,20,0,19,1,0,0,0,0,6,6,14,13,0,0, 111
"[101]zaymElFhGoJHoqLqGgIAbbFeIvxxetktcFHbzHsphcfibyimbiLididjfLcJyewpJLxFkxnKDLsHjqbjwIvzgdxiqlKorKCknwypK",18,3,2569,0.947368,19,0,18,1,0,0,0,0,14,14,0,0,7,5, 112
"[83]lDobbFluzdwlvxgloJEHoCDaKsitvEkhAwCHlbcBhDqmrqvqojwEifkGlFjLDGGhGhklmztufwntHbHqaIK",353,106,2732,0.745125,718,183,535,183,183,0,183,183,187,187,183,183,348,165, 113
"[74]jeAhFylhuFCdpClHuGkEGfjHBoKmwcEGHhDstjHKodtvixswCLnsDbhIDocsvmsutkeoJEcydc",17,0,2598,1,16,0,16,0,0,0,0,0,9,9,7,7,0,0, 114
"[114]DFuHzoJoCBseplcfnpoeowlzvibmnHsadgGKHnsGCKeHtjhlIHGGvAmImBCyuExkipbydlmxgexpohIqxecfDBeyHKtjnrJsmrELLkoECGcaLwEmxL",10,2,2747,1,9,0,9,0,0,0,0,0,7,7,8,6,0,0, 115
"[88]sloJHoqLHqaIKHqtHzBhqbphAFtBhoiJLEpGnqzJducxBnEabFrBnHjpGdbvhbnnCIdHdLolfhfKDtkwyBwvvEcC",1502,180,2717,0.75025,2999,749,2250,749,749,0,749,749,735,735,749,749,1515,766, 116
"[96]CFzLapCkrhoLFgLkccfKrrjtgcflzgmALBmIqCLArFErsrbiIErCHhteEEHbbfoHjxHoJoCwApBBKieAFtkdAcuzGqAareEy",8,2,2480,1,7,0,7,0,0,0,0,0,7,7,3,2,0,0, 117
"[55]hcksrHnKnoJHgqDeclILCvzLnLKyJpwmwCtAzgfkopfsoobaLJHAIaF",344,110,2804,0.750365,685,170,514,171,170,0,170,170,193,193,322,151,170,170, 118
"[80]HxiEHtGhFoJHoCLqpzIzBnLdgEnBhEBailLqcuCwKGkBlDIEJbCwpLyoakgfJmKhqctdrCzDceiGxsss",15,4,2609,0.9375,16,0,15,1,0,0,0,0,10,10,0,0,6,5, 119
"[80]qhmbHkmopxdrHtEDmkpJDlBxlCgLroJDvtjvvfkwDCkeiEHoDFcKDefzlqheHFcqaDauxCoqvvdqcIfL",383,104,2684,0.75672,744,181,563,181,181,0,181,181,188,188,375,194,181,181, 12
"[77]FGHgnLfDwxebHGoJyCGrIBdkirKkHbKeJLnkEdAKJEsbFBLKxwwHmibhnGxHyiywJkoGcwnKFrtqE",10,2,2706,1,9,0,9,0,0,0,0,0,10,10,0,0,0,0, 120
"[75]zelHxGcrgFBoLBqJkkjqzkrsquDwJKJzLkEGmzfhfswenJJznfcJJJIhaCKBfBkFCBgfgxccyFy",19,0,2591,1,18,0,18,0,0,0,0,0,9,9,0,0,9,9, 121
"[78]vhBtEHoJoqDeoyHdLHiqbDqgxgIKqfEklhzmfxfupFxLhIaJikmLkJprmpnveDbkxmovwitcypxHsr",589,117,2543,0.743377,1208,310,898,310,310,0,310,310,278,278,310,310,620,310, 122
"[91]dpIkDbfzngHgnKEugmFzmfgvqoJrjzHCFlfxgyjKAdcejqsGgnzzitizsqbhqnmEvwDBGKyrrxvCautLaLDanEHtdAG",7,0,2681,1,6,0,6,0,0,0,0,0,5,5,1,1,0,0, 123
"[92]DBkjaxspvqhGozoJcHHoqpyKCnErrgGqyldIpuKgIlyJGxnFazdipcekGKovhivLkHJvicwoCboEjaaBexGfsdDcygDo",20,0,2542,0.952381,21,0,20,1,0,0,0,0,9,9,12,11,0,0, 124
"[99]dHcGoKqnwjJBqcjimLmIEuynsfrzoHycmlizIoybkmDtvkIleDjizmFChmFdIikBJntnFIHlFrHIiKclGdvsJKocnycKHnzHuqK",19,0,2609,0.95,20,0,19,1,0,0,0,0,10,10,10,9,0,0, 125
"[92]LKxGmCoBlqHekBfefpytJpFAFjzlwclhxepAgoBsrHjngDnhunkwLnpqskHEbiCmyrywukkHynBldjwJpoGaFmLLgLdq",3,0,2507,1,2,0,2,0,0,0,0,0,0,0,1,1,1,1, 126
"[97]dDjpvkrnfwnikywEHoDLrHDDgdaKjzBLuJqcEqaIKqtClvJIcIsrFuCrkvGkrEuovbJqjjHgvrzyCtbzEfbruxcgjaawKeyxD",669,143,2702,0.758514,1292,312,980,312,312,0,312,312,334,334,312,312,646,334, 127
"[101]nGlHcCmjcFfdrHxEunLuilpCtAwzIvstAFcBajEIGpkpqEBKpoBsABnnxfFreKmrFrviFJgBzEdvmrxhcocJBhoKAqfkyaILEAHxI",21,0.01,2573,0.954545,22,0,21,1,0,0,0,0,12,12,10,9,0,0, 128
"[92]DxHhyoJHnfHGAHoDKqqjwGeALHymEolpvyEgJjxwwijILIJdvjeAlGowvraEHEjowwEaerbtuyLxbDHDyjLvDzkpvHep",18,1,2675,0.947368,19,0,18,1,0,0,0,0,10,10,11,9,0,0, 129
"[68]doHHoJvbeDLHoFqaIKqDJBbpgzJFEIycIwjruaCvpmowFJecJesLyglDtbbfwsGLrrAi",405,122,2790,0.7525,800,198,602,198,198,0,198,198,204,204,198,198,398,200, 13
"[103]CsKpAtlqCzlCrdrCcAmKdspeufDwJmqiKlBkDpoKeAyFeDvcFepeCxqxHuAdhFBHAbkoLtmsFocJkBdkzpuBxeswpAkwoKzfdHsbjtf",50,6,2805,1,49,0,49,0,0,0,0,0,11,11,19,19,19,19, 130
"[42]FtmnketlBEobCquBwrxhHeHjcdjoLoCHocJzGiobKC",111,118,2967,1,110,0,110,0,0,0,0,0,44,44,28,28,39,38, 131
"[84]tFGhhfuwFarHEpppuawsrguvmHCcoDnyzfwfbfHsKbHGihqvFdAArJDKyLpkaFcvDtgdjyFFCLulysEcojgm",11,0,2652,1,10,0,10,0,0,0,0,0,6,6,4,4,0,0, 132
"[81]xGvjHBoLxxBFGlzeqoEqJizFCyCDLqLmwlxFcsHLepiwDwzBsaDLDtDaAaKgysAbpffmltsrlHBizeFnE",16,5,2706,1,15,0,15,0,0,0,0,0,11,11,0,0,14,9, 133
