"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",5,1,121,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"2",1,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",3,1,121,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"3",2,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",3,1,121,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"4",3,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",5,1,121,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"5",4,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",5,1,121,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"6",5,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",3,1,121,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"7",6,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",5,1,121,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"8",7,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",3,1,121,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"9",8,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",3,1,121,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"10",9,"[121]jjGrHoJqssqlbceLmhsdqrBddwfvinDbvyLlaAsnEdCumwIrAtBskFgKieiJpbxAIEahBAsmqKGicgGBuzwKJAehEaDBIyerpcHabsniGeunIixGJgajvhmFD",5,1,121,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
