"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"2",1,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",8,1,94,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2
"3",2,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"4",3,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",8,1,94,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2
"5",4,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"6",5,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",4,0.666667,94,3,0,2,1,0,0,0,0,2,1,1,1,0,0,2
"7",6,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0,94,1,2,0,3,0,0,0,0,2,0,1,0,0,0,2
"8",7,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0,94,1,2,0,3,0,0,0,0,2,0,1,0,0,0,2
"9",8,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",8,1,94,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2
"10",9,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"11",10,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"12",11,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"13",12,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"14",13,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"15",14,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0,94,1,2,0,3,0,0,0,0,2,0,1,0,0,0,2
"16",15,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"17",16,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"18",17,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0,94,1,2,0,3,0,0,0,0,2,0,1,0,0,0,2
"19",18,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"20",19,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"21",20,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
"22",21,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",4,0.666667,94,3,0,2,1,0,0,0,0,2,1,1,1,0,0,2
"23",22,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",2,0.5,94,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2
"24",23,"[94]iccwjsgrEGFEcccpEjGoccxHmnKBskhAchcnxbcuHiusEcczBHgcdyHccJjdxpJlwJhGyHcyikqgcmLcesIukqCchucfye",1,0.5,94,2,1,1,2,0,0,0,0,2,0,1,1,0,0,2
