"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",4,1,116,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"2",1,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",4,1,116,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"3",2,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.666667,116,3,104,2,105,0,0,0,0,106,2,1,0,0,0,1
"4",3,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0,116,1,105,0,106,0,0,0,0,105,0,1,0,0,0,1
"5",4,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.666667,116,3,104,2,105,0,0,0,0,106,2,1,0,0,0,1
"6",5,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",8,1,116,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"7",6,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",4,1,116,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"8",7,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.5,116,2,104,1,105,0,0,0,0,105,1,1,0,0,0,1
"9",8,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",8,1,116,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"10",9,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0,116,1,105,0,106,0,0,0,0,105,0,1,0,0,0,1
"11",10,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.5,116,2,104,1,105,0,0,0,0,105,1,1,0,0,0,1
"12",11,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.5,116,2,104,1,105,0,0,0,0,105,1,1,0,0,0,1
"13",12,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0,116,1,105,0,106,0,0,0,0,105,0,1,0,0,0,1
"14",13,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",8,1,116,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"15",14,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",64,1,116,5,0,5,0,0,0,0,0,4,4,1,1,0,0,1
"16",15,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",16,1,116,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"17",16,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",8,1,116,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"18",17,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.666667,116,3,104,2,105,0,0,0,0,106,2,1,0,0,0,1
"19",18,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0,116,1,105,0,106,0,0,0,0,105,0,1,0,0,0,1
"20",19,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",4,1,116,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"21",20,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",8,1,116,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"22",21,"[116]kicsmptdrEslebtcHgoJeDhsAnElDJoCrGbfdwnAuKvuvGekuArlGfHoJccjAHCHmmEmnqHjAyqodIcKegnestljInbDmBlyokozavbluEFswwnceBBw",1,0.5,116,2,104,1,105,0,0,0,0,105,1,1,0,0,0,1
