genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[88]cbdfhclcHoJfbtrzmgrxDmhdpLuGlejgoCdrtixxvDfDcpoFBdexbwdyxkcacaKnytcfeDcgxbceevFAacEkjGul",256,1,438,1,7,0,7,0,0,0,0,0,67,6,2,1,0,0, 1
"[96]zGAjAACBgBiArnIlgpjDqqgjLAazqozhwodtunmImAuBrpGyyDLtnBbHlpcrcFnlfcesEEshnHoJnfocLaHoqfwrKraHwEpa",512,4,651,1,8,0,8,0,0,0,0,0,7,7,1,1,0,0, 10
"[108]cpsFDclhmjHxgrDxrbahcsoIGHDmHqpAipEJCqtjJqmFfuhdnBDlwFyqLmxpImKqmcaqdAEspDpBfxcnxcrrsiDfAvAckdqAfkyaCmkwinFc",4.1943e+06,1.07374e+09,667,0.62069,87,32,54,0,32,33,348,173,260,260,0,0,0,0, 100
"[100]wocJtbaccCccojpvyzAyoraAcjEcFuFFcEdccBCduoccchcHAcccczAgdcwzbgyAajrccgfpCFfuucccocEGEukccchGHagHccbG",128,1,177,1,6,0,6,0,0,0,0,0,6,6,0,0,0,0, 101
"[96]coxoFuGFiHsFvogpqyuxnalAixGIotfknGHlqJbzqqfLDGILcrHrwbmdjazeibJIkoCzEprIjchmBpltqahvgeqtLnAAwyoa",128,4,429,0.875,8,1,7,0,1,1,2,1,7,7,0,0,0,0, 102
"[102]gCxwEAvGepDrBBnnCLFKuDtrcdFeHCBevdatKEgaDwmEonklqlcsaugAlftvmymdmlHoJienzdHoqpLBHxsjgscpAAkEobCLEnwnxG",256,1,491,1,7,0,7,0,0,0,0,0,6,6,0,0,1,1, 103
"[112]ttlHxJaenGHcdoxHlGBCKGvGALyIyaBnjcJFGlHAAudFafsfrxtgmHqgAunfFvnHarcLdqpdjHgjkmartppfsbhEJFoBkntvutEzytoazLeuptza",512,8,995,1,8,0,8,0,0,0,0,0,8,8,0,0,0,0, 104
"[105]nLdubufHicsKoJGnyrhCskHiiwmgvGomktmKAlegeglDEptqLolbvtzdBmrGAeHAFbGAAsBskjEtcHAaCbEvmvmnJKmHKjvroEwxDvvmr",256,1,788,1,7,0,7,0,0,0,0,0,0,0,6,6,1,1, 105
"[102]fCvdzctbFtrcvIlDyCzssjctCccrEcHdcmwciJgccfcckAzGwebbFchhEdcccBhwckAncisycirjcecsxHzofcEawDcgHcocJekcmG",64,0.01,179,1,5,0,5,0,0,0,0,0,5,5,0,0,0,0, 106
"[77]vDeEjlABxcyfxjEHgArEicvgbFoJpencgbDhixaqDrghghycgbnFyEmdAIocaJoaIqbbwqcdczJHb","inf",6.87195e+10,840,0.571724,18871,8082,10789,0,8082,8082,16164,8082,10789,10789,0,0,0,0, 107
