"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1.5,0.5,105,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1
"2",1,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",2.25,0.666667,105,3,0,2,1,0,0,0,0,2,2,0,0,1,0,1
"3",2,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",5.0625,1,105,3,0,3,0,0,0,0,0,2,2,0,0,1,1,1
"4",3,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1.5,0.5,105,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1
"5",4,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",2.25,1,105,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"6",5,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",2.25,1,105,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"7",6,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1,0,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"8",7,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1.5,0.5,105,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1
"9",8,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",3.375,0.75,105,4,0,3,1,0,0,0,0,3,3,0,0,1,0,1
"10",9,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1,0,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"11",10,"[105]HoJHoqLHvGcEHCmkGJjyAirbADBFKIAxoeFBpIJJBbaCKvLbnaGprFhawLGiBLrqpeaDnywvqDesuqBAgDCAAKAmtudbJDbhtsafsLtFl",1,0,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
