"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",8,1,101,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"2",1,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",16,1,101,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"3",2,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",4,1,101,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"4",3,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"5",4,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",4,1,101,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"6",5,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"7",6,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",8,1,101,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
"8",7,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"9",8,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",4,1,101,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"10",9,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"11",10,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"12",11,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"13",12,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"14",13,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",4,1,101,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"15",14,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"16",15,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"17",16,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",1,0,101,1,42,0,43,0,0,0,0,42,0,1,0,0,0,1
"18",17,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"19",18,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",2,0.5,101,2,0,1,1,0,0,0,0,1,0,1,1,0,0,1
"20",19,"[101]BsjszEjbatilnflhGdgGyHcGyjdfxoKhtgyGmxbHcbtbGaltJfGlAHqweEEDahrjjsJztrCzpqvaHiaJAJFKnjIgraciqwIxoaqAF",8,1,101,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1
