genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[94]ApeyvyztauuHEDgzrrHxJFGrerlEvamvoJmFphwolcckjFcvcsLwHcmcpIorGoKgCeupfcBnmCGpCDnctutHeGFcAksJDF",128,1,380,1,6,0,6,0,0,0,0,0,2,2,4,4,3,2, 1
"[101]kcdGpcqczhcGffdGbCumfyuAgAqwcohIjJclqCyGawFyAICbmecAlwtHuxLEcdpAFrcziFjjcotCFvvHcoKqpLJriAiChiFeukucA",4096,2,515,1,11,0,11,0,0,0,0,0,1,1,12,10,0,0, 10
"[97]KsxHiBrxwgzGqJHgCABhdeupKJkLeLKtvmAillsrhgKJazKArucDacEnAlognyDFChAHclduzexcgtKKvEaKAGDetLDzroKen",1024,1,646,1,9,0,9,0,0,0,0,0,8,8,1,1,0,0, 100
"[108]ccdAyBwjcfueHjAEscbaoJcmmpBcHoCkejCcysuytpuuhwkFlKcdAcjuEAnvyDacgecxctabdxsnGCAcipGeCvjubjnwneevhvIElrJccioL",128,2,252,1,6,0,6,0,0,0,0,0,2,2,4,4,0,0, 101
"[99]cGobalHshidhfufkxDoDInGHkfDGlhoJdpbsqrysuykjKoebAsCqBetejrDJGrhwpBhdygblnvBudfKcmIxwCndibrFiAclGlds",1.34218e+08,65536,898,0.666667,78,26,52,0,26,26,52,26,52,52,0,0,0,0, 102
"[95]eDoxhetEmxccpicsDckutxjatEoJjeoceevcpAsjedwscfHIDfncIJHFcgqhpcCDndaDnkosrcskFkHwufyAzdHEqCIEuzI",4.05648e+31,2.68435e+08,528,0.571429,728,312,416,0,312,312,624,312,416,416,0,0,0,0, 103
"[89]yiEjedAmHoJlgrreFLHqavtnxGpkdCrkajxonAEALkcKkggeLDGcEAnIkjjpfsEbLkJprpEwGfzorgzzlkrKlycDE",128,8,422,0.875,8,0,7,1,0,0,0,0,10,10,0,0,17,7, 104
"[106]EboJHjiErmcoqzloceEDEfEfeepzqtrzwmGKvhEuudIdaGFHcqAqucdlmbkArlyeDbvgouCliqkaempCjAudDtIjsgmhtpqlnxzeqhEKLb",524288,5.36871e+08,605,0.645161,62,22,40,0,22,22,4368,2155,3250,3250,0,0,0,0, 105
"[103]pLHGHHoJcoDqjFglDGHoFqupAgzpGtdrAjpwneyGIoagdfjcDbhpyIaJggqCnxoGKjwGdDsscnBgyrLGbwwpIErkghAiiLAccadflrD",1024,32,809,1,9,0,9,0,0,0,0,0,91,3,0,0,7,6, 106
"[108]rkgEKtkfHoJGCEpEpAkeBnopyddspIAqIGCLdGrGgBbsvgIzDaAilveaKkmFjGgwKBxyzawFAkuhzvpnfHrCkCkccikjGhjcxGEmsEccaipq",128,4,1069,1,6,0,6,0,0,0,0,0,755,5,5,2,0,0, 107
"[105]sskFKkdGcmHnoFfnGoJCHkhKLDvcvIvJnACEuyaeudlymvvpzKhsokLxbjryJkEGhbaCyClkctBsKIuhHskHvAqilFKwavfJneohmroLJ",512,8,523,1,8,0,8,0,0,0,0,0,233,6,6,4,0,0, 108
"[98]yFgxofJEzdhadGicHrzchoDLAcwiwocecGacjcdrpqAbBbBGjqyrAKxtqLlHEaDudAhwDqBxAKIynkbzvbongaBtrKihfqfnbv",1024,16,349,1,9,0,9,0,0,0,0,0,10,10,0,0,4,3, 109
"[92]osHoJLowGCmdFeqfcCLmhvbzDoIsAgvFcBpsyxvLpKgJJaGsHwzxartxkBBbzxrwnauDhiaesqKJpvuoquputwbiGDJG",256,4,1395,1,7,0,7,0,0,0,0,0,3,2,0,0,10,7, 11
"[95]LsFHxcsGoJjgjjLsvbFgCAjmjdKjqDGqJlFcKouBKnrassytEydDhoDKHLqjbCEeDkAJwEBrmCxljtcoEgsCcjFtGzHHKvp",256,1,1546,1,7,0,7,0,0,0,0,0,2,2,0,0,5,5, 110
"[92]dtmHCcobDLhuuwklvrdtlsGnrepcxGAEBcHpctHgoJCwozpExcIvHzhnaaewycDxFChfrbancGHBJBoKuvHGHmzxuoyA",256,4,510,1,7,0,7,0,0,0,0,0,6,6,0,0,1,1, 111
"[91]qiamAEGokaxpdlglCfGhtccoJukplmrcsuukgijxBvvwFeayyoyEGHldGfDusFEFqKibBHqbuptKyjEykxzKIDlnmit",256,4,445,1,7,0,7,0,0,0,0,0,7,7,0,0,0,0, 112
"[100]HCxzJgHLkcuHemaqktxmgrfAtGwHoJGgnpcCApsmzhfocfAFpwruoHglDpLnydGxEpyohDgFltvcsEuJchgojDiBqurzzocCpLww",256,4,558,1,7,0,7,0,0,0,0,0,6,6,0,0,1,1, 113
"[106]dBkHitHoJoCvFjdifdayApvkdHjAueddHIFIGrqycphuFnmpFytpneEzvbqlcFgCAqzahfjEDfwdIjzrEpfbAimpnrLvjGHuyCmhjqyGBG",2.68435e+08,1.44115e+17,506,0.619469,113,43,70,0,43,43,1.10972e+09,5.5486e+08,8.02387e+08,8.02387e+08,0,0,0,0, 114
"[79]FzjxgpomtdEdwaDetxotAHDtaxIIpdgHbplFeJgcHcqmfJCxiGwhdFbgyilkenGmgyplaBkEiDkFtpG",2.5353e+30,8.58993e+09,885,0.565445,764,332,432,0,332,332,664,332,432,432,0,0,0,0, 115
"[86]ttvcenHDmgnLEgDvmtoraoDLgriGmCLDiBzoGJGGCjBilDGHEmftxkbhoapabEGocqldJEFidqzlqozqBsGxLF",1024,1,1101,1,9,0,9,0,0,0,0,0,3,3,0,0,6,6, 116
"[97]jeGHcpzckdoLqvvhGsJysdugaFfvxAwBbsinFnqhLkuceboiCoexAFoCbAKypCFGBstpFCqBrvglejueenKKgIkhAacJsdDrq",32768,1,638,0.9375,16,0,15,1,0,0,0,0,4,4,0,0,12,11, 117
"[100]oiwmajpqzvHoJoeDBLxfHohicotvFGezbdgFeArqkrgGFFFqrppDprftJodccglqEmzBGqdojyacDncfAJCLGjkxpceluzpLmzKl",512,1,566,1,8,0,8,0,0,0,0,0,7,7,0,0,1,1, 118
"[93]zwEaHEoJKexuBkfkpCnHGdqrCebFoecEwKEoaylpHaJaabcCJtFIicDsGqEcnlkzBiGscbkJJgbdgywunAcdlBFdmiodg",128,4,624,0.875,8,0,7,1,0,0,0,0,4,4,5,3,0,0, 119
"[92]rsbkcrpwcgnmHcHnslcdgocdJnvqaophFdLixmcmEGqgCccdJveLijuFBzDHckapbbapeCCynFvpcccLggCElBlzycCt",128,4,431,1,6,0,6,0,0,0,0,0,5,5,0,0,1,1, 12
"[107]apajcpoEzigmagHoJKEcHoxqAhkazFAvsjExHczcwGCrcfJyAcryqCfFbGAffggccBqjtyLmvuaGlvFvxrBFffqFxebcGBugHhBnKDisjtH",512,2,428,0.9,10,0,9,1,0,0,0,0,4,4,6,5,0,0, 120
"[102]HcextoicjxJEaxcCcHoJlccDochICGBhqjwLcLqkFItjiCDtmFqbcHawIDcgkICCHGBxoGvxFAIwcwpbcLHblkeoeeayxIcvCccavl",65536,2.09715e+06,267,0.588235,85,34,50,0,34,35,459,319,489,210,0,0,0,0, 121
"[96]HcpfwFyzjeldchoLcdpzgEyHgoJtjwmBkxhGpjtchdjlFfCyxvFAEInsqkIBqyHJFaxFbgcoxGvyivixkvIyqGxvwIlthvnA",512,1,638,1,8,0,8,0,0,0,0,0,3,3,0,0,5,5, 122
"[100]olHDpoJsomHKtrwukAtxgkinGFisvHxgupjcGqwzJvbHFCyHdpEcxbnKmalbmEnBkpbzLkpCsgBwFLdmkdnqisGGJIHbxAydJhfh",1024,4,493,1,9,0,9,0,0,0,0,0,5,5,5,5,0,0, 123
"[89]odbmiDqEHytjstifBedGnhfoKJDkycFGalEfdtbsoIAHHehiGAqCafulLJvsKzLfHqnmzrupvjdukCBmoecpHBnJo",65536,4096,608,0.622951,61,22,38,0,22,23,1137,568,117,111,0,0,0,0, 124
"[94]mgGqJHqFegmtneDAJJIdIzFDyhndGizcEykcmhHfICrDampczqDpDzzihHBwbEonDouzDftvnpnsdiHgqblqCvFJFfKGlq",256,1,780,1,7,0,7,0,0,0,0,0,7,7,0,0,0,0, 125
"[88]zCccHcBccHmcwcHHqccgtbcrsfccAwnrcocJcfkfcFzcnkctpcKqccessaseoBxIciahImchFpcckHrgaccJfmje",1.37296e+157,262144,236,0.569783,3733,1606,2127,0,1606,1606,3212,1606,2127,2127,0,0,0,0, 126
"[101]oogHcCAbCyyiqehhoyrryqkGuaszjbfIrfHyBejlBLFiyipLCKmLKhuxclrAlAgHLzHcBcorHoBEivHhdoLaoqrbFlufJHnxaBhlG",4096,1,527,1,11,0,11,0,0,0,0,0,1,1,0,0,10,10, 127
"[101]npcjAishiccCcvhcHIcscwrckFtjdciccjccEccaIfijnccGrcxccanHCcuojidcjjHJoHHycoChAHdccGxccBbcgccBccBsgcDoG",131072,6.71089e+07,183,0.653846,52,18,34,0,18,18,6104,3052,4633,4633,0,0,0,0, 128
"[84]iboIhplFoIrFrcBdrvEufjrGwkchfBnAsroprmmjtndnyapFJedEysfickkwcFbnAsCcFckjgjbitlfHcBnc",512,128,1021,0.666667,24,8,16,0,8,8,84,42,64,64,0,0,0,0, 129
"[82]EjcxlvpeaEsHdieHocfIrptrxlEzzneboJnyfjDDpoiGoyKIemkBKftdCxiumqgacDpeejmdnyvsdpBffi",4.5036e+15,512,1160,0.586441,295,122,173,0,122,122,244,122,173,173,0,0,0,0, 13
"[97]bACgKKcpAjjpsrtzmqjczscfwidcafutwGtHerFmaJawduuuBnlcfbFElFGErpsnupqzgaHElcvoDlCbGBnEHnKHvFnxvtdlG",256,4,375,0.888889,9,0,8,1,0,0,0,0,8,8,2,1,0,0, 130
"[88]vkxAmpoplbbhcddvlHicoJDEmnHACplsbrBfvloddnxEhnabEasHboAyycpfyIdzkrIopkgiHcFCrGeimnipvitd",2.2518e+15,16384,547,0.604167,240,95,145,0,95,95,190,95,145,145,0,0,0,0, 131
"[103]LCCrshfEcpKcGLvhkHozesIErctjJffFbucrBEneogJmBCzlsmuJmDohHdHnmfGyrhdrodJeoqrmGLqmdDCGvtfzekELEteGedjyGAG",256,8,651,0.888889,9,0,8,1,0,0,0,0,2,2,0,0,7,6, 132
"[100]bxbtbBHnLnoJgmnGgqljxkmstwBzDbIdAfGamAchqvmcCLgaDykLHgfsAqCegcubGqCELHGnJHeaEtvdyoxKjplkbFGwmuDkAuIL",512,4,636,0.916667,12,69,11,3,67,0,67,67,5,4,0,0,9,7, 133
"[96]hkpsupGoiGHAEdHuEijcHlbcyfvpAncczdfvoJsieKayyAhiwlpEAoofwHyFGfliqbDpxrKwqzHDcqnrIxLbCfDqGeauEhcC",128,1,413,0.62963,27,10,17,11,9,0,9,9,6,5,13,4,9,8, 134
"[101]ekHcDcocCLqfpgbIzabkxzkxquqkegqfFtArhsBzlIrvAdFtjbFsmpfqFdCcmhhkvbeytcuenbtyjmjzeerceyactJfzvnBllfotG",1024,8,671,1,9,0,9,0,0,0,0,0,1,1,0,0,8,8, 135
"[91]EhydHBHqbgmkioLHjnJjlqxuAgGAkmnEhtycGeECqFkbwGmgqkHHEkCrgAqeozCcHELEJxyLIjCqpIoyzqlwqaHmayk",256,32,824,0.888889,9,0,8,1,0,0,0,0,6,5,0,0,3,3, 136
"[102]btsEHoJpdrnDGsAecoCHEEGgkKejrcyGGdcqchrauAiEcEkgoxCboEwBIcHenDwJtxutxswCALiBlDAmndLiHKgcEcrbjnbpwsnJHC",4096,32,415,1,11,0,11,0,0,0,0,0,306,11,3,1,0,0, 137
"[82]cnzzHfGDbjrDfFzceoJkBBBswnacdlbpgbmcrpgBvbscHoJneDgfGIhbIAJanfCjjAJcHgzzHwmcLHcDes",2.12676e+37,8.79609e+12,805,0.57383,833,355,478,0,355,355,710,355,478,478,0,0,0,0, 138
