"","trial_number","genome","merit","genome_length","merit.1","merit_given","not","nand","and","ornot","andnot","or","nor","xor","equ","did_repro","seed"
"1",1,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"2",2,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"3",3,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"4",4,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"5",5,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"6",6,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"7",7,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"8",8,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"9",9,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"10",10,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"11",11,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"12",12,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"13",13,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"14",14,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"15",15,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"16",16,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"17",17,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"18",18,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"19",19,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"20",20,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"21",21,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"22",22,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"23",23,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
"24",24,"[50]rmuvjwwaizmqggettofdmoqqvpzngqqiptpxtqtlnyvzsttvab",1,50,1,1,0,0,0,0,0,0,0,0,0,0,3
