genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[48]rmzavpeeogwgqdqqggupcihftnipqnttpftqtttttytesvab",16384,16384.7,23948,1,1,0,1,1,1,1,0,0, 1
"[55]rumvuqwgxqjmepcpnqipxlngplqqpqttiwpihfsttttttysastvuoab",3.35544e+07,3.35544e+07,17688,1,1,1,1,1,1,1,1,1, 10
"[53]rzrqrqvqxphidpjqpyqxpqnvpvltnmpqqtplnqutttyvsttvrkchb",16384,16384.7,33455,1,1,0,1,1,1,1,0,0, 100
"[53]xrupvvqtpgdysqaeggjdnpuqtpppngrqyaqfqgtttqfpykwsityab",1.04858e+06,1.04858e+06,24309,1,1,0,1,0,1,1,1,1, 101
"[47]rzlvwmjuqgwnrcpyqhtplnvpztttqqqttfvydptyuistvab",65536,65536.6,28161,1,1,1,1,1,1,1,0,0, 102
"[48]rzuvpeqpqgphqqphpqnqnqfldqopdlnwjqfutttynysttvab",65536,16384.6,38497,1,1,1,1,1,1,1,0,0, 103
"[43]yrbrzsvqqtcqdepqutisqgozqweyphpkittynbstvab",16384,16384.6,19418,1,1,0,1,1,1,1,0,0, 104
"[100]rszmcvunnftqhnooygdjthmqtpzffqpqdnhpiqftqltywhstttvajoyklqqygqunjkzyqkqncynhvbriufzmphikmquhdzurjzab",8.38861e+06,8.38861e+06,10941,1,1,0,1,1,1,1,1,1, 105
"[48]rumvjwynqsxzhuyseqwoyqdpwnpgqmqttpjnhtlyqswttvab",65536,65536.7,18013,1,1,1,1,1,1,1,0,0, 106
"[55]ruqlvnwiogizfqpqsplnnywusppyjszioqxfqjqpqyuttttyjqstvab",65536,16384.8,33822,1,1,1,1,1,1,1,0,0, 107
"[50]ruovwvfaxnjiupkgmyvgyqwfvttpqqrhynqvpntqttfysjsvab",3.35544e+07,3.35544e+07,11867,1,1,1,1,1,1,1,1,1, 108
"[43]ruwohvufztpnqigbomylgqqdeiqfputtdynysthpvab",3.35544e+07,3.35544e+07,29430,1,1,1,1,1,1,1,1,1, 109
"[49]rzfvplacqvywdrgupfqigprqfpqpqrgolmqpnqttttyfstvdb",1.04858e+06,1.04858e+06,16261,1,1,1,1,1,1,1,1,0, 11
"[45]rupvgyzejrgutptteqtyjrsptqvpmpwqtfttvegatmoab",16384,16384.5,19754,1,1,0,1,1,1,1,0,0, 110
"[42]ruvqnipcgdfqpkqkpnlpqqgqplnqrylsttttttvegb",16384,8192.62,42114,1,1,0,1,1,1,1,0,0, 111
"[53]rumtqvypjtnzpqtlyyfkppnqpnfpeqnqrpqiowqdhuttttyxhsvab",8192,8192.68,33916,1,1,1,1,1,0,1,0,0, 112
"[52]rupjqlpeguqipkvpgfepbqoftqdqjpplunqwpqtqutvttynhsvab",16384,16384.6,33995,1,1,0,1,1,1,1,0,0, 113
"[53]rzjvhiutpzeyiqpzlgtnyqqltprpftqhttoyqpqtqtttyisttvdab",65536,65536.7,22076,1,1,1,1,1,1,1,0,0, 114
"[56]rqjuscxvjwwxvcvzcwpzvqkeaphqtpntoottqaltqpqtpptityhgyvab",65536,65536.7,18967,1,1,1,1,1,1,1,0,0, 115
"[59]vvqctrqlqlzhpwnqqpwqmvoqpgnixlnhpzqgqhpyrvutptitthtyqsttqyb",3.35544e+07,3.35544e+07,19671,1,1,1,1,1,1,1,1,1, 116
"[52]rzqqzywqoqllwpnnyyqnofqlppwqtinpigqsvutgtttygfzvjpab",524288,524289,25376,1,1,0,1,1,1,1,0,1, 117
"[52]rufkvlnioqxqspopldqlpkndmpqzqvsppngqnmlquttttyuedvab",16384,16384.8,30585,0,0,1,1,1,1,1,0,0, 118
"[56]ryfcmzovktonqypohqcfwpxigpsqgzfpmqqpfnlsqghgutttypzvzmab",65536,65536.7,23850,1,1,1,1,1,1,1,0,0, 119
"[45]rzovswgnpjuqmntpzttqpptqplnioqttqhppqpyfwsvab",65536,65536.7,16715,1,1,1,1,1,1,1,0,0, 12
"[106]dupqyolgwqqqrpcrfvgwpjjqdyglcyuqvgxgzcexelhlqqgqbhthpquviqncfgopqvqdpclplqhgqntxttfvomqyfpuqnutzypysttvaab",3.35544e+07,3.35544e+07,11751,1,1,1,1,1,1,1,1,1, 120
"[44]wrupvjnqzpunlqnpzhqppvqyouqpdlnqettttyvstvab",65536,32768.6,31487,1,1,1,1,1,1,1,0,0, 121
"[100]rzxvymnlqqvqpiltgjtndqfpqhpqoogtittymstttyuupnxocanztxipleyoulgcddxuemlhepcavxuvvkwrzzenldxhpykhizxb",65536,65536.7,17359,1,1,1,1,1,1,1,0,0, 122
"[48]ruqtggxwxingtovupfvgdqoqtptiyogphnlpqftyhpsttvab",3.35544e+07,3.35544e+07,16333,1,1,1,1,1,1,1,1,1, 123
"[42]ruvujpqnpqpupwtqingctfywspwqcoqtttvdoozjab",65536,65536.5,27500,1,1,1,1,1,1,1,0,0, 124
"[49]rzivpqlpqdppkigqqifbilnqguppqfpqqiroquttttyvstveb",65536,65536.8,35971,1,1,1,1,1,1,1,0,0, 125
"[45]ruwnzvvufgentomuqrovqdspzpnqigqkogqutttcwevob",8192,8192.56,31652,1,0,0,1,1,1,1,0,0, 126
"[48]ruvsluilwntmfjfttgqrfboetgtpqbphgdqtqutptylesvab",3.35544e+07,3.35544e+07,12414,1,1,1,1,1,1,1,1,1, 127
"[50]rpuqvdviyiouprtiitptqqapeppqhilvpnqtqnqpjtynystvab",65536,65536.7,16483,1,1,1,1,1,1,1,0,0, 128
"[48]rupsvfvydospmqplsqlpvagrldnqpphqzqpqpttttyqzzvab",16384,8192.6,31052,1,1,0,1,1,1,1,0,0, 129
"[50]rufmeeqvqupipvgqkfqnynjgofgpnqflpqfphqqtttyekstvub",16384,8192.7,33802,1,1,0,1,1,1,1,0,0, 13
"[53]oaruwulvpdnquyvmofjqpipqqfnqeyuuhlggbnqsulttttydozvab",16384,16384.7,26888,1,1,0,1,1,1,0,1,0, 130
"[44]ruqwnvnuptqpqpgptqfoeiqfpqnlqnqfzttyestvizyb",65536,32768.6,35808,1,1,1,1,1,1,1,0,0, 131
"[54]rueoqvrgcvsjcnutttqopvlnknpqpgqgqhapfvpqrdppttyjattvab",2.09715e+06,2.09715e+06,19357,1,1,1,1,1,1,1,0,1, 132
"[45]pruvrenfjfypqunqyhzqzgptttpelnqfqthptyzsfmpyb",3.35544e+07,3.35544e+07,25358,1,1,1,1,1,1,1,1,1, 133
"[52]rupvgdqkofydoqyiuqtpxgpogqvufempyquocqmqvttttyursvab",16384,16384.6,27931,1,1,0,1,1,1,1,0,0, 134
"[44]ruqseftqvpvqkntsbgmolpnqppmquqsquttttukstvob",8192,2048.62,41752,1,1,1,1,0,1,1,0,0, 135
"[35]rzgaqvvugmtpeqpqftpreqgpiotygsthvgb",1.04858e+06,1.04858e+06,17662,1,1,0,1,0,1,1,1,1, 136
"[44]rukwwzpavqspovqsppqpzqtgoqufqiptlftnydistvab",8192,8192.6,21189,1,0,0,1,1,1,1,0,0, 137
"[52]rupdyvwveqjpxocqtpplonqprpoqlvnhprqvqptquttttydvsvab",16384,16384.6,33954,1,1,0,1,1,1,1,0,0, 138
"[44]rzlakcveoxwltbixpmqpeqohifptptqcttgqtyubsyab",3.35544e+07,3.35544e+07,17452,1,1,1,1,1,1,1,1,1, 139
"[53]yzzvqprmvgpqgpppmqyfheviuzprtgqdopqofnqoptttwytssqvab",65536,16384.7,28002,1,1,1,1,1,1,1,0,0, 14
"[53]rupocvyvumczpzqxbpuqepetyngpqupipqhoqnfoqpttttysksvab",16384,16384.7,28161,1,1,0,1,1,1,1,0,0, 140
"[51]rzwvptqysppqzplnqedgpsphpqfihquoqniqnlqutttygxdvfab",262144,262145,29609,1,1,1,1,1,0,1,0,1, 141
"[49]ruvfqjdqrpkquptqpqppjqyoqpupenlqplnqvttttyokstvar",65536,65536.7,19802,1,1,1,1,1,1,1,0,0, 142
"[41]rzaqnqlrpnvovgvqqpxpqjqpnqgfqutyhsttttvzb",1024,1024.56,42764,1,1,0,1,1,1,0,0,0, 143
"[54]fruyiavnkbtxiknkbuywwyocuipggqpinhljqktqyttttymcstfvab",3.35544e+07,3.35544e+07,18862,1,1,1,1,1,1,1,1,1, 144
"[186]rztevqxoqqnolqvegnpfpquqigeoplqpqfpqnbwavbpefqwkzxwwtsawtyiwjdopwybrqihpgcpqqjwfuttxyvfsttvabrzvevqxoqqnolqvegkpfpquqigeoplqppfpqnbwavbpefqwkzxwwtsawtyiwjdopwybrqicpgcpqqzmfuttxyvfsttvab",65536,16386.2,27244,1,1,1,1,1,1,1,0,0, 145
"[52]rujgwuvqpdqdpgifqypqqpdprqsopqypuqpilnqquttyistttvmb",16384,16384.7,32497,1,1,0,1,1,1,1,0,0, 146
"[44]prrqeoqzmplnqsygpdpdqropgpqcqvfiquttttywstva",16384,16384.6,39538,1,1,0,1,1,1,1,0,0, 147
"[47]rszavpqdnwoimtxeazouyimfqpqpwnqrykutytsttvgigjb",2048,2048.62,28180,1,1,0,1,1,0,1,0,0, 148
"[57]rupenggwilhwxmwqnufmwmxpqeipqovpuqypntpeqdsqtuttttykwyvab",16384,16384.8,31998,1,1,0,1,1,1,1,0,0, 149
"[55]rueowiyoovngjmgplzkqrpvqgfpnlgpiqitditqfdtqttttyfkstvab",65536,65536.8,18677,1,1,1,1,1,1,1,0,0, 15
"[48]rupqvqkonjqkppqprigeqnjyzflittncqgqotepyhsttpvnb",65536,65536.6,22231,1,1,1,1,1,1,1,0,0, 150
"[52]iuqnvquqpfggsnjqklqsygvliufpyjfpfxpaogqsuttttyoidvab",2.09715e+06,8192.7,26170,1,1,0,0,1,1,1,1,1, 151
"[54]rusifvuqumoquqqhppvdszknizttlpnotmqvpqptttttiyhlsttvab",65536,65536.7,23574,1,1,1,1,1,1,1,0,0, 152
"[48]rzkvqoxprmtipnsiqzptpmnoqvpzqplnqpqutttyzisttvab",2048,2048.66,37588,1,1,0,1,1,0,1,0,0, 153
"[48]ruprwmlufqdyrmpcqzflppqvgllgupnjqqwsluttttyhdvwb",16384,16384.7,27992,1,1,0,1,1,1,1,0,0, 154
"[48]rduqpvqsptgwpeqdfngpqrlbnxnbqpqvnmquttyowstttvab",2048,2048.58,39019,0,1,1,1,1,1,0,0,0, 155
"[56]rzlqlvypsqpqqbpqsfipphtqntttgdttttqybtohqfttuttyszvoeisb",16384,16384.8,25312,1,1,0,1,1,1,1,0,0, 156
"[106]rugvuvyvaoehkhxqxohhigjvhuqitqhfiyptgitqpitysstnltvtbrugvuvyvaoehkhxqxohhxgjvhuqitqhfiyptgitqpitysstnltvtb",3.35544e+07,3.35544e+07,19011,1,1,1,1,1,1,1,1,1, 157
"[53]ruqrviljqpwdgygnbpmpcqhqpqeplknrquikfqlpftpyoistttvab",8.38861e+06,8.38861e+06,28759,1,1,0,1,1,1,1,1,1, 158
"[46]pirqpnmzvqlfpxqmpeyennrqopivpquoquttttyssttvxb",2048,2048.62,39009,1,1,0,1,1,0,1,0,0, 159
"[44]ruqpbvrlieesyjjzlqipeqtteptqxgwfmpqtpygnsvab",65536,65536.6,26289,1,1,1,1,1,1,1,0,0, 16
"[49]rupvxwsidpqooaolxzmipqipsniqslwpnqttttyjnstvzsyab",8192,8192.58,23509,1,1,1,1,1,0,1,0,0, 160
"[53]rupovltwtsyplttizyqonnpzfdyiaghxmqlpmqtpttqptyorsivab",128,128.6,21185,1,1,0,1,0,1,0,0,0, 161
