genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[101]dGoeoJpzcfrcCrcAauzxenHouwdAjkikazstgEiqAqeqBvetmhKfGauhoGzimDFvdClfrrjkzIqcJlcixAbJHyurkrGkEwHJiKsHj",2048,32,911,1,10,0,10,0,0,0,0,0,29,29,6,6,0,0, 1
"[99]cmcqondqEBccjclcxoocpbcDcDKtjfBvEcFcbDxeyoHjcipsslyczeccvvcJckfkccccpdciGqccnDcgeaeBccEcocKbcomHcaG",2048,64,276,1,10,0,10,0,0,0,0,0,29,15,6,4,0,0, 10
"[102]onHygcHCHzawJcGGJFbLIaxrfvEowogdGrCskgEdepzhatvAEgkbDBKsweAlElEdfGrHkxqcJmmzjslbJHtcBGHodJuKapckeDsoJG",8192,32,588,1,12,0,12,0,0,0,0,0,11,11,1,1,0,0, 100
"[102]pkcdrJGJjHcJcKygmfzjpJDncHvnKpinrfHEuhbovGAoJrlnHFnCFgoLuBHqFmLzCwjAmxcDDiDyJkIdEIKEryfpshCoqupfbehzzq",4096,64,776,1,11,0,11,0,0,0,0,0,9,9,2,2,0,0, 101
"[99]jEgFfbDxrEjbgmoxkdmFiJHJpygHcBrvphCcmoDJkabHJABnoitHBtDczHGtnaGHcpfneqpudKCKitoxeJswidvxkrJIxpeotbK",4096,32,711,1,11,0,11,0,0,0,0,0,3,3,8,8,0,0, 102
"[99]CuKqixCyoGjwpwpKixrDCujDGspCcvbBoycEBohenkpbGJFzdakBklpzylbvxbuBmJfpLkjrtJwxmgrbHcciKkklndHnuoJcEHG",8192,64,686,1,12,0,12,0,0,0,0,0,11,11,1,1,0,0, 103
"[99]ofbynDezfCcogcEHwdFvtacywAscclJidGertqDfmsqirGrlHicccjsCcsdsacpGnvFlpKamgnGCcihedesmGdxypEBbfgcHihG",4096,32,429,1,11,0,11,0,0,0,0,0,21,21,8,7,0,0, 104
"[95]cecccHcccccccGqBiccbkucigeuqwAcgcchcccJlcaccccrccfrcfccococbccmcycDhfGcrDoxcqmecpxcrHcscnKxwccq",16384,32,158,1,13,0,13,0,0,0,0,0,9,9,4,4,0,0, 105
"[101]AageCJjcuuJsiqeAqfsyvrdgwJdtLvpbkDwrmAawGyLxKfBnLtcpcHkbGxgFKkxFhaDinEwodjrnexbmJgJaJnADwKeviHGoJHElq",4096,64,1229,1,11,0,11,0,0,0,0,0,25,25,6,6,0,0, 106
"[102]hCCFegJvHkDbscndmdByohLELqdkhuJjKzpCrdLgpkkGBcobixqbaBtfAkmxeHbJtuuGHzviiEzzBdJoFdiicjstJHcrAvKrAHnwmG",2048,32,1099,1,10,0,10,0,0,0,0,0,3,3,7,7,0,0, 107
"[98]vfBDbDGwtFnAHHlHjwiJnqwFecJfenirFfJrHwEKHkHAEzpyrHzrkhrFhefHkgeHmgoJodGCKFyaAfhHqaceAEexqDBKowEjDA",16384,64,1097,1,13,0,13,0,0,0,0,0,48,48,11,11,0,0, 108
"[102]llHcfmcocJHocqxKiwEAvvkcyzkfycDctqeEnHoJyFGCokrapcavyBCamhrabxIzbHwemlBkLIpowdFmltEAFcothEnHcFmLuqwDjH",4096,32,354,1,11,0,11,0,0,0,0,0,13,13,2,2,0,0, 109
"[86]ecdfEecpuuAvfsufxGolxJHeBxBseAalJridHoJsKGyHcqDJfBqdGoJmcbskILnHbKdJngzoAKamtjKbiqalAl",2048,64,758,1,10,0,10,0,0,0,0,0,9,9,1,1,0,0, 11
"[97]CknIoegxIikBEkByuaKEtiaImIylnGJCkJzcGKpCuJrHejFkncBabaxcGmnaqdsDEjwwsyvhJuEtiompEgAmJJnKwHmoJKotG",8192,4,2512,1,12,0,12,0,0,0,0,0,4,4,8,8,0,0, 110
"[102]HBCveavppbehunDJKDuHygFjhtHCBeIzEsqtmFbgEvwKakrBvxAGdEJJexqfnJkKtutbHzoJkGCzDHvcnHDIDndbzAxxItLKtCEyem",4096,32,792,1,11,0,11,0,0,0,0,0,14,14,2,2,0,0, 111
"[90]zcErcaEHbCruczmcyyrgJJacEAbtJrtycuutKHHocdincfrpyEpFzroJdBByfcfcoomcGqytovauICIDFshlgyGche",4096,32,366,1,11,0,11,0,0,0,0,0,17,17,3,3,0,0, 112
"[101]ddcrAvJJrJDIDghbrdAHHKtxFlvieGzBoHcqJgkpvbCkJjCbccxqoxmzDsAvkJonivauDsAsABgBGBLpJvGcEdzgtpFAsDrslIpbb",4096,32,598,1,11,0,11,0,0,0,0,0,10,10,1,1,0,0, 113
"[92]fAwaajmgcrJsvHGezfpuAykhbEkidEpnJGzzpyoHstelJclKxoJenHzlcoEAaArGzzhpEciECyyEzwgeEzDilGKAgJnp",4096,32,642,1,11,0,11,0,0,0,0,0,16,16,3,3,0,0, 114
"[99]bsnmFAzgsfeEsuvlvrkzbcBleFfrgaBtmpLJtckysuougHlopesBtagJxdHlxJkmKlxejFnvzoJovpnGEyFcHoJDpcDpgycHeut",4096,32,695,1,11,0,11,0,0,0,0,0,14,14,2,2,0,0, 115
