genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[116]JJfuJKygJAAdxHGCKzBjiIzlEmmKwCdAbFAJnsHznmfwJgwtjKfjEswmrDuqJhhvnbpFqoImyKDKitmlKLzCcEhJGyDkoGmEzcIAEbefrakplnsuLnsv",1.77156,1.4641,2609,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 1
"[82]xlavJJDcJKFknBGCoCFBntJzKqsigmyJlGnuExgmxwEELtrnCbhBHfpmoxGbshuepgfbLIzuinyDHCrrkp",2.35795,1.61051,2630,1,8,0,8,0,0,0,0,0,6,6,2,2,0,0, 10
"[120]JJBJKvKGqqEswavxDEAKIuiAJdpwsoLdmtBnfbwszcnaqxtlhgeowaoDnKepbBrKCnmclptItrxGJiFreibvJaImeBkLrutGIlfBfwqBofKpvHtEcyEwxhkn",1.77156,1.4641,2633,1,5,0,5,0,0,0,0,0,6,6,4,3,0,0, 100
"[85]krJlpiHJJxKrFFeGBcCyiEcihgEelBtznqalAnyejufhupdDFDtFtebjtbJJDaHvhapuGEAhzgnlwrJyHiddz",2.14359,1.61051,2541,1,7,0,7,0,0,0,0,0,507,12,252,4,0,0, 101
"[102]lJrJJKuLytGeCHodKBEpJzlBcqqncwnBAyBvoDdfspBmDGvjrscvtpeoJyDfnBALsLBCdHFJFhuvwGwwHbgnEIpbDAeJjDvBsuziqa",1.77156,1.77156,2561,1,5,0,5,0,0,0,0,0,3,3,1,1,1,1, 102
"[104]JmEnEJcGAJKgBLwGCLbECvmFbGaGGrpEwDhqHFKmzcagsehuIACnxrsAACalCGcozkgifGawEkHxxjHeDGkkqzJmvgnIJqoajnwbqbqe",1.77156,1.4641,2608,1,5,0,5,0,0,0,0,0,6,6,2,2,2,1, 103
"[73]HAnJGJJxaKnKlgLtjGCKwxpKymLIaynLrbDsqmCbfxfqgxewacFHlhwjBEghfLgdobKbKpitk",1.94872,1.331,2518,1,6,0,6,0,0,0,0,0,3,3,2,2,1,1, 104
"[74]iJJJKbLtnxGECLJAokpkDeLsJBqdzvFmGKDFowzsyqILABxrgwiwDpzeCqsCyfAaIJLuBCJdsi",1.77156,1.61051,2624,1,5,0,5,0,0,0,0,0,12,12,4,4,4,1, 105
"[85]qAJkrteJuxuJKBwHhatLLwGCLmHtIhaHDLgBkIaaDnyAnGECLnmGvawgogBzrumglyJikjwphxxyonGedufim",1.94872,1.331,2602,1,6,0,6,0,0,0,0,0,3,3,1,1,2,2, 106
"[107]rakpeBeiJJJKnwaEBtHBGiCbAjeJBLhwGprCxApshDeedDhotBsvEfAKDpFvAekHkChwzGwAItmyvqfJjuwgppGlKskvcKqHbrbHxJuxyjr",1.94872,1.331,2696,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 107
"[78]JJdJsuKJwiLrytxGlCHgKkLlvkAnqBgaHIushdpJkKhmIydfjgfHiwGChbqnwKBmjhrIjrsHIicorw",1.94872,1.331,2559,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 108
"[100]JrpkkHnJggJKJctGCtcHyFwHLnIBJpnlnAFhgzDpflJCzInwLCmqqiEfbgclGeCaCuqajcyncypoczFpyDnIyirgDtnjgDmbatuH",1.77156,1.4641,2593,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 109
"[107]JJJdKKKzgtGCakmfBnmEBeCduIfFBzqroBxDabIgJcJKnfxfbyjCfdLJdocfJxtigioKbBrtHomnpDusDeKzthypfzJiuqDfAoLDBwwAAIC",1.94872,1.61051,2555,1,6,0,6,0,0,0,0,0,3,3,3,3,0,0, 11
"[94]JoJEcJaKkgyGaJafJnLqzKArsKxFDobsEsvrilDKtCGAwcIuswxJydillLbdhaqHDagkIEmLHpmwFmvyyphEqBiLbJcHlH",1.94872,1,2559,0.875,8,0,7,1,0,0,0,0,5,5,3,2,0,0, 110
"[88]JjDsJJEBEcoyKgKLsGcCpgAsrqenlJgbFvFriBfjFHbKEwzLwswwnGflnbcLegnGllcbeErEabnACFbxubvFeHom",1.94872,1.331,2586,1,6,0,6,0,0,0,0,0,12,12,8,5,4,1, 111
"[80]JnFnHJJKHJuGCGxaJtDxhwJCgvkDjwaEzssdJKCcvtipKtxoaryogDKklDcJiBswcGtbJmlqaqcCnpyK",1.77156,1.4641,2609,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 112
"[119]JrldJJfKxqaAEinGJlEEFxkuKtviltKaqIyaLIbfCJpwLkLoCrrakjCugyoFmakhvsnoIBinidEcxlxffKxakpKErELFJsguEbbnyLyovLiedrEoKgqKyHk",2.14359,1.61051,2634,1,7,0,7,0,0,0,0,0,4,4,3,3,0,0, 113
"[78]mvxtdJJJKxKGqcoagygErEeqmdDFimcHtxvtALehnbBEKJnzvtDzKtikEmalrtBmnrgJjihweuygGh",1.77156,1.61051,2638,1,5,0,5,0,0,0,0,0,9,9,6,4,0,0, 114
"[104]BlJinvBpwBlJjHJdBKxazrwGJwnygxrKDwxvAuqAmfFKfxwBktHvHwnoIEtrjLttibGqICpljJGvbChllILjLBcEHIAsBJFzxsgFFtLF",2.35795,1.1,2601,1,8,0,8,0,0,0,0,0,4,4,3,3,1,1, 115
"[117]JjzmJpiFmJiKgjBGCEApJwxbBqlraoqbJJjKCLxcbJqdtdyyDGmapABzKsolHsGmomkGGAqndzoBfAdGCGGqBGaKaGnCkgJcKFCdawFaHvwsdqFcsvyzw",2.14359,1.21,2568,1,7,0,7,0,0,0,0,0,20,14,8,5,0,0, 116
"[98]sitdwJJdJnKhJsGCtArgiGtnIyijsaowuefDvozFnuwAssgxkobobLeDqucumBjjIaegyLrCvJGHELvDBJeCLlJtJiLtyFcIfC",1.77156,1.77156,2630,1,5,0,5,0,0,0,0,0,12,10,3,3,0,0, 117
"[74]JJJdKxzGmnKElFJriJkmpIhHhkEkBlmvqGsjfrGylcIEzfjwcjCFwmHlFfAriaoeeJrhekxwtf",1.94872,1.61051,2616,0.875,8,0,7,0,0,1,1,0,5,5,2,2,0,0, 118
"[106]xJJJtBEGEKJcgsGCLhlnepnAkCngEKnwhulscIlIgdwvfnnDijgGGuJfHmrqcLaEjpsBomarlkmcIbjbLnLcuLHeJvbCdJflxiByHoGoLy",1.77156,1.4641,2555,1,5,0,5,0,0,0,0,0,8,7,2,2,0,0, 119
"[107]JJxDIJbKzdyKlLCfwtGCxoocHecyEtDmtjsvhksJAwihiKLhihjpELuaHqiiAlLLyrDnDrLlqtqIdBtiBHvppBpvKpedKxmurzaIiloJFCs",1.94872,1.331,2627,1,6,0,6,0,0,0,0,0,6,6,4,3,2,1, 12
"[87]JooJJwKpqgukLvixnDoyKctnJzvganGCjFxrefipEHaDkkaLtrkjLvtyFhHqCiniylqHxDyJrvIEyeqnFisBFLE",2.14359,1.21,2628,1,7,0,7,0,0,0,0,0,4,4,2,2,1,1, 120
"[93]JJJKLsGCIgtACBCkwCKygduCEkLhnydljkdgKmjjzczlfEblzoLsJxEpsprqvuxtEBBECegkkaDKsJytKHemdgvhJzIAg",1.77156,1.4641,2625,1,5,0,5,0,0,0,0,0,12,12,4,4,4,2, 121
"[99]JrEwbpFjJJeDlKLKuGCaJuqhxHlDaKqvwgkqLgAhsowIGdtDCKmsgnipbeJiBikAyaafaGeqcjlAgaanJDbzpCECDiHDrDjnFqj",1.94872,1.331,2574,1,6,0,6,0,0,0,0,0,3,3,2,2,1,1, 122
"[114]cJGoJpyaewJKwwDGKrFKtHFoksAvbfhGDIDsoDqobBjeClqDruxBgeDnDbfsmgopCsGpanCqAgoCmHmADqqpmjlyhHFGlgHsFIicDAgjofDhgwvglK",1.94872,1.331,2620,1,6,0,6,0,0,0,0,0,6,6,6,5,0,0, 123
"[84]HJfbwjJbtsmGicrddbJuaKKfKErkdbiFBszGCALCkiEKlGEbaHGplepojylBruzLnyhcBknmhupkaJfjtiAD",1.94872,1.94872,2572,1,6,0,6,0,0,0,0,0,12,12,12,6,0,0, 124
