genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[101]ctJEadDefHqwhrevagHcognmzoKneqqbFChKmqiqAqjcAgyaoLpslImBrbyznhhEzBbLaALcdguKepJIxHcobcgeocGLFwebbpKte",3.92727e+09,8.23609e+08,932,0.781609,174,38,136,38,38,0,38,38,87,78,49,20,38,38, 1
"[88]EdmfeEliFDmrtlwHoJHoCDHyJqKHDeetDcLpDbleplhenaqcgupbainDhxiafvDBeatoIDJxjwDluafjLyforbxb",4.31289e+61,2.92605e+10,1798,0.750988,1265,315,950,315,315,0,315,315,347,347,603,288,315,315, 10
"[78]cHoJGGqqDBurytLzELsDfcAluAJKozpkutgveyDDowacDomdzianzDzhExyufbvyszkGseaEpfIhqF",3.05176,1.95312,2641,1,4,0,4,0,0,0,0,0,7,7,0,0,0,0, 100
"[96]ApEGtgnDubaHcdoKgzokocJrGCgtDcwAIlCbtbFLndqzBAqiaefIbcpCCdKIyIfAzjguqcHldvKHanDxpqEJoteHeqLyhemD",3.8147,2.44141,1251,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 101
"[123]hvvJbjbHoDKlGqCmjJmwqeGIjebevhrgAAAhAkkuFbgmdAxstpndDzuxLelinkKCkwDbpHeazonqqoBlhvfjKbjKrGtfugwevHsvummopFcsfFnKwDJudepAIFo",3.8147,3.05176,2591,1,5,0,5,0,0,0,0,0,8,8,3,2,0,0, 102
"[78]BDncvprJHnKHrnvzGCgeClxvGcBkcBzEDsCFjjpjvhJyvkGoAntukxfasJsszHvvAzraEGArDjifJF",3.8147,1.95312,2600,1,5,0,5,0,0,0,0,0,6,6,3,2,0,0, 103
"[73]pifaakkfDudjbDImnlmpkziFghfFlakzhHzsJptGHcoyoKqCidBmBzmDgAtfBegCJbKsHIuai",3.8147,3.8147,2568,1,5,0,5,0,0,0,0,0,10,10,3,3,0,0, 104
"[91]CpdofdzzfKLEivpBGHmEqaJCDlGIvwKlrEggJsrsslwDeaxlrEdncaGwfwjtrvGfshFuKacdvLpebJwgDyiCyLiLnIg",5.96046,1,2577,1,7,0,7,0,0,0,0,0,10,10,2,2,2,2, 105
"[122]ohxxnjJhoyiHHoCsKHAoJoqhnLJiaeojKdsEesGcnjlwstBakeAkrpLsnjiAAaJcEsevLflBwydaLxAjijBeHhsjFGudnvabjffpfEfEqrGCfFaJuflCapJfBn",14.5519,3.05176,2597,1,11,0,11,0,0,0,0,0,6,6,2,2,3,3, 106
"[96]CyBuvhajJnbHFpKtpzdqohImsjFeKtgrAHJzgBJyIvJqapamufzLIhDlmfDyldwihzwlflslpKuGHchcGHocJioKqmeILGbq",2.51346e+09,7.07475e+07,2358,0.852941,136,19,116,20,19,0,19,19,70,70,47,27,19,19, 107
"[96]vwfmoubmGhGuBfcApscGeHoJfoCGDBBhKipauCdjtbqhGFeECyKKhgtxvwxdtqugdiHaoeJxlxyuzEpEExdiugpbBzsgLnph",11.6415,1,1659,1,10,0,10,0,0,0,0,0,7,7,1,1,2,2, 108
"[104]DbamGHoJqJHyDoolhzlbotxCAkpshuuCvoyFtoejqmkwdqcJmDlBlhgjIKgJyELtbiCFqyEkpiBkLyggypBGiDgvDGHlBgzLJLyBsblt",3.05176,2.44141,2565,1,4,0,4,0,0,0,0,0,6,6,0,0,0,0, 109
"[96]CrhBIwLwfmhEtfcvjncBAyLJpzdKoejJtvaHdkepBgwstozpLcAovxqhGsnktoupggixEElJbcFwElHoJGCAFEzwziKbCoAf",3.05176,1.95312,2504,1,4,0,4,0,0,0,0,0,16,16,0,0,0,0, 11
"[101]nHcCoBkEIJypJaDzmghFBneFDcfnFKjHsHbcGyDrJhnChlJqHzwryyhfuqpFoLgKbCcgyItvDeFFDAwfgoKfosocJHGkGjlAipBej",3.8147,3.8147,619,1,5,0,5,0,0,0,0,0,10,10,1,1,0,0, 110
"[77]cpGdblsppAedJlnldruzodCinEEeovvsgywixEFrbfGGtvHopKwpLJppfaHosqGlzbcoCJDHojIvE",211.758,169.407,2869,0.96,25,0,24,1,0,0,0,0,26,24,6,6,5,2, 111
"[103]ChtdfkKsuHoJALyraJoavGFwgDlHlqJDprynLguCJDdxjDvIEhkCvbymwakacFzdAHwFuDxawEypvpBudbynpjprjobbceBbcEvwJHo",5.96046,5.96046,2650,1,7,0,7,0,0,0,0,0,26,24,6,6,6,4, 112
