genome,merit,merit_given,gen, seed
"[97]jtHmazyaFGBkcidIGywLrzHvErwbnkzDmdtGpxoyKwGsyBFElFvEFkyGvDynHIAnjoAIbJBbkhBGvwdniLckvgrGypeGqlriv",32,8,991, 1
"[70]leDgjiFBHtLvDBaudhEzxIfnvHHzHpFBeHsnKJbhKlHlIbumIhbvIBLIIyKydqIIsauEpG",16384,16384,5350, 10
"[84]nHivdhsGBcxpctwpItahlrGatJdzKmxdbwrDlabsumLuolgsruaIHlkrAgBwAHHAiKiygEHitHJswoLHHGLJ",65536,65536,3463, 100
"[63]jlHzGGzhhyrclezjBBpsrfIHpGjHHHEkwktvyKHezrGFzJcHHEGqDwKdpfcBbcz",2048,2048,4172, 101
"[63]nrycotlqvscnxwomHsvaeadfjxnavivtmkILcvnocHGLCBlpJqJEdcnfzBphFgJ",32,4,2776, 102
"[65]DCjEhvGEdesrHjzufIfmCcHxylHlHKDroGnLxDrjHnBczjHBEgfJqcBHHehHBEKqG",65536,65536,4168, 103
"[93]stHubaxqycrDykbwggyfIvHHacHpeuHKHIIIEEumIcsIKyeIwGFxIDbFBEGaKmzqnfeklrCAnKhpgnJcsbCrEuLdcEzzy",16384,16384,4962, 104
"[77]yBFedHofzifIHayHiHEHiKrLzjFmLvdccHFJHunHpsuhBkKHfJHrHJHaLqkgxHxKujghGrLCAaLxy",32768,32768,4973, 105
"[85]xkvsskzuHJeodtAtysoFoFpkdgrlzlcKkioeuxunAwvvqskGDJmpIAoKbFCExnttGDwmgBuwDDmysodqwjsFt",256,1,2286, 106
"[58]BtpJvpDuvojrHnxLlLEDnvraEKFIhgwcCohEehntliGLpFycGfLnILzFdm",32,8,2645, 107
"[37]okHesLzFIurFjEmDgEarjIAAKrkzoHGzgfeLc",32,8,2652, 108
"[65]kczheaAtHBnfGiLoinILCawhKCxuyrfAtnmxfwsqxwwbbAdsysFoqqctawCDdawhq",32,4,2693, 109
"[104]HhvdclGpAdvfhdExIrjLfmHiHmHihwbHceonfKmrLlcHhJFmHqkDGDFexvEHdJvrwrHarfKHhFEGosyqnkiIvEJAfbocInpjwwcHwfkx",16384,16384,4575, 11
"[104]wjGvDqvcmLyhiHIEegvgHDibsCxvxpuEBkyvssHutxCbcmEvHBHrxolLKBAGuAcHJHufnHmBdLvxLFqFKcdHBdvkkJulHrmHhEjJHihr",4096,4096,5220, 110
"[74]BdlHzrFIubqFxaDkraBtHbHkAuHzoDFHvndxzwyKEHmljtcJHHLtiFEGKqbHoafIJzEFqtmfhl",2048,2048,4179, 111
"[104]ALsvHEugkzIAHHnjrawkbfvGtxhtjAHpKEcHzKdfHBJqwjHeHJgrHKvHHrzuAJnkwsAjyplHHAinCtCIIHFzEwqdFGhzbDGFoLlpKrlk",262144,262144,3690, 112
"[86]yhBpsLjooLmHBIijHaggzHHHdbniKujBErcHvgJeHbGHKLxGjxHLJHurHiFBEeqssHGqBnIFnEAjsCdmCdylwD",32768,16384,5041, 113
"[71]qapxFyenhhHoFmdEDGwyslvzcHtEdhxyjvHfHsnHJHHdKzftBkmuotIIIxsmuIlKbInCxIG",65536,65536,4380, 114
"[74]tAEHGwetsrIxqxBkBnBbwgBsLcLeGmHLnICgJCwygFozyJpoxDsGBxIsneKiDBygxrCtBkaosv",32,4,2668, 115
"[94]vzHIAAGeuwdgrwAHFrHHsKfHBHamJuvsnzGbsDeBGkHFHFJErCKsGEujhppvjCiiiaDryEnsmwCJBECwjrjqniEyBvbHFf",6.71089e+07,6.71089e+07,4197, 116
"[81]HIlHavGshHgvnDjegLwAsFHGmHuyEhKhHJaHteFHEGqmgzimcKadssEEdDkCgmqkLBDhirIcLBdExgdhe",2048,0,3898, 117
"[106]qFADJHxeeethAEIbmHBtkcrthnhwavHhBLaHKwgLEhufqitEkHedEmHsgbFBwpwjtBtbscmEjElxzyGGxxzzyimJvpgzvaHcHhkIgwfmcG",256,4,668, 118
"[91]gognHAeGcDsqExjuxzdhwFcozgdBiAHjfmsdbrlwFsbtjInvblieGGweHHsssHsnaKfEHgmsHJHmFtfHlEAJHHAbEHK",4096,4096,3583, 119
"[84]qmgEvHDaedfsAwIFckgfwuFHHHDwpekhxcwLbltasGfHEKHIIaIIivmIirGgsdFtFBjuKIdiiImKIiIvdABG",4096,4096,4597, 12
"[83]caajEAHrnvIHgakwHHkamGozjvgHKEfwuIvdkgxCfltxIIaIyllFKtIILBKIqtIyHGdmmCBsbHasCsynmqH",8192,8192,4944, 120
"[115]eaurtymeEsHGLcnILCtJJgJvgEdgDCFaCjkdEajuDJifGiwaDfsgLqJEBdvnhhFcILtELJffuHrBmfAdwcHnbfryBijbbsvioFqneiEvHekdBywzflL",32,32,2654, 121
"[95]HcjvdutjGssgjbBBDuroynznIAHDCHjHenErgnEneKgBHHJHdeyHeAGJbcqtnsnpDreqExyfdnjJegybKegrblatGsKgnln",16384,0,752, 122
"[60]akmhdenLntwnHLAuifyLcIntjhzjAGiLLjEoHDKoIzFaaIvHruCFsedJBKre",32,8,2604, 123
"[95]oHHHFuDwbHKfvGFxHGymgkxvdbpijiaIIxIABIcfIcKdyufoIBLIKqibrlIIvztpxzGCBevHxrzfCejoCcizcuinwKEybav",8192,0,4649, 124
"[87]hGjxfauldtDlvDIDgptGdnbsqHuoqruDkivodsdmbvdgbwmslDFEyrLEIAHvmHHFKyfHHJFLBHHJEHyqAjlcfHs",262144,262144,4349, 125
"[92]nlDgLilHotIBpdDiwrlrnyArehnrwbunxsHpazmorbiHHsbsfyHiAbKbrHIbmAkIzsLvcaIdxmJKEkIIKjEdIgIuuLLG",16384,0,3672, 126
"[84]llnDDdgLuyGDnmdDFtBejeAzwzofimjruwnvFcBsHxHjBHkvwxLxqEBqGvHiJutcwkBBacmrgrqtLgAwkfsk",512,512,3750, 127
"[79]qFGFHIhHABqhaKhadibbHtfkApJzjKuymAsDgkfbEoAmokvInvjyjluEAkjrKcuHgwcFJHHEleGqtiw",2048,2048,3631, 128
"[80]LHCBmGqympJqmCKmDeGAIeGFutGvvHomDoHBvwozvevHEHmgliKijHeaostJHeFEGhqykDJmgtkxhsiI",4096,4096,4827, 129
"[64]enHIFHmLDAHHcGHtirKBHdEJHeHqgJFlvpkHKktzcHLkFHaJbHHzsnHHfLxHKGqc",524288,524288,4749, 13
"[38]oeabLnpHnghbrtFuznjgykvkHfpLxydhuGLBvI",32,32,2509, 130
"[81]qlaBvHLxkiIHHfjwsxhusDHHBbeKurjHadJrBHjHiKHJHDpbHmqDerhaGledduiniCxwHDeAiDftGbpib",65536,65536,3905, 131
"[75]qhptFHydbmsDIxaztrBcxffzAsqaGxADkosIDpuojshgwukwfHHHKHldAaslxqgqEaGHJbHpaEy",1.04858e+06,1.04858e+06,4355, 132
"[91]FbgrtcDBGHkBdmmFaIcvHHpzdylAHufvGjksnHdKlInLzouiwIpogKkwJFIAxtlBxqvIjwrzeydcKIoekIcBEqKIyIG",8192,8192,5956, 133
"[65]HIGcDHuDDifeopbnHlHFijuGFsrknGFjHkcajjAKHfHJmHbzHJHHbxHosGlfiBKpu",4096,4096,3271, 134
"[90]zaCImhFGICucyzgobjoErglDGcHyfGpHDGAEIoGjqKrxLblzHvFcpCsimcLpffxocJHyBcpEhcimpmlHhgqazujblC",1024,0,4104, 135
"[65]nHypxmuqxgtwjepblHFdGBuumwEIIdpKiLcHzzvALGqrkgHAxwLznKpfotmntetfL",64,64,2996, 136
"[68]qHCFFlJIzlyIAqlDpcmazylcEbAALzLncnxrCaciJxGEJrszqartusLawxGxIwLccwLG",32,16,2642, 137
"[54]gBqGDAkHjiFDCwIHbsuhiizhEhHdlgBAgjvqfjmHatKHlbBEHJHFEz",1.04858e+06,1.04858e+06,3645, 138
"[81]qHIHpiHHoExtrdgnHKHeJbpKcDhCviDJoCbvBtAHbEtrwezpozwosDJEfiFHrhfrqoHHeJDdHiKAHBwHG",16384,0,5061, 139
"[102]FwHdLIgxfHHAmHwutwmHKHJHwAcHKHJijncsHHwGClyEbfAfAvkxzIrtppctGLyetvEmlhrqqrAomkyrqkoGpCcBygcfLaAddBlCgH",2048,2048,4320, 14
"[60]tdnclLhdjsvEdoHmvyldoguvxoffnpLDizBKLqGBaeBGmBplBAyosiHcLclI",32,16,2681, 140
"[99]CraqqDowpmAJCxplveyrdpAxnuGgrLFmHjIhukxueaHHexHrnrxtmKrnyEnmphvuGHHslkJAHyLgzHprBkfpHsEAJHnHEiHztBG",2048,2048,3695, 141
"[46]qHgcgnwmxGABzpbxxnbAItrLcjjtHhjibwgApikpcoLaLG",32,16,2747, 142
"[64]vFHzcEGzDlkEsjGnykjLenEDizaeovFDiIqLoebbtEkzcgwklLpksjneIenuFrLf",32,4,2686, 143
"[85]zlsqnbHoeggHsaIHLEHHsgajhLvHecKvIBIltkIIpBLKLnCuwdwdtgGCJvGwooGAzHKjyzwzhqnKwAiKigDaj",8192,8192,3289, 144
"[83]FxiHsIlwfBjcHvxHhcmHdzvLHLKEHodjAItIIasIfrmfIcKvpyIvGgmaolLIKIGBqFIgmKLztGqCwdJjAvI",16384,16384,4258, 145
"[70]HFBEkEmAloDkItiEurHdBkHrqrcJganBhlAxwbHGAHKIAxIxtkmvxIyiIBaKIqxkiKLxiC",65536,65536,4634, 146
"[102]ppCBwILeqlBIslFtsthgzcdlvdjJxnKJHrkaChbjCoEdDuvqDrrmhtvwgEhiHBmAhoLIHartahlzHkeHBznthdKtHhlHJHyqHHgwGr",2048,2048,3591, 147
"[53]qemcrdjrzfHIHHynfLajntHbKcaEALmFHoxHtFLyeJHhflHFBJEiG",524288,524288,5049, 148
"[72]uufbvrHIpylHHfxqaDDhHaalKHasHJinfwHkLbhoAmHzoDjJHdtGEHFbAzEHKHorgCfHwvGC",8192,128,4125, 149
"[105]BzorhswoloxxGDtLwEnoefoyuBjspGmqbantnGHkswEsIHsHkxzGyHHzwGbKvdqhrEyvGkrHnzJHllynlHdkKzFgmiEcrHJHHqEHAkHDB",65536,0,4814, 15
"[62]FioCGrvyDGugikntyHLGgzzpwheDbttoGIgHHFgDKlbtxHKkzHbbHjvwEJoHHH",2048,32,3169, 150
"[86]nkuDDpaBjxHIfHEHHvHKdovmnrntrwtvaqAcxGyEktdHJnlHlLjAHezKHxEJccwrwsHakHJHfiedIzuKfLmmGC",4096,0,5172, 151
"[61]HmDjFAFLlHHGHKdwnaaFbFnlHenzfIewImIcmyItlIKjnIqxohGaGCimtcKix",8192,8192,4139, 152
"[56]kHcFGtlsDyfknhmyHvsdplIfIdHHHgxKHpbrfeEHsAJHBEHqHKrHEAHJ",16384,16384,4277, 153
"[66]FrHmGAslfEpBrszIwwEgLdHDubuslKkqEvLGKvcdCuHHHKAAnxHjIIwIIGvIBGqyso",256,0,4118, 154
"[97]tGabuverxeudcmfgLEryowBaiHvDcosxEoipGDqbAJIAgzwHdnofwdGjGJHdDyBdIhzsCsEchmcijvuagFehabDyaDhcJcsIr",256,256,3409, 155
"[100]oHsIgxbqfGDqeEgtHaGllHiFHlnKGArzHwampbyaBuviGgHJgyEdbHthdHFwtBdagbAAJHHHKjHtpnAkzGHJHcBoqzmbvBGCAlEq",262144,4,2056, 156
"[90]qdmufFzBHzgpxoBlmvpAlibbwIEkBynwsFjaiLxzmdHtticmEbiHmHLvKHjxbHJfHAuuxslHJHfHHJvJvnplcGkgCw",2048,2048,2136, 157
"[94]zGGyHIwoitpAcgHhkGfHxLEHKHDAChhvyqcwCuAiIlBxpFLovHJaHyjcgcfFFHppjJHFBzHoCFjhuIxswwrrpbmpJGoiql",131072,131072,4147, 158
"[100]adDmCjHzpElzojjCiaybAgHtlurFcFygyDAigIbHHpezAmHlwBhnbpsrAceHaeEtFkrrxFiguKjaBHyJDkHDmHyqkHdHHjGtFEqG",65536,65536,5363, 159
"[77]pddxisGyDpFgHzBIkkrscuHdHHAmmwHdKspxHsiEFrLbgcaryJHHKHJBomLgxeLqqrFAFHxHJHEli",4096,4096,4911, 16
"[80]BcLazprinHLfvxmtfdqoxrgudGlyyDAvajBIjHHofizHGwAFdnyGLIifvaiHhKsyHmdHfJsGwHjjEHJl",1.04858e+06,1,2565, 160
"[56]HGcmDfirBgGhfjggIsEHHdKcoHGHAHuAbmFJEGadELzpueffCfqlxptr",1024,1024,4165, 161
"[103]DGCjqmnfrjGLABFuHnooHDyhotAIqknEvbfzvlmADzapEHfJpfsxuCuCbewfHIAgoJHtksAHbHwGKywkHwokfacycHdJBHvgiHvGrir",32768,32768,3919, 162
"[99]fxqzAzbcDDmFjacoigcGbchzhwwhEhyvmGHpLIHFarHvLxkbHfLivyKgnlBHnHpDJHHJGszcpzhqkltFzloeCGcmtldhuoEHljl",524288,524288,4095, 163
"[97]GCmfEvclBxBqIAqywmdBurGEbnjIAuuoelJGFjBsLypxppnFcGHwzhaaGGloGpLAHlHiHaiHilKEaIttIIIttaKlrIIoCtFun",4096,4096,3353, 164
"[57]qdtlBHAIfpLzkmhHjnaHkmacHdvhewKAhFzkEHHjyxJcylHhHxiJCbFEG",524288,524288,4981, 165
"[91]ikGBapKvyachcgxilFDEdEuHLFIFvzevdHnzjHAKjxqHdgpdBfexHJxrgLnnFHHpEhBHdgAJcLHHfeccLyBhEkHoduy",2.09715e+06,256,3194, 166
"[40]zykyEHhtHDmydrxzHymoqnmGHoosbJcrmBagBrqh",512,512,3956, 167
"[35]tyyGFbzDGAEBHAuIHnHlmyKHHyHuJHEHKdB",2048,0,4241, 168
"[69]xHgIHxEAHsHdeFztaLwmjyLcILqscHatjetkfGdHKjiydmjkxHLzIqHGCuqzsLagzootH",256,32,2784, 169
"[64]aHDfmFbawwEtowwyEIluhekbFDzAgibniGEsgJxoiLcHskLGoetqwwoKoFbawvqB",64,64,2943, 17
"[27]wrjrEsqrdEmFvoHLBLqHGwtcLIv",32,32,2826, 170
"[84]lcLbtAnznFsrGHmIzgHAreHHuHetewrKywqhmuIjkIcrsikItxvxipoiowIKaFIIAbgkEmsKIIodjxFoqEGq",8192,8192,5184, 171
"[66]GDnkjFGdmHAkIetmFHHokkHeHjKkunIojlxmdBIswaqioynIIKgIGgLIcKBnqslaEx",8192,8192,4229, 172
"[61]zsdnwpuHdtfixFImHHHtjmKtHoFoxhepwbyHhsoGlAcAJDIiDCHDlbHtfFxBJ",65536,65536,3281, 173
"[89]FuvKGgnytyqtlykstvFojzDfgsbJHacFbzbuBtdIymkalHGnafuzxwHHKEHmHfttckaxkkbleJyHjHfJHaHvHGqkn",2048,2048,3227, 174
"[44]aGcjnjeLgFpEBfpoHhbBaybzshLlkuraLnrnIhLGrLcf",32,4,2734, 175
"[88]zzrrpxldgBaqjbHGFdicgDCjeEfAswghdusawpowibiswfHdhAgHmhehejkxgyrIxHGlyjEnKtmHljzauHJHouHG",1024,262144,3341, 176
"[102]dhfuhfHBudFgjABczptnpxvDcsFfgcduehHFHDkpjnkHkFwoKDlwGJbhwFnCFauvEnCoAAJnqAulFhfqxIanChplbjJJIIIqAuBcfr",8192,8192,4238, 177
"[76]aeLLaftzxyAbzbmyHxhgtdBeDcLoaKotcAppeigfkhxnbvnGfploxEckDKIjmppmulzdmGDdfrib",64,64,1254, 178
"[100]HEiIHuttDHaHbKEHHrgJwHnHJAHHoHrAAvFEhGdikKqAdsxCiEbppyCIFDgeJzysEEyKxndmjqefyqigbwwljcBneFCvqowvCGiE",131072,131072,4426, 179
"[93]yuznarwfcxzGafxiHbapGoDmkuFEwvLadyDpEpiceizADzHDgzfofJHBbKCGLnfIjLfDAlJKgnDbrFyJsLpFBpsHseFjK",64,64,2666, 18
"[51]qHFxBftExqyxstwaLuozErwcDKgofHkmzaciBvbHkGrBLILHLcy",64,64,2794, 180
"[100]korLgcrerrcciLncqHoAmfvBDdEkvtbAcIrtHHBfGmtsuajxhHAguqfhFmjlBfvaGKaLHzfEfswtqHJujcHHxevLpjraLLkzuJLz",131072,0,791, 181
"[98]tHLcGBbBzbnILColIpeBzfnxKcsAyiKvvIjbbLmwyekhusICpocfEtLdGAueIDulDdvngBsoJkJcsfBwBuHDBmKjnljDhAFmHy",32,8,2604, 182
"[94]HiIoHhHFbHHHLlcFJGqbkdfcLpJDBayInKKKFLpynAzmEwotnnIyLzpkApekbzatbubyhGsrxGhxtkmDAfIqjBGcjycedh",1024,1024,3880, 183
"[68]ktpxuGtlBmgLBGFzeejwHhGLoKxEcjngcbDcAofArkyzttGwsuLsdauGDzgIlxakFgzm",64,2,2352, 184
"[57]fHudtBbIHEHEHkmgHxKfLbwHJFBqHHIsrwGqCjiruaLervbayHFJwnCfC",2048,2048,3727, 185
"[101]aapkwesEwayccvzxuixLiccczczidcynFllFgHickpshwdDeevBotndpzpGsDCCjgdhuvzLuHhHHqghjFDKuniFxHJDGIwDfnabmr",128,128,1573, 186
