genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[106]HcCnBJAwqxJwhziqaIhensBdzHaKzsGytLmjDActpBCwcJHBLmtcyalECxIddGjFvxtxmHsueeeDrubvgAnlFybhaDrisboLowGGocJdrw",4.76837,1,2413,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 1
"[64]ifJcnBnmFBEmHoJyFfFoqKHoJybeigLJEzGzqewsoHymHBzLLBazjpsuGwyBFscJ",11.6415,5.96046,2554,1,10,0,10,0,0,0,0,0,6,6,2,2,2,2, 10
"[71]qczeivfmmgaykzsgxbJkxFHcocqsGctucHquxKpifjBomlHGEoJygLoqwHgoBDpJBcaAuAG",330.872,3.05176,2848,1,25,0,25,0,0,0,0,0,15,15,3,3,7,7, 100
"[96]DzJJhGhfpdfHvuGcjjEuuxdtvesAAlJhKzpuzducpfyhtJdLmyjzjFGdbidxsekJhxAvtrLiFkJBwGzmGDIzGHulsgCduFqn",69.3889,1,3531,1,18,0,18,0,0,0,0,0,11,11,2,2,5,5, 101
"[78]JwikHykvqlGnauJJsAxbDgFnHixHtoJwzmmohKLjzkcJoxGCjCJjKyysspJGHrGCJlyocqrxtfGcnu",11.6415,1.95312,2687,1,10,0,10,0,0,0,0,0,6,6,2,2,2,2, 102
"[93]tgiDtHGfzbnulysrltEGdoJHAgdqcKtDCnsnlAkAdLHaDghfEBdJiuFGdLGJLeqcJEwezDowELAyuuwKxdgfamGBtkBzs",69.3889,69.3889,2721,1,18,0,18,0,0,0,0,0,702,25,10,6,25,6, 103
"[80]qnwzJHxoaGhHzvowlzdeczJKpwGDBGacGfJJGLEwrgJufeKwvmHwHnmJdmldtixLLJJKdaKJnodKrwJG",516.988,516.988,3839,1,27,0,27,0,0,0,0,0,96,38,48,16,18,6, 104
"[44]HlbybfJHoqKJLbtJLJgoLHotAGBhqlwngapwgyrjGrkF",135.525,2.44141,3447,1,21,0,21,0,0,0,0,0,12,12,2,2,7,7, 105
"[101]EzAjuHmpHoatsiFEGHDjckgjiozdsdbFasaoDwbjnnhtLxJGkqfugFluvivGHzGhzoJoCHoDmzKEsJLguaJxcvcgptflfltLGJpqo",69.3889,69.3889,2753,1,18,0,18,0,0,0,0,0,325,53,13,13,281,12, 106
"[94]fDcEsjAtEpKznHcocAkeGcDCHbcwrCebEGnswowAGIpKwvAiHvmhadjmewwCDfJtxkhpqecrskhwxBHvguIHFyclzwmcet",0.01,0.01,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 107
"[102]zdHuplHtpFomwvuJwvFmfjHcAAocCvcaKdEJbrjhLAtmlcJGBLJukoLvFEAhdGqLKbedvFhJAKeKkztmHeiunpshEGFpttqmdBygHw",211.758,211.758,3373,1,23,0,23,0,0,0,0,0,34,31,5,5,16,14, 108
"[70]owBJleFxkJJExEgtfdBtKdBJLdeHqnIpangwkeuJdBGodtJKJLJzcLJGLJLLJJJKuGCExb",264.698,1,3524,1,24,0,24,0,0,0,0,0,14,14,3,3,7,7, 109
"[101]caftHewzrpfgnGAymmuocaKxkpojbGcdkpnsmFlrAEEnDmtkfkuFgtIIxnJwBlfubrotKuswCFcBulmDbdABeHospiaHDcfEoJixE",3.8147,3.8147,2589,1,5,0,5,0,0,0,0,0,14,14,4,4,0,0, 11
"[67]EjBdlvEvloerFyFztcuJmofjHgHuBHjgFnxabghgenEGqceKLDEipuxkErtzjlupGBz",11.6415,2.44141,2665,1,10,0,10,0,0,0,0,0,6,6,2,2,2,2, 110
"[84]zGjpKzzgaBhivnBkkGnFaHcyocJoLqKzoAGBzzEDghzqsqeGGuEkGFrCxlnmwzBBktHnfdInLjseefeiprwf",2.92605e+10,2.92605e+10,2970,1,107,0,107,0,0,0,0,0,98,98,29,29,32,32, 111
"[75]cjcoJippEDsBqGaqtHfoeEnfDeILjbdCJbaEcbJyHjecocbKDCGAwuwpCJwvbabKsrDcckHdprE",6.11624e+31,3.40637e+11,2791,0.781411,581,126,454,127,126,0,126,126,193,193,262,135,126,126, 112
"[96]hcjgHqvzDAFlbBtjnFhoBogvkfFpFlyxwjyamFkHBFvJAEdoExvqHEmpcoiElEmHBGezicvfzopDKLoBzHicdEfFhgdsylcG",11.6415,11.6415,2657,1,10,0,10,0,0,0,0,0,25,25,10,10,10,6, 113
"[70]icJywyvJDzDGmHhcjlazaGygAwygqFoyjGszJKtseaJGjzLmckDuEhfGCIwfuiIChiCKnu",86.7362,1,3359,1,19,0,19,0,0,0,0,0,11,11,2,2,6,6, 114
"[40]wgzptyrpmhJfzdHEmchHAmGnFpnoDxyByyGqKLfm",11.6415,1.5625,2672,1,10,0,10,0,0,0,0,0,6,6,2,2,2,2, 115
"[103]ChJEDyjDaqILjzLDBplucICdxnaxjybvofDukwqmjvFfnEFrrnouglghciJGpDzifonfkKteHcmnfcpqcnxbDbwlcaoLAqccfaFkbdG",1.95312,1,1836,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0, 116
"[101]tGjvgFGDHtHifxyJbhzJtpmvaEDLCCJkogzgioKzyrdBCoylnKplJucsAzFxpmlzHcxtlHHBqocJknkcvwfpFKLboIoyGAJxnLcoE",22.7374,22.7374,2824,0.933333,15,1,14,1,1,0,1,1,7,7,3,3,5,4, 117
"[70]rEHGqhalidalrJHEEHBsoKJBpeBEeGpdkHuzoJlGmmBcoKioJnLemAyuatxlbdzxzcAJvl",1972.15,1972.15,3687,1,33,0,33,0,0,0,0,0,30,28,10,8,3,3, 118
"[88]qGiJtecaddDedDqLgeBBalbkjeurbEDrDanhibGIcucgwcvewKDazKucbebpfeeLHcuedtaclcposacefacFkdbG",3.05176,1.02951e+09,4013,0.833333,6,0,5,1,0,0,5,0,843,81,13,7,766,0, 119
"[87]tvHcoKFkovagdzHAAEAHGoJCwHComkcrryzJjzsetDedttkvtCnJJunJEqvBpJGfmKysiivzwiuwKdldnafLplg",7.45058,3.8147,2138,0.909091,11,1,10,2,0,0,0,0,7,6,3,2,2,2, 12
"[102]nCgcziwpHtICekgElhklBmFvlFuukDyAvjLHCuJDxKipJKjficaagnuctcxrglvmgBcrdafEFtAipexkJAbirHoqHimAKJLJLuslnG",7.45058,7.45058,2490,1,8,0,8,0,0,0,0,0,46,34,9,9,18,3, 120
"[115]crgGqkkfwBgJjybcJpkxJwKJcseiwwLeJkfnkhidroCLJnLuFGnCaHDueJtjeJnwvrpyECiplFnnHKneivLvGrClAAwtsuFyicaiukglvxeunkHtbzI",108.42,108.42,3361,1,20,0,20,0,0,0,0,0,95,25,16,2,63,7, 121
"[89]GpIeuJgDwfJHbxpginuHthyoGHcGocJEgqFfKDhhLoLstkAjitwEDgxrIgijnpggooiJkwwGlabBajJAyczLdlzzs",211.758,211.758,2278,1,23,0,23,0,0,0,0,0,1022,81,22,12,77,28, 122
"[84]yyJzsGHoJxopopLHsfdegHoJDgDxcpcgvkEDBubprmwxHDbEuoqeDbwDHkDdchiiqCcuKxwDFeeeKKAoqxwu",1,8.39735e+14,2372,0.5,2,69,1,70,0,0,0,0,6.39897e+08,1.34183e+07,999915,856750,5.35256e+06,927080, 123
"[96]FBGFatkIjnGmEabbFnFEoDkxxlKcuFtEDlkrKEiAaADjbbteCmnjtEFBFlIBbaargDbHmFbGHoJndCwGvuLdiHyHcjecjjyb",1,1,988,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0, 124
"[56]JJJJpErKDkpgecLJfdxeqzKjjErLJLAboJyxaGoCyuhKbJLfofkJdjdH",135.525,135.525,3408,1,21,0,21,0,0,0,0,0,39,17,12,4,12,4, 125
"[11]cpqaobvHGoJ",3.05176,1.5625,2486,1,4,0,4,0,0,0,0,0,6,6,0,0,0,0, 126
"[96]pFvvJHwDsJHoyxwAJoxJBuKHrmLJKLyJoxhLavaKJELBJvJubqhiFJjcGJxeBpqJalycyKrAJKJgElGdjKeJhJJxGoCiyeru",1262.18,1262.18,3707,1,31,0,31,0,0,0,0,0,1353,28,30,6,20,4, 127
"[54]JucccfHcveahcGnjscocbLoKHxxfoJhgcinkboIHyfFfiomgcqpaJH",1,1.33777e+21,1529,0.5,2,74,1,75,0,0,571626,571626,5.95889e+08,1.39587e+07,5.81929e+08,1.3726e+06,1.12135e+07,800976, 128
"[78]zlphnKnsdiGHoJqAoitIxanblJCChbKkhEBLKIeILechuyyupeEuJLlHIvkwfsxiEuKDGKDafFoHBv",3.8147,2.44141,2566,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 129
"[100]GCEGbuucGEwAiEogFswJzJEhrgJibKoaleHJarEDahALskdkGoHpbuDtxthxmACvkqqnlutqdeejjefBLjJLJlJvKJLctuJjLotB",86.7362,1,3399,1,19,0,19,0,0,0,0,0,11,11,2,2,6,6, 13
"[94]gtbJAdhHGoCKfbbJLrdJaLJtwlFDzEGofkHCLsrJxrFobAiJJicnzaddlLJLbeLbJJJikbKJyKJLJniCGaltKoynbpjHkv",807.794,807.794,3104,1,29,0,29,0,0,0,0,0,689,30,8,8,16,10, 130
"[93]asmtJgbJphunJyGdzJfHzzKscuLJKismGjLJHrhLjlhteFeKaJLJJsrJAJJuEhAKmxabtzHJKvJBKJJJJJbJovGdCvpmg",1577.72,1577.72,3635,0.972222,36,2,35,3,0,0,0,0,297,131,77,35,44,20, 131
"[69]wuunbgDtydsmgxpAEiJfsEBdludeaHoJHEaosKHqaqaphILucacdGxafbfeDBapdrtdKa",1,6.31746e+18,1014,0.5,4,117,2,89,30,0,8.56919e+08,8.56919e+08,8.72004e+08,3.01732e+07,8.62953e+08,6.03466e+06,8.56919e+08,3.01908e+06, 132
"[97]bptojmyGtzvFDsgxJDjGHoCKegexzwuvgguGboJHtqirarpAbAhzaLuJKncddFxLGqFyGggBsFKfxwkoHIhvuqjkkIbGqqqlG",9.31323,1,2521,1,9,0,9,0,0,0,0,0,5,5,2,2,2,2, 133
"[77]DdapcpEDtgeakJkDHgeIIEwiveDrEuDohIpDdBaLoslknoaGDcdHmzcpamrinKpfbhkcbEboEgcHq",35873.2,417619,873,0.819444,72,13,59,13,13,0,13,13,35,35,24,11,13,13, 134
"[96]dlbieboeJuaeacedhBvffcfdffeHucadoLtdeaeebcHcFaClJlAKCcnvHrgIlHHIktaoKuccHcocJHpdbeecJpefvHsffadd",5.00521e+15,1.19851e+10,3854,1,161,0,161,0,0,0,0,0,70,70,43,43,48,48, 135
"[114]iaabprnhofrkDqduxrJHGoqmjAkeDsvAlcjKrHhoJLJxoLuqoFGCLajiGvJqydIimGogjAglJJLdtftFfhHddkcLLnFmbbbEIarDxHiHdHbtCyKKiu",135.525,1,2852,1,21,0,21,0,0,0,0,0,12,12,2,2,7,7, 136
"[82]wiJrgJzpdDegJkGJKExrDhcFppgvuwsbIwzkIiiLHipKJKrAFuinnLzJFLnKJsLJFzwJJxtJtuJKosnmCx",330.872,1,3779,1,25,0,25,0,0,0,0,0,15,15,6,6,4,4, 137
"[90]bJABinygxDEwEaamAxhyHoJhoCAeuKHoJALJBoCLnsGCiuHlkfGasDpFGszkubzqkiEuvbFfxqeLdgLicALimihslH",35.5271,3.05176,2712,1,15,0,15,0,0,0,0,0,8,8,3,3,4,4, 138
"[67]GFejGAlerGAHoJoCwKprGHoJkbjsovvAGxlcDjoDtAltyosHoJlngLztfyzGoqhusCc",3851.86,3851.86,2913,1,36,0,36,0,0,0,0,0,31,29,9,8,7,6, 139
"[75]DefJhsEFJEzpBHcroKBbvdfadabaeafcceedadabobLibbxeHcocJGocCscdaFajCCzCCGCJEnj",2.75164e+14,1.76105e+14,4113,1,148,0,148,0,0,0,0,0,495,250,111,110,87,87, 14
"[85]JJfFyGvyktDrsyJgmEzopBDfapEvymgJadKdpuLJlKmxlLHynbifenExBJLaKFvpiylfJcLJxjubftsEEeJsJ",86.7362,1,3336,1,19,0,19,0,0,0,0,0,12,12,3,3,4,4, 140
"[102]HuuqoyHcocJGGCwpunLHhGqxfnLrappvAcBbvnCGnmxhsJbzygtxeJgCJlxIuIiBcjtcleKAKekGvhtaiIpoiJpvdDfhFfuApFbqIp",3.05176,2.44141,846,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 141
"[80]sxcuuypzuoynaHyiibysdldCceonocpKzetcfHcFbDeekahyoFJxyzcHcjbboLocGoEbofxCacGbHpBm",1.5625,9.87103e+18,587,1,1,0,1,0,0,0,0,0,9.9793e+08,7.38963e+07,1.91957e+07,1.63182e+07,1.91884e+07,1.15117e+07, 142
"[99]GourgwgrHcdyAcGDmnAdfzocJqcoGcdCcDdtyIdotxdcdkdijcdzdudbLAFqcCqFeHIivEuDLeaKCkiJbEcyHybhIngijuerzjG",0.01,0.01,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 143
"[78]ytDBymGBanjpAaDJEJeJnkiDjEJKJKJKJJwGCkbtfdmJHJKhFrwphEBcuvLyJmDrzKLJLKeJseLHJJ",413.59,1,3450,1,26,0,26,0,0,0,0,0,16,16,6,6,4,4, 144
"[102]CAjatEDDrdsxAHdweHsuiDliqnssyaroDHnbbEdyjjfbmEyEjtBIijHAwxzjrFvxpbFgiaxwAEhaJfoGlblsHBhvkzHnKpmJnLJnvG",5.96046,1.95312,2532,1,7,0,7,0,0,0,0,0,5,5,1,1,1,1, 145
"[71]JDdmHcBaocJzzjGpqotaGbcdGutkyjcFdhoLqEtFoAalvoAhomKiLDJDshEmlCipjxoeLrB",14.5519,1.95312,2694,1,11,0,11,0,0,0,0,0,6,6,2,2,3,3, 146
"[82]xjjstgotEdoFlmEFlxmkwxhvbzHphebcdAsvwBCcabjfeoLtGwAJfawqHfAdHHsyHeBhledztFDdoeKmhc",1972.15,2465.19,4142,1,33,0,33,0,0,0,0,0,845,203,58,49,66,46, 147
"[103]cDDogtodbysqsGHoJiCjfLobeuIpHwAIhcFqenriIeBgkCignCJFiaJIwmDpHkkmsGwIbtDFABEEzzzsxBAJpCpeHIqKAmpvKJlmcxp",3.05176,3.05176,2508,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 148
"[36]zhcAArmcGbqisDfzrDkpwauHdGHFBroKeqJt",3.8147,1.95312,2539,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 149
