genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeq",3.8147,5.2711e+08,1,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 1
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeL",0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 10
"[94]GuffHdwaCFKrBtmLvBGJlpwLEgwafndbCJCabvjGCwafofCBdDbdweKCihCblucvpcbqFpBeaCabnafvaendaCKCabuaeL",1.76105e+14,1.12707e+14,1219,1,146,0,146,0,0,0,0,0,439,439,193,193,198,198, 100
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeL",7.45058,1,0,1,8,0,8,0,0,0,0,0,53,53,20,20,23,23, 101
"[84]vacfcHdCtbzAqstuwafndbCJCebheLwwafofCKFBdErweCDyLtEbotwwyBeaCabcvafwendaCKxCabjIIjeL",2.15764e+284,5.3743e+14,1011,1,2933,0,2933,0,0,0,0,0,980,980,1012,1012,941,941, 102
"[77]tEffHdwafCrhKrJwafndbCJCabKEwafofCKBdDfdwandqitdLdIarFBeaCqvafwaendaCKCabvaeL",2.28085e+48,4.61649e+13,1051,1,498,0,498,0,0,0,0,0,198,198,149,149,151,151, 103
"[85]jfffHdwaCpgqHlnHlkHeklzBfwafndbCJCablnwafnfCKBdDbdwabetrAHaetCacyxvafwaendCKCabxGyaeL",5.3558e+105,1.89091e+13,868,1,1090,0,1090,0,0,0,0,0,415,415,339,339,336,336, 104
"[98]pGjfffHdwaCIFKvblhqyzAovhKvwafndbCJCabgBhpfwafofaCKxBdgdDJxgsqFbAhDfdFbapfvBeaCoDnafwendaCKCabczeL",1.82468e+48,1.89091e+13,1078,1,497,0,497,0,0,0,0,0,183,183,144,144,170,170, 105
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeL",5.96046,1,0,1,7,0,7,0,0,0,0,0,53,53,20,20,22,22, 106
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafneaCKBdeHdwaendfCILCabyaeBeaCavyafwaendaCKCabyaeL",1,5.2711e+08,1,0.2,5,4,1,4,4,0,8.3256e+08,8.3256e+08,4.40561e+07,4.40561e+07,0,0,8.41369e+08,0, 107
"[85]GufffHdwaCgfztKttGjJwafndbCJCabbfiwafofCKBdvfhciDbdolmDfscdBeaCabtafawaendaCKCabAsaeL",1.12707e+14,2.20131e+14,1156,1,144,0,144,0,0,0,0,0,968,968,389,389,442,442, 108
"[92]ojfffHdwaCKDLfkqkrpBsFtjkBwafndbCJCabxLviwafofaCEBdHdEwenduCyIqnzbxBeaDfbvafwaendaCKCabhtaeL",1.06321e+65,1.03954e+12,1012,1,670,0,670,0,0,0,0,0,248,248,202,202,220,220, 109
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafzaendaCKCabyaeL",3.8147,1.02951e+09,1,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 11
"[88]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeHL",5.96046,1.28689e+09,3,0.888889,9,1,8,1,1,0,4.27943e+08,4.27943e+08,5.75721e+08,1.74244e+08,6.17576e+07,6.17576e+07,7.9401e+07,4.41121e+07, 110
"[86]jfffHdwaCjCLcytAwafndbCJCebumbwafnfaCKBdGxdiaeCfCJpbqHvsIICzrHsEkDaAEafwaendaCKCabwaeL",3.23454e+18,3.69319e+13,811,1,190,0,190,0,0,0,0,0,94,94,45,45,51,51, 111
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCjLCabyaeBeaCabysflaendaCKCabyaeL",3.8147,4.21688e+08,2,1,5,0,5,0,0,0,0,0,4,4,1,1,0,0, 112
"[87]GjfffHdwafndfCICabyafwafndbCJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCmCabyaeL",5.96046,1.02951e+09,1,1,7,0,7,0,0,0,0,0,5.36631e+06,5.36631e+06,894443,894443,1.34149e+06,1.34149e+06, 113
