"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"2",1,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"3",2,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"4",3,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"5",4,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"6",5,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"7",6,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"8",7,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"9",8,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"10",9,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"11",10,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"12",11,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"13",12,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"14",13,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"15",14,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",6,1,94,5,0,5,0,0,0,0,0,3,3,1,1,1,1,1
"16",15,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"17",16,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"18",17,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"19",18,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
"20",19,"[94]GnowyuaJaaHAfbgctDgmmgoHyljirfpusnHFoqKdDlIvjJDEBoJsLJsAGqdKhsepbLzKFbrruspCzxDhwdDguvhoAnLjwf",8,1,94,7,0,7,0,0,0,0,0,5,5,1,1,1,1,1
