"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,0.833333,43,6,0,5,1,0,0,0,0,5,4,1,1,0,0,1
"2",1,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,0.833333,43,6,0,5,1,0,0,0,0,5,4,1,1,0,0,1
"3",2,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",6,1,43,5,0,5,0,0,0,0,0,4,4,1,1,0,0,1
"4",3,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"5",4,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"6",5,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"7",6,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",6,1,43,5,0,5,0,0,0,0,0,4,4,1,1,0,0,1
"8",7,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"9",8,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,0.833333,43,6,0,5,1,0,0,0,0,5,4,1,1,0,0,1
"10",9,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,1,43,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"11",10,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"12",11,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"13",12,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,1,43,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"14",13,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"15",14,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"16",15,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"17",16,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"18",17,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,0.833333,43,6,0,5,1,0,0,0,0,5,4,1,1,0,0,1
"19",18,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",4,1,43,3,0,3,0,0,0,0,0,2,2,1,1,0,0,1
"20",19,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",5,0.833333,43,6,0,5,1,0,0,0,0,5,4,1,1,0,0,1
"21",20,"[43]wEuGExdmAbtzElHDpELbiGfvewmABoKJzsfwGoCtulm",6,1,43,5,0,5,0,0,0,0,0,4,4,1,1,0,0,1
