genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[115]blbDjHighofbfJrlyuoyiemlHnpJpLoccJdaxapLFicGoCAkbKhdaCjqonpfotIjGaHuvwyBBDGAJEIhhtdhDssmLunEgKLdKupmvHBIjJyfnCrLBLI",35.5271,5.96046,2870,1,15,0,15,0,0,0,0,0,66,15,5,4,2,2, 1
"[62]beCFyCFcoauFfjjeFxBobKoyHcpavHloLhbqJCmbodaazfimsEDdFCvryjgxmz","inf",6.65306e+11,2508,1,6721,0,6721,0,0,0,0,0,2269,2269,2245,2245,2207,2207, 10
"[83]azjmtdxhcJKtJtjhzoqnDcJKvpFgrAJpcawxkauyLJuJzkrEJfBLJyrLJbJozLrJytJyjlJdKJuGqBisKgq",135.525,1,3397,1,21,0,21,0,0,0,0,0,14,14,3,3,4,4, 100
"[90]EgcJugaoCuHcEaeoKoqHeEfFHnqqIfaxfwudfzsLgpowcniCgetaeszDgliHaiLApyapJvvHGvhHzAjEodhmgHDffL",1.19851e+10,1.60861e+09,1231,0.846667,150,24,127,24,23,0,23,23,88,84,41,22,22,21, 101
"[100]htEgJsaKEuGjoxjJnfvAmJyfEpbsrJhtglzhJiJbnKJJLcyvDssscBypAqavjhfdiykAwHkDsonmJyJmsJLeJKJhKwGqCKDtyojI",86.7362,86.7362,3219,1,19,0,19,0,0,0,0,0,26,14,8,4,4,2, 102
"[65]FrHaHmoJoCmKpccgtbfBbcpaeJpGxopLEeHoJHqapfuDaoFmIHDmFusvyArfvzoDy",9.09849e+292,4.70687e+19,2469,1,3022,0,3022,0,0,0,0,0,1061,1061,960,960,1001,1001, 103
"[103]nJdsHpnjFKFjzynJDrneEvsyeoeaxzmAxvHJJxcaEJJlKhbdEyBjwclJmBlJLJJfzciJlLipAnJKJKsGdkaqwaJGEKIxenvCECghAmK",86.7362,1,3191,1,19,0,19,0,0,0,0,0,13,13,4,4,2,2, 104
"[95]qbgpCqJDhfgzfkHKnmohJwJvlyJJFputFpckdAcafycBwJEkKxblpjJJLouoGbqDwjxgGHpcLdusHmHgKrirrnhoAxeufhD",35.5271,1,2801,1,15,0,15,0,0,0,0,0,11,11,2,2,2,2, 105
"[85]GuHbiJnbhqgKskEwyiEgyJdxiJszFgbKggEJhkLwjnjkgJsjJJxLruxJLBJEHfqJFzqJKGCGHBpwCaALElEJo",135.525,1,3164,0.956522,23,0,22,1,0,0,0,0,15,15,4,3,4,4, 106
"[89]zyapJHcHoaLEHhiboIDeKJpqIHlgrFLoKvaHbpcGoJHCgjKslhFqhCLikucCzsnJCIyhivIpnicAtFhjHdihrtmGx",2.76933e+39,9.58807e+09,1881,0.766404,762,178,584,178,178,0,178,178,202,202,178,178,382,204, 107
"[84]sfccaspKpeHodopBHrzzleHpAKsctwaoGoIHhiqwJHoqCbHapocstfhLypnEDhKLkfxLFhtvJBILhGGnrfoI",1.39525e+11,4.90909e+09,2309,0.809783,184,35,149,35,35,0,129,129,411,411,134,117,226,111, 108
"[103]GDIyCiuArspdHFgdggcCxgHusvlHtHrCfwgmBpffAELmEuxzLmoncBemeiwxesvbHuplJrwhaKGEykhBcJFFtpFodjJHHxDtzAhwovc",11.6415,11.6415,2603,1,10,0,10,0,0,0,0,0,17,10,5,2,0,0, 109
"[97]kcBnidJccraKccEzcwgGGsGoJccHcciEyqcrEpLooLjpddcEcGazhoqfkxLioIakEtBzcBIrpoxAKalowDzbHsrdapLHCnsEm",5.96046,1,316,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 11
"[99]bJGmKJJJEJeEJKafwbaafuJEJLJnawnBqbyzFKAegblJKnKomskdeJjxgJgvGaHArrqczCjdGnhgeGgmccpyrBdEdzjBAuupIJb",169.407,1,3135,1,22,0,22,0,0,0,0,0,15,15,5,5,2,2, 110
"[99]GECrsrGFAoIJhwlecbsxsyFGeomBattjzaJbGbxKDJdrihwHpBGdmyeoJDnBmJjJHrniFJGBlkABpchhiKurGJJfLBaJhDxmacz",44.4089,1,2833,1,16,0,16,0,0,0,0,0,12,12,2,2,2,2, 111
"[102]tHleBiotvnywEiotpeGHoDagLhCgmbqDGxbhoJEyCFKfzfbminlHjIykFlhcfDEIAswpdypgHghEEFtHzCDejbgbLdrLbcvIyDirIK","inf",2.53794e+12,1765,0.753668,13360,3291,10069,3291,3291,0,3291,3291,3408,3408,3291,3291,6661,3370, 112
"[64]cisEJHmgbmcDfnKHckfjbbbqEfapDsdtnFFIAzpmAhdBeLHqIKBhoeFuAmBbajcf",7.5467e+50,1.49814e+10,2061,0.575635,3464,1470,1994,1470,1470,0,1470,1470,1514,694,906,682,1044,618, 113
"[85]yJlKvbJJtjJBFJagebwrlbwJFHHzHKjJcaJiskdHklzLgGyJeypwoLBznJJrLGtyJFvKmJlKKxJJugokDbGaC",169.407,169.407,3903,1,22,0,22,0,0,0,0,0,57,20,20,6,8,2, 114
"[61]sdmJEHKEJJenosAdwDyaqCCdghdHHvGkcihqJneofGrkgbjdhsowauddbmmJB",11.6415,1,2640,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 115
"[101]BCGrGossIkxKhuErFIKhLCmmgICtDGCjFABhbsoqBHHuvzFKohmtiHrGJLxnGdeoJoGyAAsmqixFscfnaKhbgxJDHHnLonrpLHntG",69.3889,1,2784,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 116
"[78]zgwEJpidFHoqalpJKJJmjltmbcHGoFqxJBwKiDtnBBhypbkJEwdalaobFqnefJxgnBIidFHEdJhsKi",11.6415,11.6415,2659,1,10,0,10,0,0,0,0,0,667,73,215,17,0,0, 117
"[93]cafwAkrHoJmrbnopoqbpekgkziDCvewHGngixmlKzhxArhuzdEpCdHxhzmGsFoFeqEfHyDvKzxavjetALFHamChqhmmDl",807.794,4.76837,1486,1,29,0,29,0,0,0,0,0,22,22,5,5,2,2, 118
"[95]GJmsghzcKAJdshmeJKJBfLohJhFjEibJJLgrwJsdLbJJLnGBhvzyJJEmksJsKJiJlLDkGHCzKnczHbDqAzkkKhJfKHKiegD",264.698,1,3647,1,24,0,24,0,0,0,0,0,16,16,3,3,5,5, 119
"[94]bGHiceuEhFcGDECJEadhazersbBpcacGfJHcoKojHlBDaFCGLKfietdovEizuJhxDrGmEgaJckazBtypijFcjrfreeILiE",2.89782e+07,3.88938e+06,930,0.827586,116,20,96,20,20,0,20,20,62,60,34,16,20,20, 12
"[111]AsbbDExllGdakxGyhJBlFKcAjJBhtJoFjJaGxebJJKJEJHLcxyBJzJfbaiJLEGGddoiJBBtKwJGKhKFJfnxJsGEcCDzuykonFhnmffzDzDJAwgi",169.407,1,3364,1,22,0,22,0,0,0,0,0,15,15,5,5,2,2, 120
"[57]JKeJrtJrJpEzJAzktJKmwrJJLJJJLcxnJKbJKKvxGnlCJrapAIzacuyLp",108.42,1,3286,1,20,0,20,0,0,0,0,0,13,13,5,5,2,2, 121
"[126]HmDiEJahGDAKbKJkkJluuJoEJJKJJAhaomLFJirJJcLJKmFuJKKtGCwvjvwtLqlIxKDLhDgKDDtizzqLbFArmaiqCvmIsLgofcsCxxpmvLefjGcxLIBpiiJjczAKAw",108.42,108.42,3156,1,20,0,20,0,0,0,0,0,26,26,10,10,4,4, 122
"[113]iJoiEpAHcpkoKaHcibdDfFoFeChugtxncoEktpcgDaubvkobgpCILEgDGjtmfxmFEjmIHEdymmlBcDyFGBtBEomjzEugAHCoavtmztkhKogrhpwtl",2.34084e+10,3.3735e+08,1039,0.848684,152,23,129,23,23,0,23,23,82,80,47,26,23,23, 123
"[54]zwsshstrJwBgmBrcKseaJlvovkhhEfhJjAspndnHopwhGnjqJqmJGy",11.6415,1,2628,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 124
"[111]fEaHeqjbaEsfaJpflzpbzjgCdvommDeglyGBgddnjpaaEgEpHubdvDelIwfiqwFqgaaFxEKnjoEiiDwbALpcAdFJLwfnDgnIhFdrHHfocfLHCbl",2.05013e+15,1.74406e+11,1165,0.757377,305,73,231,55,73,19,120,98,211,211,76,76,154,77, 125
