"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"2",1,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"3",2,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",211.758,1,88,23,0,23,0,0,0,0,0,14,14,2,2,7,7,1
"4",3,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"5",4,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"6",5,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.833333,88,6,242,5,243,0,0,0,0,245,4,1,1,2,0,1
"7",6,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"8",7,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.833333,88,6,242,5,243,0,0,0,0,245,4,1,1,2,0,1
"9",8,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.8,88,5,245,4,246,0,0,0,0,247,3,1,1,2,0,1
"10",9,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.833333,88,6,242,5,243,0,0,0,0,245,4,1,1,2,0,1
"11",10,"[88]owHtAiJmFvHFoqKpugmAJLJAfgEBcdopFnLEHoJdGqkLkDhEHEpKxtnryAjkgbjcxFeLdfeIiwojhwCoDwiJCuAB",1,0.833333,88,6,242,5,243,0,0,0,0,245,4,1,1,2,0,1
