genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[88]dwkotAtJmgvHFoqcKnfyjAJLJkcHEBcdopFnLEHoJgGqkLnzElnGrwzzKAjwgHjsepeLdLIjEFjhgrpHmiJCtAwB",211.758,1,3359,1,23,0,23,0,0,0,0,0,14,14,2,2,7,7, 1
"[95]mvHdumuDytwGJkDLgwHvaAwfDqAmHpfLinaEHDpgoxAyiHlGyJbHwiFFGyBGnLCAwHnkpflBfltBoKAxAGegoHczmqinaBa",264.698,211.758,3374,1,24,0,24,0,0,0,0,0,75,74,18,18,37,22, 10
"[74]kFyzajnJAEvvdGHoCDwncCwfbFAyyugamdyKBdyvoHcFJrFDLajnsngGgqiacbJJJLbjGdDBuw",2465.19,2465.19,3395,1,34,0,34,0,0,0,0,0,1327,95,32,28,14,11, 100
"[98]qHifaEjvfajucqqHrgCxtDGFLImpAqbmaepjDsdAKqjIepDbnbqHeIEcydeFcHhfFqmGpDrcbHJhaoHcrFEdobKABoLfjtpnHG",264.698,3.05176,2637,1,24,0,24,0,0,0,0,0,16,16,6,6,2,2, 101
"[101]ifBFFxnbgrgEHEbhznKcGJnLnJnslGCginGzgyvBkpzoJytvGxsIbdzAJdCFGbsdECibyhLqCLzIpLIvrsbBzvKyFAtbcFmoKFkyF",5.96046,1.95312,2574,1,7,0,7,0,0,0,0,0,5,5,1,1,1,1, 102
"[64]AFwrpKidtEvFplHcjlcncwvjoBdiocJCiGkckjsjsHrLhaiEcuikgogwJFKGLcJL",2.44141,1,2143,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 103
"[54]qxHwFGlcspeuJJDBviHHJibKbjvihyJaLoqGAodoBJfxLnHoJoJovG",169.407,1,3549,1,22,0,22,0,0,0,0,0,13,13,2,2,7,7, 104
"[107]dHoJkizaopLGdHrCgFhyuntfeqivpDftJwkKcAxLHFdpowaaxGpzbvJxdmhLsJdibwxKoFIxxwwJCBvxFmJzqyzKGCwkoqfvlAKufDJcHeD",4.86173e+06,2.89782e+07,2898,1,68,0,68,0,0,0,0,0,2035,176,72,51,42,42, 105
"[85]FwwaazazjwtokkztsmpKwsugeljGAAuCftiAjGHcFeyocJnCHLCBdKbFKjcBHaatfAHBFhkhzcDdaotEuhwFl",11.6415,11.6415,1493,1,10,0,10,0,0,0,0,0,35,35,5,5,10,10, 106
"[93]DAsJiztajJmAJyJBraKHhbcxGFebLxoydJceHiyKHwwcfecijlzcFfvLkwhJlywzBsLsKeqJLJJJJfJKJKuGqwEDsyiip",264.698,264.698,3570,1,24,0,24,0,0,0,0,0,70,34,30,12,20,8, 107
"[81]DJtAJHoprzoCKeojdwcqFHKvLxadiqqBdkDlGlfJFzeqadadBfaltsgHDkgErHaehJcEHoCloDnbLJKvG",9.31323,9.31323,2425,0.909091,11,0,10,1,0,0,0,0,27,27,12,9,7,7, 108
