"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"2",1,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"3",2,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"4",3,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"5",4,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"6",5,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"7",6,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",5,1,78,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"8",7,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"9",8,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"10",9,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"11",10,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"12",11,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"13",12,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"14",13,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"15",14,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"16",15,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"17",16,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"18",17,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"19",18,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",5,1,78,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"20",19,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"21",20,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",5,1,78,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"22",21,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"23",22,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"24",23,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"25",24,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",5,1,78,4,0,4,0,0,0,0,0,4,4,0,0,0,0,1
"26",25,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",4,1,78,3,0,3,0,0,0,0,0,3,3,0,0,0,0,1
"27",26,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",2,1,78,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
"28",27,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
"29",28,"[78]AidpcapBanFdGHoJCLosDKdoBsIndmcbznIfvcDuccFlojLkKxhzaCijqFbvLolvfnufHDIIKDEydr",3,1,78,2,0,2,0,0,0,0,0,2,2,0,0,0,0,1
