genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[97]agnuoixztAroypxvwoiHGoJCusLFDkatBonEwGDFwHvHfHiLizyGbckBjGeDqohtgjtmtcdJILltcqGGqHKzgAHCrtsJzeulF",5,3,2651,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 1
"[61]AandsGrrsihfiAEgDzvgBBjyqtIoxrvgJmHoCFjgsvccKaJLuGnqpkkbDtmpq",7,5,2688,1,6,0,6,0,0,0,0,0,8,8,2,2,2,2, 10
"[90]vcCBwkpFxlwjAujdlnarFybfJnzzegGfBJrjgmlDDLstujwCtklztGFlprHIClxEmIdsaeypAmeaEHcnKJDrvxpwGq",7,5,2665,1,6,0,6,0,0,0,0,0,8,8,2,2,1,1, 100
"[95]exdyEBfjHoJoqFKJFLsopGikquxompnpktoaeJfkDJLIvnLmnpbmEJxjwGvDxfIvryKvdJdAydCzdHEjodkAGHCxqLihIDD",7,5,2630,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 101
"[36]gEvukiDgbddGzsBEjyzaHJHcawoKoLtGqjnD",7,7,2606,1,6,0,6,0,0,0,0,0,11,11,4,4,4,2, 102
"[70]jCgcadrKFHyjGoIgEteoIoLyldrHoJHBoKHGxcdaaaEhweiquiJDDvmubKKJhqyIJolHop",106,105,3048,0.857143,147,21,126,21,21,0,117,117,276,276,219,101,117,117, 103
"[24]FeHqoEoJDCJhyHBoKHEfqvIL",502,117,2755,0.769645,929,214,715,214,214,0,214,214,282,282,433,219,214,214, 104
"[105]DvEyHcgcHhzoJrvrdGinDAqAHgpKpLjwjehktGxcmqFdLqeFkBqIqsfwiItxmJmLbaHbIbmjGdCuxjthmlafipJnnLKgsqttLnmGkhlfk",17,13,2699,1,16,0,16,0,0,0,0,0,10,10,2,2,4,4, 105
"[80]irHoJbGqDhdvFvfqnjJgnychitGrIqKmKuswiqhExvKhswpeFpprpjvnqLzkqndkucvgzisBjufwhghA",5,3,2577,1,4,0,4,0,0,0,0,0,8,8,0,0,0,0, 106
"[101]smgoHGoJqicodKkcgycwweDlldppFDsaqoozcfCbgerssBHaBACqghJgIqqBcHqBDpBolznwtgnemaEGxgxKjkiqiIeEkIaFfaLtn",8,6,2653,0.888889,9,1,8,0,1,1,8,4,430,9,5,5,4,1, 107
"[75]pcrcgawjHcocJFEDKguJDnCqvDyhxixlejGDeaHfwApvkypLdxcqftebDAIjuaheGisFkJEycKe",8,8,2802,1,7,0,7,0,0,0,0,0,5,5,1,1,1,1, 108
