"","trial_number","genome","merit","genome_length","seed"
"1",0,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"2",1,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"3",2,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"4",3,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"5",4,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"6",5,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"7",6,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"8",7,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"9",8,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",262144,101,1
"10",9,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"11",10,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"12",11,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"13",12,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"14",13,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"15",14,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
"16",15,"[101]HfuBIlGwAcFzeCcFGFjbgAuildfEcrApBpAdBwhswmEwEyEHctbvpztLxgllgLbBnFfoKCGoeysAfdbhJBnqJAIoHeakccpcLsioA",0,101,1
