"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"2",1,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"3",2,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"4",3,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"5",4,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"6",5,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"7",6,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"8",7,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"9",8,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"10",9,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"11",10,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"12",11,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"13",12,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"14",13,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"15",14,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"16",15,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"17",16,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"18",17,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"19",18,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"20",19,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"21",20,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"22",21,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"23",22,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"24",23,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"25",24,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"26",25,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"27",26,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"28",27,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"29",28,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"30",29,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"31",30,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"32",31,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"33",32,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"34",33,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"35",34,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"36",35,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"37",36,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"38",37,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"39",38,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"40",39,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"41",40,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"42",41,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"43",42,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"44",43,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"45",44,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"46",45,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"47",46,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"48",47,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"49",48,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"50",49,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"51",50,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"52",51,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"53",52,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"54",53,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"55",54,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"56",55,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",1,0.5,86,2,124,1,125,0,0,0,0,124,1,2,0,0,0,1
"57",56,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
"58",57,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",3.05176,1,86,4,0,4,0,0,0,0,0,3,3,1,1,0,0,1
"59",58,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"60",59,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",11.6415,1,86,10,0,10,0,0,0,0,0,8,8,2,2,0,0,1
"61",60,"[86]bHcocJnEjgciqyxqKrtqxtcCGixfmqenLptJmDEdaLlnqBqwzclGKEHqEozpjJpojLDvgiIKcnjCJLxfhJJrcG",4.76837,1,86,6,0,6,0,0,0,0,0,4,4,2,2,0,0,1
