genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[100]GCFijEfolxpcyAoylnafjjjJnhotwEKkDzgvCybFAajyzuobbHwDbqBkoFldDwkEGEAJnJlybHKajaHFJdLJFlJxJwLjJLJJLJJt",69.3889,69.3889,3009,1,18,0,18,0,0,0,0,0,48,27,8,5,16,8, 1
"[90]HoJHBoKBHqabuBwapGICFvKLaHFEqcrFuGtwxCpxxHapAdjlFvfBaldfGByJdvwmjzooqhosEcGaEbrgoiGdddxpxE",5.64123e+29,4.57195e+10,1892,0.788679,530,111,418,112,111,0,111,111,200,200,219,107,111,111, 10
"[96]JtBkcyJqltzapsxhgKckjyxboJHBdmdEbJagymLhpLnnJjJLJjKyJJwbmbEzJamJvFdhpwyGKJarJJxFKJHJKchgHEvGbCmK",330.872,1,3208,1,25,0,25,0,0,0,0,0,72,38,20,10,8,4, 100
"[88]tbfAkJznFKAiaEHDkFzjfxGekHbbhoJoqGHoqLpyvFqruEJmuhdhwoDzDrlsieneAqbFqeooAwslAlkklDfgrstH",86.7362,2.44141,2720,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 101
"[75]oxyDhechJxKJvFuJJJJgoKJJLJJJsLjDBDFcxJndKxzJKvKJJtlGCzmDpokwFqCpnakCviyrfbf",169.407,1,3752,1,22,0,22,0,0,0,0,0,15,15,5,5,2,2, 102
"[108]aJaymkuevGcmshllwacAKJDhdiwErtveJJlhEzJncbpzlwuAJeKgJEgJLJbJJLoazJnDpJfkxqmrFKKbfEGAuFqbuzokjwvqIqimEwFqoCAm",108.42,108.42,3455,1,20,0,20,0,0,0,0,0,156,62,60,22,24,8, 103
"[102]HCskFGFDhFicgCDigmEuixzDAqrtlsaBdcpaJnDyjowbmCEIccvofuyHoJkoCKAouhxFkJJrmtlHnHsfbDKBtFGoKDbEFopLhoJyeG",86.7362,4.76837,2716,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 104
"[93]woAJsHhjKuDaametrryhvHEcEBGpCkhgcCcDIDrJCaurGtcmBIkfixkyupgdrGEKiIJADEaJEsywBxBmLFrbifbzHjLDB",11.6415,5.96046,621,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 105
"[81]HoJnHacElKDnLtxsDEoBDDjFaFJAJeqmvxKAmtsowfwoGyHhoJgoqggLqxeHJBIxoupIEFpGfplhEqtfe",86.7362,1,2718,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 106
"[96]sCgqlviFfCFibdepJAkCrjcyvgGbutnBJtbnCLCAahDKznEBgplmzchHdHdGqcmmlKJrwGgGxlHcoLhcocJgqoiaEIornBio",35873.2,56051.9,3268,0.883333,60,6,53,7,6,0,6,6,35,34,7,7,18,12, 107
"[79]oHdnoFFlsDApmgmxHEoDrKteJnbHltJxtkwwefhHcGqcJFqbIbrkxBBfLEptHqBJrJldpbEFemAhGIo",11.6415,5.96046,2749,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 108
"[126]boBmtszkHjGklEhsbjdJkuKGJuJJGuFwAJJcxmGGbkAjwtowebmiKbwdJxJweitpixBdLJJJLJoryhyuduwkkKJKKumGCEnGyzphrouJCwiwhtIJFcgjLlsJgapEKd",108.42,1,3021,1,20,0,20,0,0,0,0,0,52,17,20,6,8,2, 109
"[66]GnrtKoluvzFsJFdbxdJbJoqoKEigucvBLrpjkbJJeHoJqwGqJdiELDyxokiogrsqfG",69.3889,1,3001,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 11
"[102]bcJpHgABfKJDHejJzzKkbJjunrlLafvJjjcJxJLotJpwznLjBkanEJqogbxcmnCjJkELvGqthsnuLIKAJquLLdatbthFKCmKdebbDJ",211.758,211.758,3330,1,23,0,23,0,0,0,0,0,15,15,3,3,5,5, 110
"[104]byBvJuwjAKjJohuJfrjuaaKJwckLgyJbnuFddBJmrJmtFdLJhfyLmJxjivGmJFiBxELtGHpzmoJCsJyCqfvFwDGHKvBrGsjmbAwfobbs",86.7362,1,3232,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 111
"[102]GgcJDAHKHbdqyttjiormulrKgHxJnJFGbLArvxkJAcdJJmasLidJmxkKdJKmgKJJJtvGqnaapKopbCLckwLqBBGpsGvbrxLgtrowww",211.758,1,3784,1,23,0,23,0,0,0,0,0,16,16,5,5,2,2, 112
"[52]ezKFelGhGcoJkBjFpfvmowzBEryghHroDGBiLHgqqDyHfttaynJl",69.3889,1,2643,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 113
"[100]cdkAnuyHoJBcoqcihKFzJDAqfazdJtnLHyoybjGdJGEJnxrhAGLnneHjFJhlkgltDIfKJDhJJJwshGqyklFvHLqCGJLlvEmbIdaf",807.794,807.794,3286,1,29,0,29,0,0,0,0,0,214,160,51,41,24,13, 114
"[94]gnCEivEsGdbJraKJaBctxnJDxdhcCkLJxeadAJJLdJHaigKJKKvJxakJijJxjhtGqkKrKHyICzoqoyaLBpFzKsiAvicoip",211.758,1,3542,1,23,0,23,0,0,0,0,0,16,16,5,5,2,2, 115
"[65]vlvJnhdGaBHhfvKJJdaEwGJEpLGxmJJlsfKJJBLyztJyFJiwcJLJgGKJKAxGeogqD",86.7362,86.7362,3165,1,19,0,19,0,0,0,0,0,26,26,8,8,4,4, 116
"[73]jdpnauHoJoqDEoffhKvFeHhoigibqwbCDifdattFHbwDgxDmFBIHfoJotfBnnLCtCoEKfFpGB",1.49249e+239,1.28689e+09,1835,0.750762,4919,1226,3693,1226,1226,0,1226,1226,1285,1285,2408,1182,1226,1226, 117
"[107]rJmysGAEFKybJJfJgHHgFDyGBKuxbJmJnehpsgKJJLJiGHmJGnuJLfJFKCfddJKGeFElqrrklDqGABqICyurppKbtwBppjKzdlJgvkusGqA",330.872,1,3452,1,25,0,25,0,0,0,0,0,17,17,6,6,2,2, 118
"[77]bvkrtrbAxhafbmlpJEaJdrKJeyawwJKJBLJGBEvJtjHJmyFLJLEGqrAImgdfGzraLfGtqeoGKnzLb",55.5112,1,2894,1,17,0,17,0,0,0,0,0,11,11,2,2,4,4, 119
"[34]bEmJKvJJpzhzyHDuoHGqJJuhmnyBFnhpuu",11.6415,1,2570,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 12
"[75]JttnddwgpirbKAnGDncicJdniwlawwHJtHHbzJJlpwFywrJEKJJelLJJfexBJuczLkvJHciBEKx",86.7362,1,3274,1,19,0,19,0,0,0,0,0,13,13,4,4,2,2, 120
"[114]HDGoDKFlwveHlnIqAJFHqvhnyztmaKtaAbmEszoHxJwCcnDxuAxhikyKhgaBmKAkjxeEnGzkgggrtrCwKDslnLpJEiEaEEgrICrwftAAdKneLGJtwm",2.89782e+07,1.18695e+07,3701,0.827586,116,20,96,20,20,0,99,96,231,189,100,46,99,59, 121
"[103]GoJhHCkCdswHwzLuunvcKAFnrIKCFJAutbrBFyhxEbGerhxjhrpzGjojbzaivgzfAguKJFckJsJujAjraJjzJKJvsggJHkEfELbrydv",28.4217,1,2590,1,14,0,14,0,0,0,0,0,11,11,2,2,1,1, 122
"[135]JKGJuFgjlrHBhfwiaAuwtEEeJAlxJcJcjyHiBhtJKdgciyEmgGFJGJLJFBEGqKJFKKcJpHopdgBJlACmuzyAgaJtIclitfFDrnaBHpJrrDlwtrmwrfdvzLLHcKBqqmdBjpDkkbJ",169.407,169.407,2947,1,22,0,22,0,0,0,0,0,15,15,5,5,2,2, 123
"[100]edCInBrxBxuACcAAihyoujEDgskKvqeLprImruzdDrzhieexJKljJbefcJilzJcHJsJneexKJtphrrrHAvusfbyxgrJtLJJJLJvG",44.4089,1,3105,1,16,0,16,0,0,0,0,0,12,12,2,2,2,2, 124
