genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[95]uneelHdwaCBoHrzsgwHpoADixlrqwafndbCJCabrbuAKmEwafobaCBdHdkHaFtBDvbAezmrtwDbDyfpExvafndDKCefxeeL",1.18305e+29,1.12707e+14,2411,1,429,0,429,0,0,0,0,0,171,171,110,110,148,148, 1
"[105]ajfffHdwaCqEErcccImFhwafndbCJCebGphmsakdwafnfCKBdgdweDfdCplbvqukmzAGmwHjBblAmBuCAzBeaCacxaffwendaCKCableL",1.18305e+29,3.43955e+14,2376,1,708,0,708,0,0,0,0,0,258,258,226,226,224,224, 10
"[108]ajacHdwaCmrGrleJnHmtxGillpEpxdjrbzrwandbCJCecntFBBwaeofCKBdDcdwCebImALkmcKnJxBycAimmtsgKxvwaendCKCacmspAnaeL",1.18305e+29,7.21326e+13,2523,1,301,0,301,0,0,0,0,0,140,140,79,79,82,82, 100
"[88]sDdfHdwafndaCKCebcdCHwafndbCJCabcBvIwLwafofCKBdlcaDfvFBeaCuoqimvIupJaAfmwgrIIcuguxooafzL",1.18305e+29,4.66146e+16,2189,1,1512,0,1512,0,0,0,0,0,537,537,517,517,458,458, 101
"[98]uwdeHdwaCrHvzoKjmurgIypzBnwandbCJCebJjwaeofeCFGBdDbdqIzsBbJlqpGAEpuxrtCjrljbvsbwaendCKCabkmclFiaeL",1.18305e+29,1.12707e+14,2413,1,649,0,649,0,0,0,0,0,248,248,185,185,216,216, 102
"[93]ofadHdwaCLttdtjbgwafndbCJCabzKmyuaffDkEBdAcdwBxsxradekaBnDbdxuaKBeaCaciIrywendaCKCabkFIhwiBeL",1.18305e+29,1.31209e+15,2072,1,962,0,962,0,0,0,0,0,337,337,291,291,334,334, 103
"[87]GjfffHdwLfndfCICabyafwanndbvJCabyafwafnfaCKBdeHdwaendfCILCabyaeBeaCabyafwaendaCKCabyaeL",1,4.21688e+08,1,0,1,4.49789e+06,0,4.49789e+06,0,0,0,0,0,0,0,0,4.49789e+06,0, 104
"[72]sucfdHdwandbCJCefwaeofCKBdgdDbdBeaCafBHLDELxKufwaendaCKCabELaGzospytwaeL",1.18305e+29,1.42257e+17,2538,1,4066,0,4066,0,0,0,0,0,1388,1388,1321,1321,1357,1357, 105
"[103]dnfbHdwaCAbgheCnwandbCJCebuuwaeobaCKBdDfdweCtJgdcjJbjGLEjJxnpCsfdyuqqaLAIcxHBeaCebEeoDEqwaendaCKCabtaeL",1.18305e+29,9.01658e+13,2363,1,299,0,299,0,0,0,0,0,134,134,72,72,93,93, 106
"[104]vifcdHdwaCEivvirHEivmCEjtsstDxwafndbCJCabwafofCKBdgdjaDfdCefelxGJxxAopFLyFDKkAncFeJuIwafndCKCefdaEaFuafL",1.18305e+29,2.75164e+14,2765,1,1050,0,1050,0,0,0,0,0,346,346,350,350,354,354, 107
"[91]pGtabHdwaCzozLhFqfLmiLBshlwandbCJCefLnmuyhizwaeofCKBdDbdweCtaHnwibDgBeaCafmwaendaCKCebjxaeL",1.18305e+29,2.20131e+14,2432,1,970,0,970,0,0,0,0,0,310,310,337,337,323,323, 108
"[80]cjfffHdDazJtEscGHdwandbCJCefeKwaenfCBdvDfdKDbBeaCabGBHiEulgufsaBwaendaCKCabivaeL",1.18305e+29,1.42257e+17,2718,1,965,0,965,0,0,0,0,0,360,360,306,306,299,299, 109
"[80]vtbafHdwaCKtttADjljKbGwandbCJCebhzcwaeofCweCpKmEBarvvyHeBeaDbfwaendaCKCabibBvaeL",1.18305e+29,2.75164e+14,2450,1,2207,0,2207,0,0,0,0,0,793,793,722,722,692,692, 11
"[106]nffBHdwaClxtGHpzjwvhgAKwidvafndbCJCafHGzrEafDqEKBdoocKxdCbCHHwuvHurDviflaFgwavEmKEdGpkdApvwaendCKCebteiaeL",1.18305e+29,6.71788e+14,2670,1,1243,0,1243,0,0,0,0,0,445,445,415,415,383,383, 110
"[103]xtGHoJqhqJvqIqJfnhBxlmsdIIjIuKfjoquaqspACsDwLqAeFmcALvwutemKftalvqhnyxAguDmCGadjcKzKbmhLIFytvJFnJeBKjhw",3.05176,1.95312,2572,1,4,0,4,0,0,0,0,0,4,4,0,0,0,0, 111
"[100]xifcHdwaCBLHlhtvBKkpwandbCJCebnBzqopHfpovlhGInHBkywaeocaCKABdweDfdClAnnkBsFBeaCabLrCwaendaCKCebqtaeL",1.18305e+29,9.01658e+13,2349,1,741,0,741,0,0,0,0,0,273,273,223,223,245,245, 112
"[91]sCcaHdDahpoJEFbCGbIwandbCJCebfbwafofCKBdDfdwerCtqBnGoktqyKbtvnnBeaaCabjuEafndaDKCafpFKanwpL",1.18305e+29,9.10442e+16,2475,1,3485,0,3485,0,0,0,0,0,1201,1201,1123,1123,1161,1161, 113
"[70]wvfeaHdDanECuEyyHqwafndbDJCebzwJtkofCBduHdcDffBeaDafcukwndaDKCefnbwLfL",1.18305e+29,5.82683e+16,2532,1,2865,0,2865,0,0,0,0,0,975,975,966,966,924,924, 114
"[91]FvdfbHdwaCxxvwklpgjqzJwandbCJCefKCvyivwaeobaCBdKtxDffBeaCabvLnGbojebtKHwaendaCKCebIDqHhFaeL",1.18305e+29,3.43955e+14,2475,1,1355,0,1355,0,0,0,0,0,489,489,421,421,445,445, 115
"[89]oufaHdwaCFtuClwkIncryqwandbCJCebwaeofCKBdDbdweCoEdEqtimmyfobdrBeaCefpxwaendaCKCebdyiItaeL",1.18305e+29,1.40884e+14,2448,1,894,0,894,0,0,0,0,0,320,320,302,302,272,272, 116
"[100]ujfffHdwaCrkjGmjcjCAHCwafndbCJCabHqbnssmAAekutmjdwafnfCKFBdgdBeDfdqvqJweAoEyzuiafwaendaCKCebhbzFsaeL",1.18305e+29,4.61649e+13,2534,1,790,0,790,0,0,0,0,0,295,295,244,244,251,251, 117
"[78]wjfffHdwaCjncwpKtJfwafndbCJCabwafnfCBdgdpFKvDfdBeCabxBKciafwaendaCKCebnGgtuaeL",1.18305e+29,1.51273e+13,2526,1,317,0,317,0,0,0,0,0,131,131,89,89,97,97, 118
"[88]wwaeHdDawvmHuEDtHptgwaendbDJCabssccsqxfofCKBdDfdDKxKmdGhHrteroBeaCabknmBzwaendaCKCafvaeL",1.18305e+29,6.25651e+15,2485,1,334,0,334,0,0,0,0,0,141,141,88,88,105,105, 119
