"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"2",1,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"3",2,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"4",3,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"5",4,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"6",5,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"7",6,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
"8",7,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"9",8,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"10",9,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"11",10,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"12",11,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"13",12,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"14",13,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
"15",14,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"16",15,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"17",16,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"18",17,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"19",18,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"20",19,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"21",20,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"22",21,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"23",22,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"24",23,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"25",24,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"26",25,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"27",26,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
"28",27,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"29",28,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",28978200,0.827586,54,116,20,96,20,20,0,20,20,60,60,36,16,20,20,1
"30",29,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
"31",30,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
"32",31,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",3111510,0.83,54,100,17,83,17,17,0,17,17,56,56,27,10,17,17,1
"33",32,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",110543000,0.830645,54,124,21,103,21,21,0,21,21,64,64,39,18,21,21,1
"34",33,"[54]DitFHwkdBildtmAoGgAxwEoJFHoCxEhvKlyjjFAuHDchoDicqiILHi",269880000,0.858333,54,120,17,103,17,17,0,17,17,70,70,33,16,17,17,1
