genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[54]DioFHwkdBildtmcoGghxwEoJFHoClErvKlyujFAuHDchoDicqiILHi",1.18305e+29,1.10543e+08,2593,0.778388,546,121,425,121,121,0,142,142,238,238,290,148,142,142, 1
"[84]gfltxpjbsppEtsHoDKjDHyDwrBxGAhoJrofAqqkEvfjzhhnaLHLwakwthatovlKqAcnGezwzyfFwoDeCcvHs",11.6415,3.44141,2722,1,10,0,10,0,0,0,0,0,11,11,4,3,0,0, 10
"[83]dEibacHboGBoKqEzfivvoivJiHoCksLaHEgeinEhoDBqscuymmjDwEIaaGnkAeafAlafpvmKAtcdgIApshk",1.18305e+29,5.71494e+10,2517,0.68787,1352,422,930,422,422,0,422,422,346,346,304,304,702,280, 100
"[106]mpaHxjcaspmknFubifzviobcEEvlxHuuxHbEoJnFrfmdckHoqgyKaHhFvxyHBFElHeCyBsfcfuiEbplaikuIoFzpHyBFwELhBjbgapyovz",1.67222e+21,7523.16,1045,0.779487,390,86,304,86,86,0,86,86,131,131,173,87,86,86, 101
"[46]ebrszHEAminKEheJoDhzzJuGqeDwKtvfvnsyrHducwhknl",11.6415,4.8147,2735,1,10,0,10,0,0,0,0,0,29,28,8,8,0,0, 102
"[65]yHhgeHoJFoCafKhGzmaqGGzmDchAhumcDKFDqCKqgJxbeAnteoJatlwvAfvyaGCmq",9.31323,3.8147,2685,0.909091,11,0,10,1,0,0,0,0,8,8,3,2,0,0, 103
"[42]pqtHoJHoqKHggqFILqfxjAgfnplaLxkKKkirramzci",1.18305e+29,8.92959e+10,2944,0.74837,2607,656,1951,656,656,0,656,656,674,674,1278,622,655,655, 104
"[89]tCdoHoJoqsluKGHcyijasnaeFEHblfDlfEjIroJAoyBFfEjlvxlxiKjlGCtsEGzElqfvAwbHcHaznkmBIjgLiEvon",334096,109.42,768,0.833333,84,14,70,14,14,0,31,31,107,107,55,23,31,31, 105
"[97]pJFaHzoqKxBFnGCEyxKHDBzydjeeflyjyofJsgjJlaibhBaabGpJdFgLcuBaGAlsvourHmwJearClKwaHzKCqCLhtwCwwhsHC",9.31323,7.45058,2566,0.909091,11,0,10,1,0,0,0,0,8,8,3,2,0,0, 106
"[106]pAhcHnpJlcaGoqKqdswJIhqbCGouEublgGBzhAdkvDKoqwwAvsovHfDeheteJoBsicDfFdEjqbnLjoFKfwDcobkfhFBBJCqyGEuggzHkBw",11.6415,2.44141,2601,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 107
"[91]txmmivsiAHoJwHlzGnKniHcActHeGmuxlkmJhFBvalmvolEExJzmhHoqKJdJvGdqClKlwvfatzwxpLCydlKBneJmaEj",11.6415,1.5625,2519,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 108
"[108]ttgjHoJoqKbJDAJrHoChvGEiECsmankFrFeIcbjaBIHeqhluAAqgoAoHziygwessvuaxoscCKwiiecJhDgkeeEmKgnqzDeAAmtegyxdswmpA",11.6415,3.05176,2715,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 109
"[103]yfHBoEFhwtcDbyryacrBcgHshGuoJHnvamoCGDplKzbEqaEzoepwitDkgonfmlyckHrfElBfjsvziJccnFLGDLypetpgooKlAxrywHx",807.794,70.3889,2847,1,29,0,29,0,0,0,0,0,127,127,28,25,23,20, 11
"[79]qzAwxEgfFifxwDHGyJHcrocCEAeBBqLezsycDkxoxGKgHJashbrAisDskvhbDhBdgCcjcycbgLjnrsG",18.1899,2.95312,1102,0.933333,15,1,14,2,0,0,0,0,54,48,15,9,3,3, 110
"[84]cykkaekGtnzzHoJgGygqBKCtzzAiFlheAgEfGbAzwFsgzgACktcplbonBvntuzEyInunyKzJnumFhGpzgidz",5.96046,5.96046,2717,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 111
"[94]lzHoJoqeKFvAuAyjpxoLbGyeokHoJCrhwfebqunkuKHwmHCkLscavbmlGbugbsJqhJlfJvotwijKgjwkIhickzwzmrAJeD",11.6415,3.05176,2553,1,10,0,10,0,0,0,0,0,8,8,1,1,1,1, 112
"[93]HoJHrGzaGcoCeDaHhflcfKqjggJGipqrcqeqclBchqyyDthmnueyqAaKAzmbeFHdmCkCKwcwrawDxAfKGvgBbbuAoHccw",11.6415,4.76837,2262,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 113
"[77]CqGsutkagAABfyfuHopKHDtfcHtoJHoqLgHoaqpffpxcIKqnBcbbLurhllhsJjKwcBznFaBhGuiJj",1.18305e+29,5.71494e+10,2127,0.768852,610,141,469,141,141,0,141,141,197,197,141,141,272,131, 114
