"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,9,8,2,2,2,2,1
"2",1,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,10,9,1,1,2,2,1
"3",2,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",16384,1,102,13,0,13,0,0,0,0,0,10,10,2,2,1,1,1
"4",3,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,10,9,1,1,2,2,1
"5",4,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",2048,1,102,10,0,10,0,0,0,0,0,7,7,1,1,2,2,1
"6",5,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,9,8,2,2,2,2,1
"7",6,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",2048,1,102,10,0,10,0,0,0,0,0,7,7,1,1,2,2,1
"8",7,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,9,8,2,2,2,2,1
"9",8,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",4096,0.923077,102,13,0,12,1,0,0,0,0,9,8,2,2,2,2,1
"10",9,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",16384,1,102,13,0,13,0,0,0,0,0,10,10,2,2,1,1,1
"11",10,"[102]hwBgzrEnaznFbGdjsCbkbccedfbzlhEAHoJoqmkfbtijlKkBajGCcuscdhkFnJtyABHffprHGDqFJuzplreLJeJDocbxGiCFjrjmym",16384,1,102,13,0,13,0,0,0,0,0,10,10,2,2,1,1,1
