genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[82]FFAHopwcoJqluhEjLugclKHJvyFEGqsxnjHyJLCszppgolhvrIaxzFcjlwEsvtagIDBkBnLeAqBuIFnkxI",9.31323,4.76837,2567,1,9,0,9,0,0,0,0,0,7,7,2,2,0,0, 1
"[126]xFpJHcGoKHqaCgKKGqsucCpfxfDGhfhEzmfpfmzKtkaLIvjdcKzkrbAeangDJknhlxFLnozzAvyylDqfzKnhALtwldhhjlnfHgcEtiwDtsdxhczbktgamhDwhzypkg",11.6415,3.44141,2710,1,10,0,10,0,0,0,0,0,11,11,4,3,0,0, 10
"[93]onFumErkrybyHurhuFEbnKnlgnrfpbmBzEiHcGocJAaECHlLJlpzBrfKAKoquaFrwEKGyeDFCHmDrdJpxesgpaflEgjjk",11.6415,3.05176,723,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 100
"[84]onzxizmoHHDJuHFreoEBHaocCgKBFyqlewrtAGgBlGdEHchqJDHnLDhCakFkGmmxbqAkFgaoqukmEBgkEBuu",69.3889,70.3889,1517,0.95,20,0,19,1,0,0,0,0,26,26,4,4,10,8, 101
"[103]GiBCgpmKjeiDFhsbjbzstJchLpyrcfekDrcCInbardgClrdfAKrFivtgAHoJoqfKDIDpCJDsbJpbGsisbjhosuibJblgLcvJrfJlgJt",28.4217,9.31323,2656,1,14,0,14,0,0,0,0,0,11,11,2,2,1,1, 102
"[88]loJHoDKGhqAulcJFfdsnBxgoKmuwfapLkunpLpyaHAwndiobBhdnBEumLgzIhmbEzkbeyAdmgsllJKfqdsBpyeqf",11.6415,5.76837,2597,1,10,0,10,0,0,0,0,0,17,17,6,4,0,0, 103
"[83]tzxoBHcocJnGqtCfKFeCKJphFCKzDxIvsxocbaLuKfJqxnfFqbIsFAfFmLvmeGBceDEDonDfoFBcKHIaDHH",11.6415,4.76837,1858,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 104
"[87]gaoivGkfHopKqaJrqwwuzgbyDhCsnApLuaDtHptGIyzwqHkyyCkfkDcljFfnqeflaDqCGtCbrhCffnvmywfaByu",11.6415,3.8147,2686,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 105
"[109]tcGChohKIdsogxIkqlxfvFKeaflskqgfagvFvgggnqdaCwjwwxJlBesDlKmrcHHoJoqxGfxmgptfKvbjngbfdghwwyrJjvxkhaeGDgsArxcEg",9.31323,1.95312,1865,1,9,0,9,0,0,0,0,0,7,7,2,2,0,0, 106
"[68]drvbrmbalytdwgEurzdHuBoKetGrFeHEinJubeDpzhgdJJoglIhlKFgofiqKAuyfzqgg",11.6415,9.31323,2673,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 107
"[71]EzngAyoBsFHcoKJaBEGoagDutzDbEAaDyxliBFjyaqraiDoJxEFnahHFbeJGGlsslLBAFyA",108.42,2,2856,1,20,0,20,0,0,0,0,0,116,55,11,11,10,7, 108
"[107]HoCKEyoDCnkjEHnJJuGqskhsKadbFwqkJvBbfjzaaFFraoGJnAejyzmEApEgHhfuxcClHKhIqDrDJepIgvdkqeBmHGeFrjjoBgpktJzrmig",11.6415,3.8147,2733,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 109
"[107]ioJcHoqmveBKmHCGBkEFpGLIFiwkItuLmefnoDybbnbpLugmjaLqvleJGqIxnHlGLgwBCvqqoGKazfdbwFCFshlAwsstxqwBojoacAeGhmh",11.6415,5.76837,2653,1,10,0,10,0,0,0,0,0,20,20,7,6,0,0, 11
"[98]zEFHnKbArJGbyFnwbCqznlADAFJDAywAbgzhvpwsxgHGqEagzeJjtiyubGccAffddfngiwzbdvgArylnhpuasraHHpCkzaLgve",18.1899,11.6415,2819,1,12,0,12,0,0,0,0,0,9,9,2,2,1,1, 110
"[100]aHcGoEbnacJrgnHnKEqfvEIAwxJnfszGbpdseDFwcbGDoJyylaDAawCCkLyfijBlBoiofgkHnEheqgqhIueHJLAdxcBxGGdcmhEi",11.6415,3.44141,2727,1,10,0,10,0,0,0,0,0,11,11,4,3,0,0, 111
"[99]CjiJCydLumJFEvIujHcoLHjocBbAfprEdqpLlhriKAiszpdHHFrqnEhsbovhBnmHgfdnGaEvGhiCBrggkdxnywGnIjjCqGEIIzB",35.5271,9.31323,1474,0.947368,19,2,18,3,0,0,0,0,14,13,2,1,5,4, 112
"[99]kDJHsrGlshHgtoqdnKtflaouimGmHlGqsFCtmEewmuDxbzhdmziztLyxalaIEDHfnHFpgufvnviIytEneCkdllKjotIorljioCl",11.6415,3.8147,2691,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 113
"[84]fjuHoJoCKwxJFEhGCLHlynwLCFqaoLeHGybfccknAjLwGAKwvgeCDcnudvuIlEEbxGnlhGGrjBiIiKCgCrni",9.31323,4.8147,2655,1,9,0,9,0,0,0,0,0,22,19,8,5,0,0, 114
"[74]FrjmyFEzoJkglHrAoCyoFKgoJczflEEHbGhrboJyHoqwbLDxcHpFubBCjvaJhcsaaHemsyoDwC",264.698,55.5112,2816,1,24,0,24,0,0,0,0,0,18,18,4,4,2,2, 115
"[105]tahhdHoJaodEoqDtakeEKqCfHKmlHBoChuAhwGlcdheytsHldhFkkzsfidEHAhGoFaqLaKKlbGfiieLyfHDtrdrFwajmbKbuybfhzmFwJ",11754.9,516.988,2943,1,41,0,41,0,0,0,0,0,28,28,10,10,3,3, 116
"[92]HFHhoJaHBvsxswamcgoKfxhBGbnppaBeEkCefgcLmjxubsLeJHtHKCExAkDiLlkyfwisfpojEcpbtIlLqHLJeFIldyoH",11.6415,9.31323,1266,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 117
"[108]qolaHlwszHGvcFvoJieHmweBjyocqkBcEKunlGkwlDpfbiJmymouFqvpooHnruCEGFJqssgCunzfccBHcFrkpewoLpnycEhAsGtzFcHhvFci",70064.9,2.44141,649,1,49,0,49,0,0,0,0,0,31,31,11,11,7,7, 118
"[104]wHoCKjnGkjHlnwGCJqaIqkvanLqklgwpEznIbkfrckvIDADxqyapFvBGwkIuxxDLHfoAKbgrvaujiygtiwoFfJFqxtkdfFKhfrsHtcxg",11.6415,3.8147,2769,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 119
"[75]DJHoqKGzbgulnDJmGmzHoqLCDtspKkgJsFBvqLrvxtafCLkCEEJhipGtjKuoJxiJdDcKnfIEsBj",69.3889,2.44141,2926,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 12
"[97]ciFyngioAjogtgjormahxdHHBwlflafaoKHwopnsFhkwEirgGqmBfJfDCovoerKJqekvfdKJoIFmpgpvymEexvjCpDEvCzwgz",11.6415,10.3132,2421,1,10,0,10,0,0,0,0,0,16,16,5,4,0,0, 120
"[94]yxHzoJynoCKFEJlrJfEGCoLksddEuHiHLhnbEvIJvGbBJyIiLBrjtkxEuamBbpzLvJJImltcGGwgAxiuFnnkaGqhppxpDE",11.6415,4.05176,970,1,10,0,10,0,0,0,0,0,16,14,4,3,0,0, 121
"[134]BjoJrHnKsHGeqFCoKsHKozBspuGqzjzbjevcJerlArphAqJGBKsBwathzGIzIdjkumGLqhcnAHqKhmKeaAuIsELzGCGmgCHGnifvLffqbeFDDpdbFhilaGCKeDtnhrbExeizuw",11.6415,2.44141,2768,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 122
"[44]BFdeaDwkHwnKztGHqJedGFCkEovAkDmoLfhyljGyLcsa",11.6415,3.8147,2717,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 123
"[110]etzBhadHnKJszHcuoKBJAsnHBoLGygfBGqvaCqCDvfCCEgdhFluxorErFscfLgBvnufwpactcsebzHfiBabqblfcvqpdumBLHIzqfahzswJfxo",264.698,22.7374,2868,1,24,0,24,0,0,0,0,0,18,18,4,4,2,2, 124
"[106]rFxlhHcoKGqhmbhflcJfxvFqKgGqvLAezHlLHfqrcpelvBdFHgfqCjikDmlqiqrxaFdjvqItizuIjHlokLvherLJLFKjJCvmukojmaGxCj",11.6415,4.76837,1211,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 125
"[82]bxmifHhGHeoJHoCiyDGoeKlcCLCeDtaGsesFtnruacBkkJFmtdHcIlzLvmhDArzBDthaymwpDpKldpbjgd",86.7362,4.76837,2880,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 126
"[109]aHGminKHnaJqHIzvyJcfodEdmLqKCumjBoEABajgezHwfEwnEJeKmKvzyweofaeptImlbcelICkdHLBspFhcEkuGLleEaicpnEkEKpoKIfacg",11.6415,4.8147,2708,1,10,0,10,0,0,0,0,0,12,12,5,4,0,0, 127
"[84]rowdqqtxyqjykJpgkwFKBhvqFypEjtDCavggAvDGiuAxHpJzEavkKwdHoJoCkmejyhxKhAFEuauEzwfaAGHh",11.6415,3.8147,2153,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 128
"[90]xyoCAeKntmpxlxjGHoJqbAtLALvHkrCFuflvcpoBgGArtnKqIKctDtyoahglJdsxpzIHxcDhrwCcBDstKiorqbGJzi",5.96046,6.96046,2585,1,7,0,7,0,0,0,0,0,30,30,5,5,0,0, 129
"[115]yFaowBpxidrxEiHGoDnKCeCLdicFkhoJqsHaBfpAGgcLodLsaEzbmBegLplpFtvttLycGokpzjrILoBAvJLeCsyewrucsdseuoetCrDJiwmsaCwwhnk",11.6415,5.76837,2680,1,10,0,10,0,0,0,0,0,14,14,4,3,0,0, 13
"[113]iojeExjHhGoJzgoCKChAJehhlitfubalqGsBviuBBqimcosGywKqIhxEnCbHIpzFCHCHibGFJwCafobLzDxLFuvqlCHGLDoBLIkprmotAtDuaEsqD",11.6415,4.76837,2675,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 130
"[105]nHBlovmopbJqaKrGmcpnGhtsEFmGHwcinJHoCLqptomthJldbJxAeFwgEgmmLAqlEbEtoApefjpmtJzJKzksGvnyKLKhDECjdkbohGrhF",69.3889,2.44141,2799,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 131
"[79]udplHBgnHcocJrocCBwlKnGzmpIcdwEaDvILqCgtKKduJpmlbcBiHnKdroGpfgFgHgFGoJCgqwkguhm",11.6415,4.76837,2525,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 132
"[65]uHoJwBFBoCKvubbGwxGeczEeHhkxEDFztCeKrGfuFrLBxBjIritlJLBnAkkstAEjy",11.6415,1,2377,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 133
"[72]dcGznxaucnHhAoJgnGoqDifgKymGfpIoCkpKEDsKpILhAyqbeLzbzgpmmemhiLrACFumFbvI",86.7362,15.5519,3023,1,19,0,19,0,0,0,0,0,104,104,14,14,36,28, 134
"[100]aznpyrFbzHBlHcoyoKEJCvftjjdzfInrtesJBxGCskgaxKaAwxbIuEAhrEmfeuLsbwDoIJgtvmoKbshJvvonyvyarjDGbbAgyHKo",7.45058,3.44141,2554,0.909091,11,1,10,2,0,0,0,0,34,26,11,7,0,0, 135
"[85]yirHopKhoJGqEqxBxnbDHwCGaqxaAoLbnjpvztphzgKgJljkkDJIHdywklfGkLAnjlxKxiopbjbFvfdoIodnc",11.6415,3.8147,2680,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 136
"[101]ElxvEHvEtlGHFoDsugKnuhoJdGxzFFCElKqAplmKhgrfrsygJurDgeIFjlxlmbsFjpFeaacoKDiuycejHHqoochnKddlraulIhntL",11.6415,3.44141,2581,1,10,0,10,0,0,0,0,0,15,15,7,5,0,0, 137
"[100]nHoJoAAEoqtHaDfDAoGdfoHmDcnDJbiCcEFeHsysKbkFAutoJndyGHpBqaKqmImfEeeuGqHeuKgKvsEgHlkfKkDymtfLDBouKriw",11.6415,3.05176,2653,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 138
"[71]dgErHbGoDaKhoJdncqqfLoaIEinFaHHgdtbpClJsuaFGvgpvBABlFsGxExCLpClKKahkBbj",11.6415,10.3132,2664,1,10,0,10,0,0,0,0,0,16,16,5,4,0,0, 139
"[84]bHoJgoqKntoJAHEoqaLoxyhGChjKkmlqyoLJtegpFCgtFDhobdphHpoBtHxJvchEFqxGBxLnkJkCvxhqssqJ",86.7362,1,3128,1,19,0,19,0,0,0,0,0,13,13,2,2,4,4, 14
"[65]bvGdDeCsDJEkybgFhwtgykgtezHBoKoaursEuhzrHcbmFoyGqHJiylbcFijeEjIGi",11.6415,3.8147,2544,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 140
"[102]onpJBozhusgFGHHnKfbHCayyyAqJmqvoKDHiwHpBCmlawgLjIgpAgKtrnHAEhrmwemHrDHvAhdbpirDElfdqjFDHCqdqKojAEEllGo",11.6415,4.76837,2616,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 141
"[101]lEakwHhicGoJDAcClohcdCrAHturGFdCBdpLKEhiiakmnmdzbrkybkHCLDhCJvJdiLimhjydzsxroDrqsrLGuzxqdmoeirpJupool",28.4217,6.96046,1490,1,14,0,14,0,0,0,0,0,16,16,3,3,2,2, 142
"[96]uHoJlaoqKgshmiyGchwxjFvtwczztoppdLHckjcGoFrqJCqlEgfavhGAHIAapbduLamzJGkguKAEqLtiEInGhConCGneCdsk",86.7362,5.96046,1079,0.952381,21,0,20,1,0,0,0,0,13,13,3,3,5,4, 143
"[79]GovlimuAietmHdnxlcAHFoJCaKptevaqoiKbDpHCHyaHJJaihrqgGHhBpGFxCfdzxevzbHBzwsakGya",9.31323,4.8147,2521,0.909091,11,0,10,1,0,0,0,0,30,30,14,9,0,0, 144
"[102]qxnuxHDJFDDGAHctkFkocCKwEDFLbaviBadnwnFsFKkHeBmLraxcHpGzBhGCKufrrufkygegDFztggHvAFuqmqsibmlBFFHsHEkxdL",11.6415,3.44141,2605,1,10,0,10,0,0,0,0,0,25,25,9,6,0,0, 145
"[107]yGHoJoqDuEwdaKcdcbGllEhmtBejazbjcCecHCcvkAwtIpxxDAAsaGwfmICLvKFwvceaHcKsLkiiJhoeoqGomgJemIlrIjcntCvExmaFgEA",11.6415,3.05176,2541,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 146
"[110]HHHobfJcGocoqBKhGqwdBkvDeEoDnCvxloifEseqJFxDcbodpaJibFczljawxqdsLhAnbLxAtEGdaBidojukpjeDJjcaakzprmELkfpKxgglFm",11.6415,5.96046,2717,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 147
"[63]lpgbHHbBwcueGoKbGjbgdGsAhHFdhobeJCCwcsIytgHCArCLCmcfIylBqpHCduu",11.6415,4.05176,2708,1,10,0,10,0,0,0,0,0,12,12,6,4,0,0, 148
"[80]lFJHcoKzmsbJoHoqmoffeGnaKcJJvyinugGqkqnzBfchkJmfucBfepdCDseseCButBIvKiyoLcpmwtdx",11.6415,3.8147,2824,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 149
"[73]HgGmoJoHqBDsKjHmdAxyfveCgjlhlxpBLoDFBdrBfwdmncGFwmlEhxcsiaHAwIjcyzAljHKie",5.96046,6.96046,2621,1,7,0,7,0,0,0,0,0,24,24,4,4,0,0, 15
"[102]arAavsAcluEHoDKDzFmEcxFGhoJqAgyJFkChLFpbdhIEmcGsBrwreJpfgjxIunJgmgcqGExDdxjpdzaiFJvEgfBtIEeqepGlugbqKF",11.6415,2.44141,2655,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 150
"[63]tiGEaDceknyjukbnhvoJsnjeivlmboAGeckfEkHoDarKlDEpckyjyvasEbGCspg",11.6415,5.76837,2629,1,10,0,10,0,0,0,0,0,18,18,7,5,0,0, 151
"[86]ysbHoJgcDwGHmymqKAAfHcqDGpClExbwtsrByIvgalnGigfgBnCcxzBoghFlyExEscubztHlyzEnGkrHBhlxrf",11.6415,2.44141,2654,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 152
"[87]kgbulkHhGoJHnmoCBKqJghJLACvEneAjCfJmbAGaGKfowtpIkKHsIgxqrqHEuBhzFdsbCsiKxfxwwwvlJbsLzav",28.4217,3.44141,2734,1,14,0,14,0,0,0,0,0,14,14,4,3,1,1, 153
