"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","did_repro","seed"
"1",0,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"2",1,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",3.8147,0.857143,88,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"3",2,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",3.8147,0.857143,88,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"4",3,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"5",4,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"6",5,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",9.31323,0.909091,88,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"7",6,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"8",7,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",9.31323,0.909091,88,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"9",8,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",3.8147,0.857143,88,7,0,6,1,0,0,0,0,4,4,3,2,0,0,"True",1
"10",9,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",9.31323,0.909091,88,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"11",10,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",9.31323,0.909091,88,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"12",11,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"13",12,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"14",13,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"15",14,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",9.31323,0.909091,88,11,0,10,1,0,0,0,0,8,8,3,2,0,0,"True",1
"16",15,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"17",16,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"18",17,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"19",18,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"20",19,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"21",20,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",2.44141,0.8,88,5,0,4,1,0,0,0,0,3,3,2,1,0,0,"True",1
"22",21,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"23",22,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
"24",23,"[88]DokxlBhHcoKBoJHEiqrGndvGBCtBpBllwdauqAEysctFlEbetCJoivFpcupGslGylczvmmArhKgtAKjEcGHnJFbv",4.76837,0.875,88,8,0,7,1,0,0,0,0,6,6,2,1,0,0,"True",1
