genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[92]GsHoJoqDHjBEkmifKbGGiequFDvzGnAlKHlCnsfrAaDKczpthynqfojkCxBhovjwtBxdJJFIodxqCkAfoKpLnhjttImB",5.96046,3.05176,2585,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 1
"[119]FAhtHoJoqDknotFjKihHiqszcIeEBFyBjLqmBLECJKrzLgAerdCCjmlKozFCdgeAkycKzjgvKclhjpiafFBHKpkKxxuoqxyHaiuEfBrwcAbfbIytrobjiEC",807.794,35.5271,2531,0.871795,39,5,34,5,5,0,5,5,25,25,10,5,4,4, 10
"[108]fgqxHoJoqogmiKfpgeHhoCaztGqotutuzqslpCBnfmdiGmoiuyAkwBHjolvusFKqKysteraEtzgCqiCJdmtAerAfKtqlxEgIhyfJiDeCxDyl",11.6415,5.76837,2591,1,10,0,10,0,0,0,0,0,14,14,4,3,0,0, 100
"[84]kjHoJoqKkGsxbxlHmclhoJrwmiuaFEGqvaHKowpgheefLGJakxuFubvHnwwxcBzGxuibbkwIFeIAhehknmru",11.6415,5.76837,2558,1,10,0,10,0,0,0,0,0,12,12,4,4,0,0, 101
"[105]lckaHoloJnKJDHnLomcwmFGoCsxHHrBFljCCnKLzfAkADzvABAclnKwruGKDyAnbHmybmGcjruwIdklcigJckqhrpggKIwbqncBBwuJvc",69.3889,1,3030,0.95,20,0,19,1,0,0,0,0,13,13,2,2,5,4, 102
"[112]mHoCKgssjoesHbEGeoJnqHbhupDiHmrfEreywysayqqlvwfIisizlspdAvEHHlABoBpHBkhFdukDJnKjakdcFwtbvAqwuqtdbLDaxysKqdbennmd",5.96046,4.05176,2608,1,7,0,7,0,0,0,0,0,24,24,5,5,0,0, 103
"[102]dphDJHnmrBBeeoznzAgoKihBcErzDjuayipiffoByvsJjwFwDBdvathmymGpmjfhfjgeHcFmCFpIipwrhfobkfacaiFyLlJdibkLab",11.6415,9.31323,2064,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 104
"[102]btpJAHmawFsFoDKHffqfsyinqzJjfEeJBicDGrFAtfupvioBzqnBBCepEkAmubsHFlaEmpepvKzgyngojBkJzzHbgtAbbIxtDvBldc",11.6415,2.44141,2280,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 105
"[103]CAejcuHeAHdGmbhghIavgrieeroDkogFrEsILKgocfgldhrnsuIkqAotGHgaoJlqfKCAgeGdGvzgfjAawBgKbLvbFIIGEsInHdapmyf",5.96046,4.05176,2590,1,7,0,7,0,0,0,0,0,15,15,3,3,0,0, 106
"[113]voxuHcAovoKcodzGHcrdqznblAcJCLmflchCFmKkxHqLDIzggFImfkryFkkgzxCEwsGouykFzhvnAlnsEtbibAcuAddgsxHpfwkrnbaIoajsxsppk",11.6415,3.44141,707,1,10,0,10,0,0,0,0,0,11,11,4,3,0,0, 107
"[97]pJeHoqKuFxuvFAettHGmiqnlJCuCvHrdjljxFliIxjgpsIjBfBHmnCFcJLDKzeJfmdydgaeiqxFdqnhAlkvomiyAAGpFryFzk",5.96046,3.05176,2578,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 108
"[95]yzepplihwHhoJGeFHoCKgpIDhgnotjhawCefFwzuxLljFdjwjkLnsnciCDCyssekoigvlEGkxnmuAcrKxkgKmlxEdAbtbIs",11.6415,3.44141,2712,1,10,0,10,0,0,0,0,0,11,11,4,3,0,0, 109
"[109]GHcoKEaGBgweuwGHqsJFCCnzanKFuciDujzhHwecvmgsmBcIAbzJwFewozByIHkucpGuxijcHcbnsAofEiAfdpsvJGxtEJqIJhHGmbFkIbzGn",11.6415,2.44141,2650,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 11
"[102]gjtHoJoqtFKJEGfqJetklqlxzvwFECwkzykvtEHqiCtsyrhDyeucwiHpAscuKCntzCDezcHClypywJCzJuiucEkivycHfufavhnlBm",9.31323,3.8147,2639,1,9,0,9,0,0,0,0,0,7,7,2,2,0,0, 110
"[104]hfklHfDEHoeKgnpJArqfItwrLgmHxfpCDgHoJxkwHiwuhdFybqqvnJaynoiDrGpmCmyusfLzClanqtgKcLikdFJlhbnxjfpqEkGGutzm",2.36364e+13,9403.95,2257,0.807175,223,43,180,43,43,0,43,43,95,95,86,43,42,42, 111
"[86]jrnjdAHDwohoJGHoqyzKiqCqcblygEofsAwfydasCneIzuKLDgHiLkJImsfdLoysCKupyqvjFdgFpLpLLgKAdK",11.6415,2.44141,2550,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 112
"[76]HGGlnuwhmloJGgHoCGKqnElhuBrDJaCdkbwbuxErDspxokrDoCsmqlwibDkCkzlpLpqqpugfGvaC",11.6415,2.44141,2711,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 113
"[107]ftHoJoCKsFJEGCFrnziGwdjiHcatjqkcGdmIsIrCsbEGIDkDCchcdxIsqgGrkhEehqCHhGBljpjhgDoKeGFwttLLGkhnHiGbyyvstqgwDlE",9.31323,2.95312,2560,1,9,0,9,0,0,0,0,0,11,10,4,3,0,0, 114
