genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[132]DoJGHquplIaovaxxoKDoBuGpJeleLeCKyllryEzovFvsIIDDcozavorlfBqhFpudbLliLLmolImkogeHbHqFtDkJmdkjcuvqDyeayeBetijGmdDtuzIxuEwrCFdhFqwEqllL",2.44141,1,2605,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 1
"[73]HlEsoubevHltnKmJxxeoDwGCAaIhjGxazkFigonGlyJCcextuAjiHxlFdbyKDbrupCChfiblm",3.05176,2.95312,2629,1,4,0,4,0,0,0,0,0,7,7,3,3,0,0, 10
"[98]JieHoJFcDtdeEGqnoxomKmoLrJivvvawFqcuKmscDyJdkbmKGAGKkIrenoemfkxFJpykcyKqkBwhbaepriKljFldehkwvGqvIf",9.31323,2.44141,2696,1,9,0,9,0,0,0,0,0,5,5,2,2,2,2, 100
"[70]foJGGzehrHqfDzBiGqFaJLtmAeebIzIDBaFdGjKkCpuulnDBkxddfdrzJqyDwnagqnfCBp",2.44141,2.5625,2534,1,3,0,3,0,0,0,0,0,6,6,0,0,0,0, 101
"[84]gfHoJroqExhrvtjgKohxhGoJHoqLCGbzegqbjowkJCekAzrtEmptJakueotDtjJJlHrusKAHIfkCwAnFFbsf",9.31323,4.8147,2630,1,9,0,9,0,0,0,0,0,10,10,2,2,4,3, 102
"[88]aoJHGoqymbkBxzmrKDhuCnulkLdDJnaoKoiBnEGtvfKIglbuHhzotqAtdsoajIdpAjFquzlBmaCoEhmzjhKtDamK",3.05176,1.95312,2612,1,4,0,4,0,0,0,0,0,3,3,1,1,0,0, 103
"[124]JiBHoCKLJfjvoykzfGCeEubezGveubcDsCFDaAJuirHiaFhGhLLBjbshwIzEIIiguyslEmhHLfmjyKKnqLEKsCexjxAbncbjLeAdcbtswqIDptHpbvIDCruncxoB",4.76837,2,2560,1,6,0,6,0,0,0,0,0,171,4,1,1,1,1, 104
"[105]pKJHlGqbuFCqozHrqwwioeHntpbvFlzehjemmvEKAJzGIuyvFgclffqnCsHJaAmzsmdEygyxaabxlrEAhbletsfbcclbGHFrpasHuzFId",3.05176,2.95312,2620,1,4,0,4,0,0,0,0,0,9,9,1,1,0,0, 105
"[111]uoJGHqBxmvyKuLDbFbjABlLlrLcKxhKcdovLHIatIlokgyKpgbeGdgiLDzforggCnBExnIwjKwdbbcwduefBLFHplimrGkJCaKeerrvlrhCAJCH",2.44141,2.44141,2599,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 106
"[82]vzrHAoJoqvKFxmLGwBsijpHCnoqCeawwdkpDLDkoHfjvavjvGbDviGvoLklKiawieqxqvFkqhbeoIJbsiG",3.8147,1.95312,2637,1,5,0,5,0,0,0,0,0,3,3,1,1,1,1, 107
