genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[89]BDefAaxhneiGietHnKHovbqJqduKhCGpvweJhKhCKHuKLAmctkzflCdsxAnauhbknazIFeLqljGjHIEqexCKGJcnt",1.18305e+29,9.01658e+13,2960,0.771388,713,163,550,163,163,0,163,163,214,214,336,173,163,163, 1
"[83]iFufHeHoJoqKyBbaioEvAonwGHHzoJqaGpeaAwgacmkpIwjGgFsFCnjsFdsxClvkChvyguIeKybEmmjgccg",11.6415,6.96046,2596,1,10,0,10,0,0,0,0,0,22,22,5,5,0,0, 10
"[82]mHcodcKplhpqiAbHcidmloJHmqujnBzAtzsIioyhhhnLfyqwoBmqHnAhmndpfxtopumuueyvtxunGkvmbm",1.18305e+29,2.92605e+10,1836,0.769531,1280,294,985,295,294,0,294,294,389,389,597,302,294,294, 100
"[115]DEHGBoKGqJidCahAIlAhLFjhasiEBjcjvsDGpxLkcIBjIGqyfgzxutdsbbgnhebJFAJoyhxDGhkvaHlbJrbicksdutHbpHpkGcKJHtldgpDgjvEJfBl",11.6415,4.76837,2699,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 101
"[104]hoCyemKsGGeGsdotEGHoJqenLjCjGHlrkoBylELBjadimxeJwkgtLrebeLFGjLonymEJzwvcyIhmefLjxDDzKLzpqgcakxKtxEouishH",5.96046,5.96046,2697,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 102
"[80]sesrrphnbmhilyzDinriviDaCFijAGsvHcgoKycdAgcJoHqLltGmgqDDfuEoDLJdnFHnnyjsDmfAHLDB",69.3889,19.1899,2372,1,18,0,18,0,0,0,0,0,31,31,5,5,6,6, 103
"[99]nCvFitrEzHGAgicDnAJkHieoDwcDJiqIgnGtncitKAEDEhjpbpELygxyDAqjbzueDcnIFytDwplbBFInDDpidCbbAAFlboJdlHG",5.96046,2.44141,2652,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 104
"[92]HfybaEHoJoqKjflAokcsoIFkceEoJGHqrDImbvhkyhpzwxAyLAeddcywnymcAqlcGHDdHEbIDfrjyxgxJLthvcoFrrke",11.6415,2,2663,1,10,0,10,0,0,0,0,0,298,14,4,3,0,0, 105
"[117]txvfCKCBdAknDdnpBlxywJtogffEiECrGGBFJjFcuFDhegaGzhrrbejimEIIiyfauhjElwauthEAqqJokaGBqnrcFocixetbHfvdgcgeGoeKgGHoaJcsH",11.6415,3.8147,2691,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 106
"[40]FoGDeenvjtgeleuHyoJHoqKHiqIgwcCekisfFsLc",1.18305e+29,1.04967e+15,2725,0.761441,1027,245,782,245,245,0,245,245,298,298,484,239,245,245, 107
