genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[83]BoJHnxmqssBhKFwxwHnLJnndGHCkesDeHzLfedxgEbxntLDAbDuIccHvuasKxgnxAvmFaAbrvgCGgcrCgag",7.45058,1,2593,1,8,0,8,0,0,0,0,0,5,5,1,1,2,2, 1
"[84]jfocortHroJoCafuekysAKucwLemFGkgJuGwnsbGagqGaCvhzHtpmrsaAJBfmfDEHapudamwmwabxsajDnJs",4.76837,2.44141,2591,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 10
"[110]vkJzzAAGCAxbblKxgoHFphBHCfJJedayBvkqAvrmemaKJBKtFAaxpBDuJaJgfieuqphFfFKxDaJkAjLiFgmAfqJjzmEpbdjDrzeBkJEysFrAuA",2.44141,1.5625,2577,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 100
"[84]EBjbwuHnKtuJpisGqFCskEtFIBADyzqmApgytfccyjlbivsCvhKCEvjDpcpxvngmfniDzblBfdAFrgKbewwG",3.05176,1.95312,2594,1,4,0,4,0,0,0,0,0,3,3,1,1,0,0, 101
"[94]sgubGxcGoJHcoEoKgzzihfEqfmcLBmCmnxBdhtBqyJardomHFuyhFpccrltIkoEmBhFjhDorryFgLDoKkkxcjrhbesAyCz",7.45058,3.8147,2720,1,8,0,8,0,0,0,0,0,5,5,2,2,1,1, 102
"[88]moJGHquqecincotfmpenaDFmbsLflfrazcjzCceGufnGxeesLeELnhnbdLxnmeitKepwbphqvHFstltmwGALugAb",2.44141,2,2588,1,3,0,3,0,0,0,0,0,305,4,0,0,0,0, 103
"[83]cBgHFhzgndBcnAganHoJGqflKoLjiBakhvcHqgcnJleLLbBFfsgodlmyGuuLdfcDIjKpgugzqczleuqasiA",5.96046,3.05176,2626,1,7,0,7,0,0,0,0,0,4,4,2,2,1,1, 104
"[93]zbGoJHqHEqAwIHrtgepCqFEwAvJowupIDztsuafvAjvhnKvAswuvJadDhGCiluKtjsjochxHdqCunEgnybapIEFugicFF",2.44141,1.5625,2590,1,3,0,3,0,0,0,0,0,3,3,0,0,0,0, 105
"[110]xxgHgrrnKoyeJxnLtGqFCGfwyKnnGvJAitydJmIssbkyaDqtHdnfvminlufBwvubuoDuEeBcxKymAFnLwilwxcdamsbqlEHFajcxzHmHbFCmta",3.8147,1.95312,2643,1,5,0,5,0,0,0,0,0,3,3,1,1,1,1, 106
"[72]etvdmfsgcuFtgvffretGAsctfHoJoCADijKyaAErDoGndpGcaxtrwFnFaClKuwllesphkfhL",9.31323,10.3132,2606,1,9,0,9,0,0,0,0,0,12,12,2,2,4,4, 107
"[95]FtFnJHmoCDDKxflcisoFGFLEdrGJAHDsgCireenkhiciBypokDmxszKzjLuhCLbCJynlakfyjHBIuqckqqLgaeIumkHqoHd",7.45058,3.05176,2597,1,8,0,8,0,0,0,0,0,4,4,2,2,2,2, 108
"[96]zpJgFHlnKnxGCpeuiIzdIInFnLLDHCJfhjkpexxbrFiEsCijeKqsimxktIbzIlwvHLaHkcrhqvhEIleEsJBGyCAsixzvvmvD",3.05176,1.5625,2568,1,4,0,4,0,0,0,0,0,3,3,1,1,0,0, 109
"[98]HjuneBcAmAuDBJbriHHwFoCKLwGjqetfBnpfjBKpznaGoEelBFttcddgezafwffhxclICgElhGiAnDzerIlyfjbebDLKfHgddf",3.8147,4.8147,2569,1,5,0,5,0,0,0,0,0,14,14,5,5,5,4, 11
"[113]JrmJymbsJvGCpwscefpcnpbmEswKsaDxAhCaxJxjHroCEKafLbEGqCHtExJqtJJDtAcoFCItDHmCollrpudqGkxjfdfDELbvtqADwirmctjCCzxBl",2.44141,2,2513,1,3,0,3,0,0,0,0,0,9,3,0,0,0,0, 110
"[119]luHgnKoqdJnwGCJBirytpxdqEsKufqiojBxpKbzBxLabsLHDvadKaCftGbdfdrHqAbkCKgCzLunnltdwvpAahiifIewLmmDvmDHKxFngquhyDAeCDmrjGKm",3.05176,4.05176,2603,1,4,0,4,0,0,0,0,0,6,6,2,2,0,0, 111
"[99]tobzfbtoiekHoyuixyHoJAoqgamtfdirKrhAfmyEpnHrBoLdJkyfwGCEzjlApwyGFcAGnBnGvfDLHytqwrhnlIdlshglmkfELoF",4.76837,4.76837,2565,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 112
"[96]gdrsxedugzGHoJoqDKAKlBrECxkICzCtLvzvkvjEireLCiGppwausvDBCEbuAAdjhCzGmHsoaxbswpHcolHDDstfrIcjuLGo",9.31323,4.76837,2210,1,9,0,9,0,0,0,0,0,6,6,1,1,2,2, 113
"[93]jhFrHBraFoKJogGCwecKtloJFlkzLfAkwqKdzLIhgDqxJlCgJdIFbsjnplBmooDpwstfheqhFhyfcweIxLBzIthflFuoD",3.8147,3.44141,2542,1,5,0,5,0,0,0,0,0,5,5,2,2,1,1, 114
"[91]gahuxlfdGdFhFkHEByoKaJgFovGpgqCcqEncnAzcneJqaIgapwigbrqGGCInzhrKBjHjkguLvJvhBJEHKnFrtkegGgJ",3.05176,3.44141,2597,1,4,0,4,0,0,0,0,0,5,5,2,2,0,0, 115
"[105]JnvGHoJcqDmKoGjjjuhbFFIufcyuwaojrfitkrznaAFftpeGgzCqHJmrJpJythAgkkvwLwBAEgvGoDKpEshFJlrwhhDfbnwFliADipEAs",2.44141,2.95312,2535,1,3,0,3,0,0,0,0,0,8,8,0,0,0,0, 116
"[67]tJHBotFCaBcfkjlJyAqttwngviKjlpzfLrlLwpgtqvfInApJzfblFhIpBFjFuBLJBnK",3.05176,1,2563,0.833333,6,0,5,1,0,0,0,0,3,3,1,1,2,1, 117
"[100]zsfDGjurwoJHoqpcaoDessKHqaibDegFIDepBLzHbqgjtlkcjisIlnvlDmtxmyHxLyepanyIklpkuKkAIlfnfBHgCEAlyhkDBjEh",1.18305e+29,1.31209e+15,2513,0.750292,35974,8983,26991,8983,8983,0,8983,8983,9011,9011,17980,8997,8983,8983, 118
"[63]jjwyxiHoJhoChKxLvoJkuGqswrBFzkfFKzfvFbFeEEjdbKtokFrAacwsaIkGCDd",3.8147,2.25,2620,1,5,0,5,0,0,0,0,0,3,3,2,2,2,1, 119
"[97]FDHpwEeBzoKoFEAcjjjGHoJqnoJGcsEofhtuaypfkJnsaibeIuKrnsLhmAcssyorLulHvywkBnBhJfrFEehtkhvcGAAntcapd",4.76837,1.95312,2660,1,6,0,6,0,0,0,0,0,4,4,1,1,1,1, 12
"[91]CsaflycxJwlrkwwFHoqlpocnjnliapjkKEculzkcxdwEHoJoqxHpyHwbuAxoGLJKnjvGfqCFHDqkuhLgbJowLvaywtG",5.96046,3.44141,2660,1,7,0,7,0,0,0,0,0,14,14,10,7,5,5, 120
"[94]gboJHzdEoqDjryjpvinKHoJyLHoJaBLoJhuvGpcHjqFgoICnGxlBggKbkFsnbrnjDgsicCxzmJFCKkEtgmCEHJFJbKDfLc",11.6415,7.45058,2686,0.9375,16,4,15,5,0,0,0,0,11,9,3,2,6,4, 121
