"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",2.36364e+13,1,92,137,0,137,0,0,0,0,0,65,65,31,31,41,41,1
"2",1,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",8.39735e+14,1,92,153,0,153,0,0,0,0,0,86,86,26,26,41,41,1
"3",2,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",1.21018e+13,1,92,134,0,134,0,0,0,0,0,61,61,32,32,41,41,1
"4",3,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",2.20131e+14,1,92,147,0,147,0,0,0,0,0,81,81,24,24,42,42,1
"5",4,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",1.76105e+14,1,92,146,0,146,0,0,0,0,0,79,79,38,38,29,29,1
"6",5,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",1.40884e+14,1,92,145,0,145,0,0,0,0,0,82,82,24,24,39,39,1
"7",6,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",4.61649e+13,1,92,140,0,140,0,0,0,0,0,72,72,29,29,39,39,1
"8",7,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",1.51273e+13,1,92,135,0,135,0,0,0,0,0,63,63,32,32,40,40,1
"9",8,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",1.40884e+14,1,92,145,0,145,0,0,0,0,0,76,76,35,35,34,34,1
"10",9,"[92]GBdfHdwaChmFLosApwandbCJCebGwaeoeCKBdDbdweCkoxCzCfmtbKGzfavDgDBeaCabxLzIaloEwaendaCKCafyEaeL",4.61649e+13,1,92,140,0,140,0,0,0,0,0,70,70,35,35,35,35,1
