"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1262.18,0.738462,102,65,17,48,17,17,0,17,17,17,17,10,0,38,31,1
"2",1,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",413.59,0.69697,102,66,20,46,20,20,0,20,20,20,20,12,0,34,26,1
"3",2,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",108.42,0.66129,102,62,21,41,21,21,0,21,21,21,21,11,0,30,20,1
"4",3,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1577.72,0.742424,102,66,17,49,17,17,0,17,17,17,17,10,0,39,32,1
"5",4,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",14693.7,0.783784,102,74,16,58,16,16,0,16,16,16,16,14,0,44,42,1
"6",5,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",28698.6,0.792208,102,77,16,61,16,16,0,16,16,16,16,11,0,50,45,1
"7",6,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1262.18,0.731343,102,67,18,49,18,18,0,18,18,18,18,13,0,36,31,1
"8",7,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",516.988,0.714286,102,63,18,45,18,18,0,18,18,18,18,9,0,36,27,1
"9",8,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",7523.16,0.774648,102,71,16,55,16,16,0,16,16,16,16,12,0,43,39,1
"10",9,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",7523.16,0.767123,102,73,17,56,17,17,0,17,17,17,17,9,0,47,39,1
"11",10,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",14693.7,0.783784,102,74,16,58,16,16,0,16,16,16,16,13,0,45,42,1
"12",11,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",44.4089,0.633333,102,60,22,38,22,22,0,22,22,22,22,10,0,28,16,1
"13",12,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",11754.9,0.797101,102,69,14,55,14,14,0,14,14,14,14,10,0,45,41,1
"14",13,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",18367.1,0.786667,102,75,16,59,16,16,0,16,16,16,16,10,0,49,43,1
"15",14,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",9403.95,0.785714,102,70,15,55,15,15,0,15,15,15,15,12,0,43,40,1
"16",15,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1262.18,0.731343,102,67,18,49,18,18,0,18,18,18,18,13,0,36,31,1
"17",16,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1009.74,0.727273,102,66,18,48,18,18,0,18,18,18,18,11,0,37,30,1
"18",17,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",18367.1,0.802817,102,71,14,57,14,14,0,14,14,14,14,10,0,47,43,1
"19",18,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",44841.6,0.821918,102,73,13,60,13,13,0,13,13,13,13,8,0,52,47,1
"20",19,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",6018.53,0.779412,102,68,15,53,15,15,0,15,15,15,15,10,0,43,38,1
"21",20,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1262.18,0.731343,102,67,18,49,18,18,0,18,18,18,18,13,0,36,31,1
"22",21,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",807.794,0.716418,102,67,19,48,19,19,0,19,19,19,19,12,0,36,29,1
"23",22,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",70064.9,0.795181,102,83,17,66,17,17,0,17,17,17,17,16,0,50,49,1
"24",23,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",22958.9,0.797297,102,74,15,59,15,15,0,15,15,15,15,11,0,48,44,1
"25",24,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",3851.86,0.772727,102,66,15,51,15,15,0,15,15,15,15,8,0,43,36,1
"26",25,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",1262.18,0.731343,102,67,18,49,18,18,0,18,18,18,18,13,0,36,31,1
"27",26,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",3081.49,0.753623,102,69,17,52,17,17,0,17,17,17,17,14,0,38,35,1
"28",27,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",14693.7,0.8,102,70,14,56,14,14,0,14,14,14,14,9,0,47,42,1
"29",28,"[102]ucrMLccucHiPcocMcxcbnaPQCcfhilcHhccwBHPLcSPNcckccOccccQKAEcHcMcCosjsccxecEDcyvctRCcxccPgkrchcgcaIceAJG",9403.95,0.763158,102,76,18,58,18,18,0,18,18,18,18,16,0,42,40,1
