genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[102]jcrMLcuaaRrcPccMcxgnnvckCcflBdcdEccwBHPLcQJNchkccBcchcQfAccHcMcCaxwcecQecDDcyvcGcCcxFcPCkOchccctIceAJG",1.18305e+29,3.20333e+15,174,1,1.5341e+09,2,1.5341e+09,2,2,0,2,2,5.11378e+08,5.11378e+08,0,0,1.02272e+09,1.02272e+09, 1
"[130]AvcCowfHRwmoOMOyeDaeqtOxQRncMrbQumSIhHPBHmGwnIprwnQfrHrowpKPrqdHSFPgfAdBszKirkqQlEcvoKHoqJHGqbzpeDSKAbGMnpQQCOmPSAgEioKEDopbQPJCOH",1.18305e+29,1.18305e+29,2830,1,306,0,306,0,0,0,0,0,98,98,208,208,0,0, 10
"[99]xcNeOucAAgccykoocusHgQccdccccdLNhcRccccbcccfcdDJlcMCNcfnccEIcclfclcLBdrqhgcqcJOcDMpgcagcgcpKHnOqccm",1.18305e+29,1972.15,242,0.589878,1719,705,1014,705,705,0,705,705,1014,309,0,0,705,705, 100
"[94]cFLHiGdGQpcccJSqgScaSbrcCleclFcvncvekccpnizuPcdyqcCFccOzDcdysbfIAccpPcccooyJEyccNttGoqpAlcdccG",4.29944e+14,2,182,1,150,0,150,0,0,0,0,0,117,49,0,0,170,101, 101
"[93]qcDcMjjBctdjiRLmmOHaNLbccCdbcogwsAHvccmewstPLAawzgHcvcbFeueknxabfcOcJpccKHcaSjvcsucMcenbcPJcF",1.18305e+29,3.62227e+07,350,1,1691,0,1691,0,0,0,0,0,537,537,0,0,1154,1154, 102
"[97]HxzatOJHPLHOqGKqrBllAsEBoIMlAEKGQKPHwcNckrpryIaRjEGfBnoNixdNDbrarIuagLdNQljsrsAQkdMoMihhBkfxBcuvv",1.18305e+29,1.18305e+29,2235,1,305,0,305,0,0,0,0,0,317,317,235,235,373,373, 103
"[100]lCHOwocclgicOPLQByJNlxRcqmAMcBcphuMdDvhoyHQJwjcffRcpyfzMoaeIFurccHDcmlxcccMLpmHPcOvcccNzSrNEtccSJHSk",3.87663e+28,1.29943e+12,274,0.996622,296,1,295,1,1,0,1,1,95,94,0,0,201,201, 104
"[99]cCFcJqjcfkRLgkPoQanwsGtwRFEGpMcQAfDtQbKFiEJsQvgLrtfKoabetOrpdkQEPvvgdQsEHKPqOexobagnccEPhPJReuIvecR",1.18305e+29,2.36364e+13,771,0.759887,3540,850,2690,850,850,0,850,850,850,850,2690,1840,0,0, 105
"[94]xhcuOgwPKHqGJHqcgdsFcyePSDRypiAekjIHFscbpuDeMDfFvuCsmmbxyJgMilBRIocxddiGKemKbuKLrRMpDEHSsEhbfB",1.18305e+29,1.18305e+29,2638,1,300,0,300,0,0,0,0,0,699,699,1319,1319,0,0, 106
"[86]pDlnRlMNnAhHjceQNgwsNcJHOpKjfccHpgjcfocfaOCRdccDRcdFlKpcRHcqbpRRcSKGRGOcgHcqbLmScRAxCS",1.18305e+29,4.08256e+21,692,1,1487,0,1487,0,0,0,0,0,491,491,996,996,0,0, 107
"[93]RcpftNKupFcLPzokHPqMJsnAQcqolaztpjFepngENmuwzInhMIygudcBHORgapcxFrgbyMpsHRqQAcPCyNazyHmgDnABJ",1.18305e+29,815663,441,0.78764,890,189,701,26,189,163,352,189,240,240,0,0,487,461, 108
"[98]jcuoeCcrNOSjxcMzcHRMcwcFLcdENcbAFqccQInjvEgeAEamMfcFjHQJCcaakgvRuOovPDwhypvAcctchccpsjscGFqdHkncNj",1.29943e+12,35873.2,289,0.8875,160,18,142,18,18,0,18,18,51,51,0,0,109,91, 109
"[100]dwcqmPtwccRIPjccRcJvBgHHcyafnwqncCbeLQcGezNoucvHRccsrvmpHPAPFcdcnJofamHHCpocnpvvcahggujxOLcEkBzQmbcx",1.18305e+29,109476,217,1,2.4444e+06,0,2.4444e+06,0,0,0,0,0,814556,814556,0,0,1.62984e+06,1.62984e+06, 11
"[109]qMSgqgssDyCzAGJkMGzJyiKSxqPhHNQrSfGLGkLjJDlASNeRkBuQgzGnvukiomNxyljadmMkOJMilcQExRzfPmOcnzNuuHPDJqaKHqbaGLSPp",1.18305e+29,1.18305e+29,2776,1,299,0,299,0,0,0,0,0,400,400,506,506,320,320, 110
"[101]gpJPafHcFqthjSiKmhLlqRjuJqyOMsKxvcgCyHubJaxeHJxSvENLcqSKoDtKImLLRnykgyzMqNInyfnQccclRcedGwailcKjqSIzg",1.18305e+29,1.18305e+29,1608,1,625,0,625,0,0,0,0,0,449,449,861,861,0,0, 111
"[97]wcbjcpecccHEtHcdOchwNoNcoxclscvrpfcgnBccbHhccrczcFOJzHHlSDciMcLzccwcSFjuMjcxcfhcsBDcneHcFccSbBOIj",1.18305e+29,1.18695e+07,206,1,1571,0,1571,0,0,0,0,0,541,541,0,0,1030,1030, 112
"[94]RuibhSgpNhAgHuQJPKHoaqKHGqEjvyExINBbBdEjajFmppePONNtDHqtAQMoEtvfoabeKxNSNmquCFHljeCBakKQwcMiri",1.18305e+29,1.18305e+29,3149,1,308,0,308,0,0,0,0,0,321,321,608,608,0,0, 113
"[95]mporSBvlbzHucbwllzoOgAPmlaGapeddExQBxuMCsEsRcbzuLOcQfKHcqqEQccaKQdNmdzwcfdcdfbdcIwbJDMAhzhBbrcJ",1.18305e+29,1.21018e+13,811,0.748854,30755,7724,23031,7724,7724,0,7724,7724,7724,7724,6117,4048,16914,11259, 114
"[75]CBccGJSnQrqMxKtQHOqLCGhzAKEOBLfMNjNouPkEiRymOoExpRyqQqwGqfKJJphdDPSgDOipDfk",1.18305e+29,2.48104e+28,3103,1,299,0,299,0,0,0,0,0,92,92,0,0,207,207, 115
"[94]CDCiCxfrahOzStPRFIhyMjJDOGotbArjiyMqHfvIJqGFrsFPHeqKDFLeDitcwEmDDupCDtNkuHQJlHPLqjunwwugNxBMoK",1.18305e+29,9.37311e+25,3301,1,353,0,353,0,0,0,0,0,126,126,0,0,227,227, 116
"[105]pDnGcMoKtzsDJsOJGcHMFgCufOSRztwJHaBoIcCgahmcREncBymcbhHFLgFMcKFzwcmGOEALkktmKACFFccgSbcDOobqLfiREptccHePG",169.407,1,276,1,22,0,22,0,0,0,0,0,6,6,16,16,0,0, 117
"[25]EERQHPLHbqGJFfCRhcBLGicuu",1.18305e+29,1.18305e+29,2775,1,332,0,332,0,0,0,0,0,113,113,0,0,219,219, 118
"[94]MxchgfQiNryMFzEbuoKHOJPcGnccoHSbnbSocHbBJHqclzcrBcueMofRbFRwLceRJClCtOrimMzkNqMByxSEmftSbdqtei",1.18305e+29,2.26628e+23,487,1,25870,0,25870,0,0,0,0,0,8662,8662,17208,17208,0,0, 119
"[92]ChabrJHbrKrJNihzcOHBmhstujBnjdJQSjlvFvDnnwzHKHAcIqQAHOJQSKHbGQJRaSLChpNtPNLQyLQikuoMCQhNdCPp",1.18305e+29,1.18305e+29,3050,1,299,0,299,0,0,0,0,0,101,101,120,120,78,78, 12
"[95]SusbbcHbEDmzMOgACucfefcDhmlmxISQDjLDueusRgGHmxdbbbfccpRNJQfxcpyoeCcfHcoSsccQeyqcdcbRSQctwcpccfe",1.18305e+29,2.53794e+12,624,1,1423,0,1423,0,0,0,0,0,441,441,0,0,982,982, 120
"[102]HoQpcLpftNlDqdMcHsjeccxclgQECcbPqRtggOcwzycecFJRcOucnGcHPOJOStFnqcccNfcSKbcrEmQFAcCfgaiHklqcochHniwDmv",2.53794e+12,3.14182e+09,268,1,127,0,127,0,0,0,0,0,74,74,0,0,150,150, 121
"[89]MMPdBwxPLHQaqJGHqKlrBKRuzOLyvyMECLwSPtkEEeSObujuhwcIqQBgKJsyyGuKKqnikRShssInMOlKDxBxkbIPA",1.18305e+29,1.18305e+29,1940,1,299,0,299,0,0,0,0,0,83,83,0,0,216,216, 122
"[97]GxwQNLyHzQJMNpccCssAMmgqcchbcmGSrcbcbiqcwphtLiLzFAuvcMwcciBcycIfhaIBBKcEsrlmzfvcyblrwuGpHLceuSpcc",1.18305e+29,7.45058,269,1,680,0,680,0,0,0,0,0,245,245,0,0,435,435, 123
"[96]EhmvKyRrnHrJccwnPPGeRBHcbeQboHsqvccGkSLqhnyAykmxAeaBIcvfcsgRCcclFIMbigcPlcaKhccBzehQvHGOmffHqIGJ",516.988,1,293,1,27,0,27,0,0,0,0,0,10,10,1,1,16,16, 124
"[102]OMNQFfwleHOJHDJHbgMJMPKNqScNFGRnSOIkGzxlSAPjgbGHurdfnBICEdmCHLgBcwuNrirzobRCSHeNPHiJrQjdlGifFukkASKkMI",1.18305e+29,6.78332e+17,509,1,4939,0,4939,0,0,0,0,0,1632,1632,3307,3307,0,0, 125
"[82]kcfHxoaJHqKCqdsFeweAGIIArINlgBtjrnaMzdhuqcrrBaQteEpsihDRCRGqbrEqcnjaudcvGLxzNPezba",1.18305e+29,6.98351e+26,3188,1,409,0,409,0,0,0,0,0,145,145,264,264,0,0, 126
"[89]PwfqpssnvsevPlSCseHrxxKcwipnevIRJIhlGKNReSmbcEfBvPKHqGJqebLbwpqHBBkwAlaEfkGeGGEhpGIQdqwxk",1.18305e+29,1.18305e+29,2763,1,330,0,330,0,0,0,0,0,82,82,248,248,0,0, 127
"[93]OHGxshdHcgHkFOcJHcDaezoKSLGHcMDSLqFkDokwOxkstCrjOaDezxPLlNPFxmfJAwLSKFgiRGjeqSRdCgeCLJFOiwKPn",1.18305e+29,1.18305e+29,2690,1,310,0,310,0,0,0,0,0,102,102,0,0,208,208, 128
"[101]hymcHcpqcFomQdgHglJScKDCIueCiiEGheDdupsqzbyecbMJPMcqvycICfOxuurwnikQflyfEFoncFcoccPNcoaIPGeeLxcCDBFJj",1.18305e+29,9403.95,342,0.603994,2053,813,1240,813,813,0,813,813,1240,427,0,0,813,813, 129
"[70]FERLHqJGqCkRdFAuFzGckaHSPvedyzRDKGCoeLHFwffmhPGrqrHGxFsayCkebLtlolNHRu",1.18305e+29,1.18305e+29,3279,1,303,0,303,0,0,0,0,0,343,343,0,0,644,644, 13
"[98]cDtwcaccfdccccacxcPKpdahMeHRcdFcjerBceRhcmccxPcduCcvGtccccccPKHOJCqccHccczcclcccSQxybrqcccdwqcccbu",3.54106e+23,7.07475e+07,144,1,242,0,242,0,0,0,0,0,86,86,156,156,0,0, 130
"[79]ocDeePBhjEpJjleHvhcPLHDNbFHlbFOJHEmccOcqsmsssLwMvcjKSODeeKGqacdHQJHDHiHiMBmFpca",1.18305e+29,3.07138e+25,3096,1,2314,0,2314,0,0,0,0,0,759,759,0,0,1555,1555, 131
"[91]CQJxtpebbftLfPPEidsOMHOJHPLqioadHHwfFDaqIHppxRyrpqPbIOKgLHzpGbpuaNQxOhzpgFmcHjFOupjAydccIkz",1.18305e+29,4.46944e+26,1120,1,2056,0,2056,0,0,0,0,0,687,687,0,0,1369,1369, 132
"[99]RKPcymeBDyEDoOFAhFKmAuHPDJGqxcOEquKqLcQfitruMhRCoRKFsBxodbxHvHxnkJxqarNGeQyNaCveRopoJaBbgstgOLNlPph",1.18305e+29,1.18305e+29,2827,1,301,0,301,0,0,0,0,0,300,300,606,606,0,0, 133
"[103]xHcSEEeRccoHPKzvdscfcceaDxImmldmPerutcqrgtSEogedhyxztcccJqgOFSxnCKcIHcKEGhmdKccoPlcDiFGnrLGrcoceBwRcdeG",1.18305e+29,1.28689e+09,320,1,1185,0,1185,0,0,0,0,0,391,391,794,794,0,0, 134
"[100]mCqvtMaicJPxHPKPbcxcmyHcnSQQjglcwcjcwdNdcwFcPfvcmLmBcczzinGEMqpfcPeczuuzGmOsBtgchDdlRHnRcwORheBczHgc",1.18305e+29,2.72509e+11,282,1,928,0,928,0,0,0,0,0,347,347,354,354,227,227, 135
"[96]qEeRnqSOhssAAxpPtHnKqPGJqdxsgAsRauwvqhHugSQRKldJbvFRqudDHBnLndKOJeARJavMbAuykGrGyOusnqsLSBJinpKe",1.18305e+29,1.18305e+29,3045,1,441,0,441,0,0,0,0,0,142,142,299,299,0,0, 136
"[94]SLCMSfgSEEavubqJwunNGAHbrNALrPfbHLPkPyceGrteDemmFCoxBzvAxIuLfnLQDifQBrPKHjcdkNqFbRzQadaJnHbOJC",1.18305e+29,2.4334e+22,3193,1,609,0,609,0,0,0,0,0,203,203,406,406,0,0, 137
"[69]icfdKlcDePRfaxPiNBHOGqLCSNKlhIGzpIMxuAmdNiBgfPuicPsoRlekcbuHbPLHOJNIq",1.18305e+29,2.4571e+25,2413,0.999816,5434,1,5433,1,1,0,1,1,1818,1818,2,1,3614,3614, 138
"[96]BHQaaaLqDedeLFJfqdNsmGaDtiuCQvBxlgfmxjxcCeytwtFNshdpskJownkeHRgppLIbCSuecnDmFCQOjunjwyCBMGutyBCr",1.18305e+29,1.18305e+29,3057,1,568,0,568,0,0,0,0,0,197,197,0,0,371,371, 139
"[92]OlcFccupccccpcugeFcccHcvwOcJcszDccccvlHNxOQccictccccDcArzmccFcctMcKcFccSNQyBqMdaHfcshcdccFcG",1.18305e+29,1.99136e+06,143,1,9054,0,9054,0,0,0,0,0,3049,3049,6005,6005,0,0, 14
