genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[97]sceRaMPxclaESlckdccwccOcDlBgwGklcfwkHbbyznRIcjhhvzjbozRMcJcgccHhcPnPLmBfaciHciiyttcFcRcMncnacRccG",1.18305e+29,6.65306e+11,304,1,680,0,680,0,0,0,0,0,243,243,0,0,437,437, 1
"[101]tcpblRcccHBAsRomsccfNcIcRcHcctcBccdShhcQDcpcbccecMuccBmyMKcHcNngcuccccrcFJHqcLIccrrGeCccfceEbDkzAgccn",1.18305e+29,1.03954e+12,208,0.691905,1.21421e+06,374093,840119,374093,374093,0,374093,374093,653754,279661,560458,560458,0,0, 10
"[96]HSKahwdENnqloHrqtzBrNlszCOgCkgfauziLmEGGeJPddpADPHlNAjMOusqOOaKGDebLaxcccedJHQSEdLHSaibeDaOSgquM",1.18305e+29,9.46442e+28,3752,1,304,0,304,0,0,0,0,0,141,141,51,51,112,112, 100
"[105]NQcebfDJOchcPfNDccHPLBbHcSpGPKPNFSdSqqpmjmuuMvCCRgqBFBpvGzdLKjuDARbmINrcKOEvdhrcoABntkvudbzMNyvonjiKJRRvk",1.18305e+29,2.22276e+17,869,1,1055,0,1055,0,0,0,0,0,398,398,157,157,500,500, 101
"[103]HncORcCxaccceOajcBccezcocsdccFcbcPnEycQcSCcczRcwccCbOHcccdnKccHvccgnJPycHmccEcacSMcnOcADccieccSBccpucfJ",1.18305e+29,2.18008e+11,168,1,481,0,481,0,0,0,0,0,199,199,282,282,0,0, 102
"[97]sihLcnQxcQccyhfwlccsHceNcecBNIncJLMzmEcBccmRGkdcrAHqctOBBHcorHanNejNnkPmrnxLIsGcvxBkccQBJRmgcRksD",1.18305e+29,5.2711e+08,255,0.900521,298073,29652,268421,29652,29652,0,29652,29652,89227,89227,0,0,208846,179194, 103
"[103]tccxcSFckdccJcnccceScncRccccRmHRzQoqhccccGdeOchchMNcczhcQEnncagHPLQJvPucHcecmdFRccccSwMcjBscnvcQytcccRG",1.18305e+29,2.89782e+07,155,1,332,0,332,0,0,0,0,0,141,141,0,0,191,191, 104
"[95]OBScNavEPlaQOmKAvvBJawIdcmKHucyJcauNHbCcycEcOJcHzckqccHcRcmoJQnHckpctpfQMJcycrnaFqQPhzbiKRccccH",1.18305e+29,8.31633e+11,348,1,1487,0,1487,0,0,0,0,0,508,508,979,979,0,0, 105
"[95]cprcuJpylcQxccccEcsbQeupdcNocOMRcxelcHcscctcccctcncccscMccNcInccmQcevkaoccLwaNcQuccccnbKSDccNcP",1.18305e+29,1.10543e+08,176,0.697379,8965,2712,6252,2713,2712,0,2712,2712,4863,2150,4102,4102,0,0, 106
"[102]DJiDQgvzRccdRzOcihoBSyNrDPtOrpduxzOOEBvFOcDbEcdzDcOHcyOcrOcNcKeubFoccBrRScqccGPczOcnBMGSsnsQtuchKrKvMG",2.11064e+24,9.49557e+06,286,1,250,0,250,0,0,0,0,0,845,845,913,913,0,0, 107
