"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",9.46442e+28,1,96,298,0,298,0,0,0,0,0,129,129,169,169,0,0,1
"2",1,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",8.12987e+27,1,96,287,0,287,0,0,0,0,0,137,137,150,150,0,0,1
"3",2,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",6.98351e+26,1,96,276,0,276,0,0,0,0,0,125,125,151,151,0,0,1
"4",3,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",1.18305e+29,1,96,316,0,316,0,0,0,0,0,127,127,189,189,0,0,1
"5",4,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",2.28836e+26,1,96,271,0,271,0,0,0,0,0,128,128,143,143,0,0,1
"6",5,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",9.37311e+25,1,96,267,0,267,0,0,0,0,0,130,130,137,137,0,0,1
"7",6,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",2.1312e+27,1,96,281,0,281,0,0,0,0,0,141,141,140,140,0,0,1
"8",7,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",1.01623e+28,1,96,288,0,288,0,0,0,0,0,129,129,159,159,0,0,1
"9",8,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",3.33e+27,1,96,283,0,283,0,0,0,0,0,134,134,149,149,0,0,1
"10",9,"[96]HCPdqyyIpPMSPapwrkqdEhikymndcvHoJpMfhoGRccIMGEmdgglrjxlHywMLfMqMwcqPaeGNtDGxDkhficDdfOJPKHcPcKoG",2.28836e+26,1,96,271,0,271,0,0,0,0,0,136,136,135,135,0,0,1
