"","trial_number","genome","merit","genome_length","path_tiles_visited","moves_off_path","map_idx","seed"
"1",0,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"2",1,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"3",2,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"4",3,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"5",4,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"6",5,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"7",6,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"8",7,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"9",8,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"10",9,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"11",10,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"12",11,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"13",12,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"14",13,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"15",14,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"16",15,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"17",16,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"18",17,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"19",18,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"20",19,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"21",20,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"22",21,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"23",22,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"24",23,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"25",24,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"26",25,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"27",26,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"28",27,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"29",28,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"30",29,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"31",30,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"32",31,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"33",32,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"34",33,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"35",34,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"36",35,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"37",36,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"38",37,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"39",38,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"40",39,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"41",40,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"42",41,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"43",42,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"44",43,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"45",44,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"46",45,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"47",46,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"48",47,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"49",48,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"50",49,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"51",50,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"52",51,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"53",52,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"54",53,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"55",54,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"56",55,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"57",56,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",6.49037e+32,88,111,2,2,1
"58",57,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"59",58,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",1.03846e+34,88,115,2,0,1
"60",59,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
"61",60,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",8.50706e+37,88,128,2,1,1
"62",61,"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",5.31691e+36,88,127,5,3,1
