genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[88]mgblmHLttINSccbDLBvwHPcNfebeieeLRKNCRbqPkOBOnGsENcJPIAJlJDueuatDRFkQbqPbKjjeKFwSDIMJRauu",4.25353e+37,6.49037e+32,80,126,1,1, 1
"[89]qygzSbHyutOIfMucdLBbwHPcNjebaLaeLRKNCRbqPyOaOeGsEQcjPIAJlJDFgueGgLniQqqhCGIueKbONnmMeCPdu",1.06338e+37,6.49037e+32,70,124,1,1, 10
"[91]qrgzyzyHutlIysMbcsrLBwwHPipjlbaiaeLRKNCRbqPkhwcPnyEvPGPIAJlJDugxuPDmLCLexqybzjuqKbNNDnMJFdu",8.50706e+37,1.03846e+34,98,128,2,1, 100
"[86]GbgzcIHstFxNlcDuSBwwHpcijebaiaeLRKNCRbqPfhOdMjEtPGPIJLJDAFkdjxkLkxkwbPuxKwnzAgxMDvAhqy",4.25353e+37,5.1923e+33,194,127,2,1, 101
"[83]qygzibHMtOINScmLBwHPcGEebaiajLRKNCRbqoOwOnGsEzcPIAJlJDmguaKSOMPQPqimKjuhbwEDoMJMxdu",2.12676e+37,1.03846e+34,78,125,1,3, 102
"[88]qygzSbHuwOIBcyudLBwwHPuNjebaiayLRKNCRbqPeOwFoGsExQlPIAJJDNzuaBDKkkHqqKbKjueKbbNDDsqIKxAu",2.07692e+34,1.03846e+34,64,115,1,1, 103
"[86]qyggcdHutItNScyuLBwlHPjNjebaiaeLRKNCRbqPEOPdvmEnaPIAJlJDMFtahFDCkQqpPjKjqCubwbDmHJhyAk",2.12676e+37,6.49037e+32,85,127,3,3, 104
"[86]qygoSbHoGeyINSlGuLBbwHPcNjmbaiaeLRKNCReqPpEwPGmExcaPIJJDugrnFqfLkQqyPiKjuLwkwNDDgwvxdl",8.50706e+37,6.49037e+32,114,127,1,3, 105
"[88]cyizSbRvtvIDSccyuLBwwHPcNRAbaiaeLRKNCRbqPnOwOpGsExcFPIAJJDuvqBGDKLkQqqxbKjAKKbwNDOLhxARu",4.25353e+37,3.24519e+32,63,128,3,1, 106
"[87]pypzabHrPIINScccuFLBwHPBjefaiafLRKNCRbqPkFobeGsEQcvPIfJnJDvdfadlKLqtqQrsjkBrlGLDmKHhxdN",1.32923e+36,1.03846e+34,162,121,1,1, 107
"[86]qygzbHuINKccfuLBwtHPcsjebaiaeLRKNCRbqPkQwOnGiEpcGPIxJlJDugsdGiKLkQeqAbtjuCkuwDDzMMnxHk",4.25353e+37,1.03846e+34,63,126,1,1, 108
"[87]qygzSvvutOIPLcltjLBwHPcNjebejheLRKNCRqPbOwOajsEucoGPIJlJDunuaGDwLqQqNBdKxuejnJwNaMDGxOu",8.50706e+37,5.1923e+33,108,128,2,1, 109
"[89]qygzSbHatOINSccyuLBwwHPcNjebaiaeLRKNCRcqPkOwOuGsExcdPIAJlJDOguaGDKLkQqqPbKjueKbwNQmMJhNdN",1.62259e+32,1.62259e+32,14,111,4,2, 11
