genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[92]cgFmdgwRefKErFrDjNForefNsbbQxykcRHdkFBNqQRQQqjiLiGaaROBLlRxvIyNHNFPJxOcnafQObrmHFEsgLxDccnev",1.44115e+17,6.71089e+07,895,111,54,2, 1
"[98]LgAtEAHmIaLDvhGbvmFOxofnHLEhpMMaaGSOtQnGkxERsDeNBbrnoOHkJaIklQjRSKFIpyPFbHlxIMPusLofwGnyruEgnBKMit",2048,64,980,17,6,0, 10
"[92]EboFyahPKtgzMPKnLurEMNjpfBDceslRdJRoBNhQsHdhlayOjmtDFuNMolvrtPgeGQtflGPbkwLINnMNHFRHsugNkcMv",8.11296e+31,6.71089e+07,1424,126,20,3, 100
"[93]ijlvtkowcfvjtdMcFAHPwsvGtmLEwMkbDDsRlHnBuJpqnfFcydrAogmplyzcucIuHrcnLSjhvAGSflKQJkiDzkitAkiwy",512,16,2840,15,6,0, 101
"[98]fvpaeyzRhorrahHiMcInuufFigrjKdsaQkcedLcSRlJScQuOFiMLNKOcMymmabRgHhRzEAJLmphGMODeKykpHIbOyKOqBdsmhB",1.67772e+07,131073,1244,30,6,0, 102
"[96]mpROmNvQudRHcRJzpNeygHloLawLcxrLIPKzqSrcaFNHssmmmRnNfcspzPbkOCecBLnwhfchQBsnhaAANlyvnKrwejcSjdnz",9.90352e+27,8.38861e+06,663,127,34,3, 103
"[58]CcvtLOzgumMKjLjncytiAyophHIGOChdOmzsfKmRxLJHQoFquqIDGeCGfS",64,65,3100,6,0,0, 104
"[52]MeHgIlzSogvkRdaovtQOtvhekHfuLFSLRjGDABPxNyhQKtHewxQE",256,17,2992,9,1,2, 105
"[95]OpfbJxjEwkLeHIdeSebuRkHzgNdJLSBcMznxwwhaEBOsiNnFKuMnHLPSOJGCiBxdiySQKKnEjrBxQznklIlfghvhFoqSkiQ",2048,257,1153,11,0,3, 106
"[109]MeDNFspEyFPnsBvaPQLekRuwoomRBrPmPJKgpiOBpFHEInDFNHyaKDfFOmkarkGrGCEHjuKnGaqamdcLJwMvcaqGshBwEHLGSjiFoMKwkcoyn",512,1,1009,15,6,0, 107
"[58]ePNHaPKhyNdHLLnhdLMhMKdlFbeNyNAOOxiyvHLdEpnRFxgNIdLswRGIpD",1.37439e+11,262144,1787,58,21,2, 108
"[89]LcSMyzGesLGLBrdqbERKarxEnDjBzJDEEAfgKLLfvLOLQCcIfpMmkHImHDepfFHpvifIdMmLOfnHRwDfBhrMEgGFo",64,17,2846,6,0,0, 109
"[98]mEhfMpxMDOraLNfCpMhvxtMokcfoCFGOdbRcdccKvegddGtdSBiFNsHaocaIsgbuLRcJcGPqanmGbHdnaerccSiCcrPnkcSLLi",32768,128,589,15,0,0, 11
"[63]HvvNxoeklPlihlEDpvHMHwJQcEPHzABPuBcIsGSLobQjGyenHtjbBeLMKrvrjjl",64,16,3213,6,0,2, 110
"[67]LRKkrnxcwbLLiyaSAsmzNjgeFLHPBqPpbAmbzFsbPmPFMivLoOcNxapNpzIPJJHmEpM",7.73713e+25,1.34218e+08,2142,107,21,2, 111
"[99]oFtLkcEcOLnKbFtmtguoRGMljqxMjHfQlELaGneEFwlAnikbBFRExcBcSOICtEunjoDcMyBILhuCKfpmhypAynbgCbLQKpiGoIq",64,64,2868,6,0,1, 112
"[28]uvPfRFfLlziShbetHejLrIMoHuGn",32,17,2872,5,0,2, 113
"[107]fxiFSKJNNlxjHLGMDvkmMkkahgOOPxsdcIGnnmdzalpfKjEANslRKfxneHuAhNEbQtQMQGLPlQlosmAxFhPCyQBvgMdbAoKOyRJMmmlxvGo",131072,1024,1648,17,0,0, 114
"[71]LmNcQReMPSjfEQjdBgLyHeGzOLwsgPEFMgevBLvQSIoEoHDMrczfptfyHDAGfKDxOjtxGil",64,16,2451,6,0,0, 115
"[56]rANsRMetRKPJtAEDNovzOjPwSxzizHptGLpynbwgIpHGzMHMDxJRqxok",3.51844e+13,8.58993e+09,1685,52,7,2, 116
"[78]HrAJGLEdBLFNvbScEichaGQMfNPvBcMKyrMcQdkvxGPAtBRPBQreydPSyEtyNpeyAcePuozRmbcKoQ",8.38861e+06,257,2477,23,0,3, 117
"[101]GLlOKNzHRQQBczALScipnaLnShzoKdnNwEuGGshFJLrycfnScHbJzanuldrozuKtKmwgEDtxOqadweyePRaavhoxhltPbaIkLzxwk",16384,2049,2691,14,0,1, 118
"[77]qcaidGaQevPpznDdsBBLOKdolzsHEAeumIQQlpOabmRzrpKmfmbOABNLgvPGtHLMwmGQSeNrpgibg",64,65,1622,6,0,1, 119
"[55]uwLxRKmsiwlSFfSAjmNKhdkuEHEIGLMFjyGoSfQrGHmazifPznBaEmt",256,17,3135,9,1,2, 12
"[55]mzLjcabgBdRtPcJzoIpLOcKAAOpKweqpwhihrRHPRqgQjRARGwxRzeH",9.90352e+27,8.79609e+12,3125,126,33,3, 120
"[93]NxGrpdrGwdiNnMQoLPuczMQHSEDgShAjgaNnGHiiSCIjBAyhNNNrBaBKEwfSDNmwBcCongiQynrcjlIytePJPJoerfrHp",5.6295e+14,5.49756e+11,1849,56,7,2, 121
"[49]EPKpLHGomnALlzFinzjxnjLcsIcytrABGMvlMvrxvcqahkbHB",64,16,3014,6,0,0, 122
"[77]gpNPmQtocHGlaogIorlOclgHGxcOLcAOCFgimpqyEkvlaMrByBaAMsuRFewGzodFdsmSaKmcNpCGt",2048,2049,2600,11,0,0, 123
