genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[88]evvsxlipCzxdeopFxHGbaNJSBKAySCuJdyfjCCErMIcDcqqxOqcjCBxjCmxbEyrzghSQsnoaBumbndfCPheKOOrM",11.6415,4.76837,1158,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 1
"[100]acBuulxlrtFOtwOjmcdhmObtnfHgRKhPoPDQrpJoKHPfpdgQJaoknFkqrwQHmIxtAdMLadQpcmQvdRSfHkSfihopkymxxbFqGCen",1.18305e+29,3.40637e+11,878,0.752044,1468,364,1104,364,364,0,364,364,415,415,689,325,364,364, 10
"[78]CLqyiKSQRFtwgAwONlEPjodvOurOgEtsNJHSKHPDqbqzNjQCxGchSlzFMoRNiwESwStAIkLHqJAyMD",1.18305e+29,1.42257e+17,2195,0.75519,2312,566,1746,566,566,0,566,566,616,616,1130,564,566,566, 100
"[60]CQrABswBbxtHPDRecNJHSDeJjKNbpOQzMEJDJenOaapFztIPdtKHSkpgLqzm",1.18305e+29,1.90934e+16,2158,0.754875,4667,1144,3523,1144,1144,0,1144,1144,1173,1173,1145,1145,2349,1205, 101
"[100]RDFboeQycaNEeOLaOEdPGcHBxaSypakRzbzArOvPcIccyFHOKrEQPNJHDIbONmQerFfPSxzBjeMQOksGGDhhbyhufvhQuGJoefDn",1.18305e+29,2.77845e+17,627,0.749989,6.97725e+08,1.74439e+08,5.23286e+08,1.74439e+08,1.74439e+08,0,1.74439e+08,1.74439e+08,1.74419e+08,1.74419e+08,1.74439e+08,1.74439e+08,3.48866e+08,1.74427e+08, 102
"[74]swHNJGyOzGlgSABSKySAGDzoKhDmzCxjutwgqqDnzdIFnxJenNvHCCmvLgkuqRqvcwIsSljJfe",11.6415,4.76837,2720,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 103
"[91]NCDrcRwNsxujehaHyNGzPwcRKPFtbdftoxzyQtkbmxcycuNsFRhAvQbdxsRiOopLHNJqyfqlfveCahEsaRqNarsnNww",1.18305e+29,2.18008e+11,647,1,311,0,311,0,0,0,0,0,142,142,77,77,92,92, 104
"[102]mHSKHNENJPpqILqGaolwshtxjxFmIEjKavDxHmOzgyjIrIgoSmNPJqBhlubzPysINQCkckjzfmQhnMCBsvLxassaBmmybGNASGpCiS",1.18305e+29,1.42257e+17,3082,0.763454,1691,399,1291,400,399,0,399,399,495,495,797,397,399,399, 105
"[102]NqftgczBjsNJpJryNHbHPxGQdFzSBKfCwdNrhhLinRJdcEdgxCbKFvSQcuEevOmKuRdLLcbRAsrlndLdruOStyitjhtesCpJmhBwqj",11.6415,4.76837,727,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 106
"[117]HuOeiHdAsGuboJiHSFGoNKHMiEGpIRINvcHSSNSxcgLFrOnzOBjfAgnhRHjOECPmgCGluhdqcpQDuEgrKxNOSvSFszRoQtBpMcfvnioihDjyrKKxBBPiB",1.01958e+06,86.7362,1502,0.842697,89,14,75,14,14,0,14,14,48,48,26,12,15,15, 107
